"Structure","Observed","Predicted_from_BM_mu_adjusted_equation","Observed_log10","Predicted_log10","Log10Diff","PropDiff","Direction","FittedLine_log","PhyloMu_log","Predicted_log","lambda","N"
"Corpus geniculatum laterale",335,433.800274800672,2.52504480703685,2.637289822792,-0.112245015755156,-0.227755214876409,"Smaller than Predicted",6.90014346623547,-0.827559234369697,6.07258423186577,1,30
"Amygdala",3015,2008.95066202646,3.47928731647617,3.3029692710077,0.176318045468474,0.500783497071412,"Larger than Predicted",8.1211175146767,-0.515749708636971,7.60536780603973,1,8
"Pallidum",4711,14312.972744436,3.67311310423823,4.15572984427151,-0.482616740033277,-0.670858033190112,"Smaller than Predicted",9.11566326121955,0.453258328710494,9.56892158993005,1,15
"Neocortex white",421819,1073580.83617275,5.62512613777738,6.03083475057202,-0.405708612794643,-0.607091533504119,"Smaller than Predicted",13.1571777564859,0.7293324384917,13.8865101949776,1,13
"Insular cortex (grey)",6165,3542.72447160592,3.78993308093175,3.54933737725155,0.240595703680202,0.740186133415392,"Larger than Predicted",8.96780731529384,-0.795155980427843,8.172651334866,1,23
"Nucleus subthalamicus Luysi",469,514.537014020256,2.67117284271508,2.71141662187114,-0.0402437791560541,-0.088500948968587,"Smaller than Predicted",6.55162917772767,-0.308361683310914,6.24326749441675,1,14
"Capsula interna",7008,6858.8500547427,3.84559409316002,3.83625130860136,0.00934278455866577,0.0217456197565022,"Larger than Predicted",9.14120195342604,-0.307906877261652,8.83329507616439,1,14
"Striatum",28689,20397.3825284122,4.45771541049588,4.30957444064157,0.148140969854314,0.406503994325652,"Larger than Predicted",10.8332945797449,-0.910132715575453,9.92316186416943,1,27
"Area striata grey",15247.5,11000.7275335446,4.18319864202974,4.04142140819054,0.141777233839202,0.386044691453881,"Larger than Predicted",10.3648140863971,-1.05909739739052,9.30571668900654,1,26
"Neocortex grey",584706,1097011.50176435,5.76693755040223,6.04021118101737,-0.273273630615148,-0.467001030472693,"Smaller than Predicted",13.0746272671527,0.833472956793898,13.9081002239466,1,13
"Mesencephalon",8087,3683.12299527816,3.90778744311062,3.56621622205304,0.341571221057578,1.19569099657212,"Larger than Predicted",9.12675776455631,-0.915241453263444,8.21151631129287,1,27
"Cerebellum",137421,70692.8839335222,5.13805310453746,4.8493756991725,0.288677405364957,0.943915601593327,"Larger than Predicted",12.0696093166293,-0.903509121387157,11.1661001952422,1,27
"Hippocampus",10287,4096.53736649661,4.01228873983461,3.61241692062329,0.399871819211321,1.51114516472665,"Larger than Predicted",9.2336385964077,-0.915741245301072,8.31789735110663,1,27
"Nucleus dentatus cerebelli",1166.9,831.853318844579,3.06703363984226,2.92004675365557,0.146986886186689,0.402771346300321,"Larger than Predicted",7.63550331801531,-0.911847192202332,6.72365612581298,1,25
