Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc
Corpus geniculatum laterale,Brownian (BM),1,442.89,581.35,763.09,335,-0.3220744652167275,-0.7353699820224466,-1.2778663787375324,30,23.1
Corpus geniculatum laterale,Pagel's lambda (ML),1.01,445.91,584.49,766.14,335,-0.3310809359014942,-0.7447524935278549,-1.2869843460044486,30,23.1
Amygdala,Brownian (BM),1,1883.2,2340.7,2909.2,3015,0.3753803918153735,0.22365520620463047,0.035074738359760174,8,22.2
Amygdala,Pagel's lambda (ML),0.204,2524,3133.8,3890.9,3015,0.16284865925079228,-0.03940746482772258,-0.29052875549684737,8,22.2
Pallidum,Brownian (BM),1,10796,12959,15555,4711,-1.2916955869431737,-1.7508266690284782,-2.3019426341575224,15,21.9
Pallidum,Pagel's lambda (ML),1.11,13450,15360,17541,4711,-1.8549341962760786,-2.2603572604876225,-2.7233535819774164,15,21.9
Neocortex white,Brownian (BM),1,1103600,1480600,1986500,421820,-1.6162249272406088,-2.51010977216143,-3.7094080040045574,13,12.3
Neocortex white,Pagel's lambda (ML),-0.227,617490,848300,1165400,421820,-0.46387110875268917,-1.011062390721809,-1.762792376455724,13,12.3
Insular cortex (grey),Brownian (BM),1,1526.6,2637.7,4557.5,6165,0.7523700296808604,0.5721448457023539,0.26075170617216054,23,30.3
Insular cortex (grey),Pagel's lambda (ML),0.889,1805.4,3165.8,5551.2,6165,0.7071539018337488,0.4864932200287198,0.09956385033761285,23,30.3
Nucleus subthalamicus Luysi,Brownian (BM),1,407.95,512.9,644.84,469,0.13017443299881884,-0.0935957621449411,-0.37493278693169374,14,25.2
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.21,77.417,140.88,256.36,469,0.8349313210897749,0.699622794045206,0.453400448511013,14,25.2
Capsula interna,Brownian (BM),1,5403.9,6390.7,7557.7,7008,0.22889088337643138,0.08808097996426387,-0.07844179400215362,14,25.5
Capsula interna,Pagel's lambda (ML),-0.309,5.5205,6.7546,8.2645,7008,0.9992122523956182,0.9990361621369542,0.9988207092968951,14,25.5
Striatum,Brownian (BM),1,17631,21082,25208,28689,0.3854364203666497,0.2651539651932324,0.12132981392520338,27,36.3
Striatum,Pagel's lambda (ML),0.885,19403,23604,28715,28689,0.32369341465431967,0.1772524359102202,-8.974759127557867e-4,27,36.3
Area striata grey,Brownian (BM),1,10583,14588,20110,15248,0.3059473847523996,0.043240756140963225,-0.3189032511363058,26,35.8
Area striata grey,Pagel's lambda (ML),0.631,11518,16099,22501,15248,0.24460756014166776,-0.05581896961857269,-0.4757278969001696,26,35.8
Neocortex grey,Brownian (BM),1,775910,1012600,1321500,584710,-0.3270048436302238,-0.7318081382489672,-1.2600968203708256,13,33.5
Neocortex grey,Pagel's lambda (ML),0.299,420290,598430,852070,584710,0.281197534913047,-0.02346766667524543,-0.4572655431878044,13,33.5
Mesencephalon,Brownian (BM),1,4486.6,4951.3,5464.2,8087,0.4452119154290041,0.3877412678811166,0.32431722042896216,27,25.3
Mesencephalon,Pagel's lambda (ML),0.783,5000.7,5597.4,6265.2,8087,0.3816414699478272,0.3078577102521254,0.2252699267898659,27,25.3
Cerebellum,Brownian (BM),1,55433,67979,83364,137420,0.5966219457640173,0.5053258100308851,0.39336671479295426,27,29.8
Cerebellum,Pagel's lambda (ML),0.963,57946,71652,88600,137420,0.5783336785744391,0.4785960933828887,0.35526737607006487,27,29.8
Hippocampus,Brownian (BM),1,3932.5,5677.8,8197.6,10287,0.6177171219016537,0.4480614239906734,0.2031131679174173,27,25.7
Hippocampus,Pagel's lambda (ML),1.08,3850.7,5283.9,7250.6,10287,0.6256705216066472,0.4863481958602021,0.29517125653987925,27,25.7
Nucleus dentatus cerebelli,Brownian (BM),1,586.6,744.11,943.91,1166.9,0.49729691267903586,0.36231734934240534,0.19109475711242987,25,24.2
Nucleus dentatus cerebelli,Pagel's lambda (ML),1.01,585.95,740.65,936.19,1166.9,0.49786175960273715,0.3652881321651191,0.19771265607709068,25,24.2
