.obs_key_id,match_column,match_value,rcmr_term,matched_pattern,match_mode,rule_rank,rule_label,column_rank,column_order,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,n_obs_rows
1,dissection,Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,32745
2,dissection,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",50362
5,dissection,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",32157
6,dissection,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",Occipital lobe,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),regex_ci,20,cortical occipital pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",32638
7,dissection,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",Occipital lobe,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),regex_ci,20,cortical occipital pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",28051
8,dissection,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,Insular lobe,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),regex_ci,10,cortical insular pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,34949
9,dissection,Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14,Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14,14352
10,dissection,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,38259
11,dissection,Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,29522
12,dissection,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,Occipital lobe,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),regex_ci,20,cortical occipital pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,33484
