"ROIGroup","ROIGroupCoarse","ROIGroupFine","dissection","n_obs_rows"
"Hindbrain","Pons","Pons","Pons (Pn) - Pontine reticular formation - PnRF",33322
"Hindbrain","Pons","Pons","Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN",22144
"Spinal cord","Spinal cord","Spinal cord","Spinal cord - SpC",18152
"Hindbrain","Pons","Pons","Pons (Pn) - Pontine Nucleus - PN",15355
"Cerebral nuclei","Cerebral nuclei","Claustrum","Claustrum - Cla",12236
"Hindbrain","Myelencephalon","Myelencephalon","Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN",11580
"Hindbrain","Myelencephalon","Myelencephalon","Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO",11015
"Hindbrain","Pons","Pons","Pons (Pn) - afferent nuclei of cranial nerves in pons - PnAN",9651
"Hindbrain","Myelencephalon","Myelencephalon","Myelencephalon (medulla oblongata) (Mo) - medullary reticular formation (MoRF) & efferent nuclei of cranial nerves in the medulla oblongata (MoEN) - MoRF-MoEN",9086
"Hindbrain","Pons","Pons","Pons (Pn) - other nuclei in pontine tegmentum (XPnTg) - dorsal tegmental nucleus - DTg",8080
"Hindbrain","Myelencephalon","Myelencephalon","Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR",6454
"Hindbrain","Pons","Pons","Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB",6424
"Cerebral nuclei","Cerebral nuclei","Extended amygdala","Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST",3656
"Hindbrain","Pons","Pons","",2151
