Species,Species_Stephan_file,Code_number_Stephan,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass,Number.of.individuals.vestibular.complex,Complexus.vestibularis,Nucleus.vestibularis.superior,Nucleus.vestibularis.lateralis,Nucleus.vestibularis.medialis,Nucleus.vestibularis.descendens,Number.of.individuals.periventrucular,Nucleus.septalis.triangularis,Corpus.subfornicale,Nucleus.habenularis.medialis,Corpus.pineale,Corpus.subcommissurale,Prefrontal.Gray,Other.cortical.association.areas.Gray,Frontal.motor.Gray,Primary.visual.White.Smaers,Prefrontal.White,Other.cortical.association.areas.White,Frontal.motor
Cheirogaleus_medius,Cheirogaleus medius,_0112,177,3140,24.6,45.2,2961,202,437,145,235,1941,102,2.66,198,32.5,145,65.3,174,1221,,,,,,,,,135,63.2,23.3,0.47,39.8,,3030.89,,,199,10.8,13,,,,,,,,,,,,,,,1,0.39,0.17,1.06,0.69,0.04,,,,,,,
Colobus_angolensis,,,9680,74400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,0.22,,0.03,0.04,0.15,71.82,74.4,9.68,,,,,,,,,,,,,,,,,,,
Daubentonia_madagascariensis,Daubentonia madagasc.,_0136,2800,45150,392,578,42611,1517,6461,897,3539,30196,685,8.31,1538,254,2765,1044,1776,22127,,,,,,,,,1065,473,122,3.53,351,24.9,43581.08,17074,5053,1113,58.5,304.8,,,,,,,,,,,,,,,1,2.65,0.59,7.75,3.32,1.83,,,,,,,
Erythrocebus_patas,Erythrocebus patas,_0234,7800,108000,561,519,103167,2616,8738,1621,5423,84770,51.8,0,1339,330,3624,693,1591,77141,,,,,,,,,,,,,,,,,,,267,814.5,,,,,,,,,,,,,,,,,,,,,1.56,,2.55,,0.27,,1.85
Eulemur_fulvus,Eulemur fulvus,_0118,1400,23300,194,190,22106,909,3328,590,1713,15566,207,3.21,641,119,1215,422,752,12207,12.2,1028,239,225,212,13.9,248,108,389,251,71.7,1.37,179,19.6,22490.35,9172,3035,1253,51.8,136.9,,,,,,,,,1,31.1,6.22,5.9,9.75,9.27,4,1.4,0.53,4.02,1.85,0.17,,,,,,,
Galago_senegalensis,Galago senegalensis,_0143,186,4800,40.2,81.4,4512,254,672,205,382,2997,79.2,2.58,163,35.7,210,107,261,2139,,,,,,,,,,,,,,,4633.2,,,301,16,21,,,,,,,,,,,,,,,1,0.59,0.07,1,0.74,0.04,,,,,,,
Galagoides_demidoff,Galagoides demidoff,_0142,81,3380,30.4,28.8,3203,169,413,135,246,2240,83.1,1.26,181,25.7,169,59.9,152,1568,2.09,153,45.1,18.3,17,1.4,18.4,11.5,122,50.2,14.9,0.62,35.3,2.82,3262.55,1417,150.6,214,10.9,13.6,0.01,,0,0.01,0.01,3.19,3.3,0.06,2,6.65,1.02,1.01,2.72,1.9,2,0.45,0.02,0.78,0.38,0.03,,,,,,,
Gorilla_gorilla,Gorilla gorilla,_0279,105000,500000,3608,8659,470359,7509,69249,4352,19370,369878,316,0,4871,1173,14567,2729,4781,341444,106,10547,2215,2782,2604,178,2471,671,,,,,,,398648.65,,,9129,308.5,5400.6,1.9,0.23,0.57,0.39,0.95,326.79,341.25,102.34,1,136,34.7,19.5,58.4,23.6,2,5.79,1.3,23.9,7.96,1.41,11.64,125.54,14.85,3.12,2.61,60.39,10.3
Homo_sapiens,Homo sapiens,_0280,65000,1330000,18732,13205,1251847,9622,137421,8087,33319,1063399,114,0,9032,2610,28689,6142,10287,1006525,133,18222,3555,5180,4711,469,7008,823,6016,3015,592,0,2424,246,1258397.68,584706,421819,15247.5,335,10477.9,6.48,0.44,1.2,1.87,2.96,1357.82,1406.72,70.1,1,177,35.8,22.4,72.8,45.9,1,0.52,0.51,17,142,0.02,46.32,271.89,29.01,5.44,28.14,258.22,29.76
Hylobates_lar,Hylobates lar,_0271,5700,102000,555,395,97505,2251,12078,1459,5716,76001,43.9,0,1264,302,4784,1136,2673,65800,31.2,3226,629,777,715,61.6,693,302,,,,,,,102316.6,46646,19154,4086.7,166.2,1167.9,0.29,,0.04,0.12,0.13,88.8,92,5.34,1,59.3,14.9,5.53,24.5,14.5,,,,,,,2.59,28.42,2.74,1.18,0.51,12.92,1.74
Hylobates_muelleri,,,5700,101800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,0.54,,0.14,0.11,0.29,98.26,101.8,5.7,,,,,,,,,,,,,,,,,,,
Indri_indri,Indri indri,_0133,6250,38300,330,354,36285,1342,5504,978,2911,25551,168,2.32,838,205,1855,848,1520,20114,,,,,,,,,,,,,,,36969.11,15891,4223,1648,94.5,186.3,0.17,,0.03,0.05,0.09,32.48,33.7,5.83,,,,,,,1,4.96,0.55,7.15,5.63,0.37,,,,,,,
Lagothrix_lagotricha,Lagothrix lagotricha,_0186,5200,101000,1090,897,95503,2110,11268,1582,5721,74822,73.4,1.43,1395,266,4947,680,1586,65873,31,2959,624,909,845,63.8,612,203,,,,,,,97490.35,49147,16727,4856,164,,,,,,,,,,2,53,9.07,6.94,23,14.1,2,2.6,0.58,7.01,10.6,0.89,1.89,24.19,2.43,1.23,0.23,12.5,1.63
Leontopithecus_rosalia,,,598,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.01,0,0.02,12.26,12.7,0.6,,,,,,,,,,,,,,,,,,,
Lepilemur_ruficaudatus,Lepilemur ruficaudatus,_0117,915,7600,76.5,84.1,7175,449,1165,260,593,4708,113,2.72,302,56.7,366,194,392,3282,4.89,337,114,58.1,55.2,2.91,63,20.7,170,133,42.5,0.62,90.4,7.18,7335.91,2805,476.6,326,15.6,26.2,,,,,,,,,1,14.9,2.11,2.3,5.92,4.47,1,0.89,0.12,1.75,0.73,0.13,,,,,,,
Lophocebus_albigena,Lophocebus albigena,_0209,7900,104000,742,2041,97603,2708,10726,1770,5351,77049,121,0,1639,294,4146,630,1485,68733,27.9,2933,681,726,674,52.4,708,308,,,,,,,100386.1,,,5420,182,873.3,0.54,,0.1,0.17,0.27,106.66,110.5,8.25,1,87.1,16.2,10,35.6,25.2,1,1.69,0.66,6,11.9,0.23,2.31,29.1,3.93,1.41,0.42,17.09,3.06
Loris_tardigradus,Loris tardigradus,_0137,322,6600,51.6,50.4,6269,233,728,220,538,4551,85.8,2.3,256,41.1,351,99.7,191,3524,3.21,348,80.9,45.2,41.4,3.79,46.3,15.7,,,,,,,6370.66,,,529,24.6,28.9,0.01,,0,0,0.01,6.61,6.9,0.26,1,8.45,1.61,1.22,3.55,2.08,1,0.82,0.21,1.15,0.34,0.1,,,,,,,
Macaca_fascicularis,,,2900,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55598.46,,,2713.3,91.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_maura,,,6050,83300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,0.07,0.18,0.24,80.41,83.3,6.05,,,,,,,,,,,,,,,,,,,
Macaca_mulatta,Macaca mulatta,_0202,7800,93000,834,1038,87896,1992,8965,1380,4480,71080,84.3,0,1220,271,4032,639,1353,63482,,,,,,,,,,,,,,,89768.34,,,5343,158,639.2,,,,,,,,,,,,,,,1,2.83,0.36,7.66,12.4,0.27,,,,,,,
Microcebus_murinus,Microcebus murinus,_0114,54,1780,11.3,26.6,1680,99.1,234,85.2,134,1129,43,1.62,103,15.3,85.7,40.1,100,740,1.44,78.3,29.8,11.4,10.7,0.65,9.08,6.17,66.8,36.4,12.1,0.26,24.3,,1718.15,674.2,65.31,136,7.1,5.9,,,,,,,,,2,4.02,0.68,0.76,1.5,1.08,1,0.27,0.06,0.46,0.14,0.02,,,,,,,
Miopithecus_talapoin,Miopithecus talapoin,_0232,1200,40000,262,572,37776,1035,3374,826,2375,30166,27.8,0,706,133,1908,259,705,26427,,,,,,,,,,,,,,,38610.04,,,2339,109,273.7,,,,,,,,,,,,,,,3,0.87,0.19,2.07,2.03,0.22,1.02,12.22,0.91,0.71,0.15,4.64,0.55
Nasalis_larvatus,Nasalis larvatus,_0243,14000,97000,591,241,92797,2945,12113,1556,5310,70873,30.3,0,1268,333,3735,855,1966,62685,29.6,3036,671,587,550,37.2,564,304,,,,,,,,,,,157,967.4,,,,,,,,,1,86.2,12.6,14.8,33.6,25.2,,,,,,,0.81,,1.75,,0.07,,0.93
Nycticebus_coucang,Nycticebus coucang,_0138,800,12500,142,169,11755,528,1310,345,1077,8495,159,4.28,510,92,760,212,566,6192,,,,,,,,,,,,,,,12065.64,4952,1240,696,35.9,63.8,,,,,,,,,,,,,,,1,1.34,0.18,2.04,1.83,0.15,,,,,,,
Otolemur_crassicaudatus,Otolemur crassicaudatus,_0141,850,10300,147,128,9668,540,1414,384,785,6545,166,2.52,386,70,556,181,461,4723,5.71,437,127,67.4,63.3,4.1,74.6,33.9,,,,,,,9942.08,,,479,23.2,54.5,,,,,,,,,1,19.9,2.85,2.87,7.16,7.01,1,0.7,0.09,1.64,1.02,0.1,,,,,,,
Pan_paniscus,,,26733.33,352000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338803.09,,,11606.5,275.1,,1.69,0.14,0.35,0.26,0.93,339.77,352,26.73,,,,,,,,,,,,,7.96,,8.36,,2.06,,5.24
Pan_troglodytes,Pan troglodytes,_0277,46000,405000,1899,6924,382103,5817,43663,3739,15392,313493,257,0,2750,851,12246,2018,3779,291592,53.6,7987,1739,2078,1951,127,2510,630,,,,,,,319670.71,172597,118996,8268.3,250.7,3990.6,1.6,0.07,0.16,0.67,0.7,330.79,342.7,46.5,1,118,23.5,9.65,54.7,29.8,3,2.7,0.61,9.4,38,0.39,14.21,112.75,13.41,4,4.61,76.6,12.78
Papio_anubis,Papio anubis,_0212,25000,201000,1081,1977,190957,5297,18683,2711,9280,154987,287,0,2111,559,7182,1309,3398,140142,65.4,4788,1076,1241,1147,94.7,1257,601,,,,,,,194015.44,85726,54416,10001,395,2177.7,,,,,,,,,1,107,14.4,10.5,48.1,33.9,1,1.86,0.41,12.7,51.1,0.35,3.92,45.24,4.69,3.74,0.85,33.84,3.33
Perodicticus_potto,Perodicticus potto,_0139,1150,14000,127,174,13212,680,1699,391,1024,9418,310,2.74,661,114,712,328,607,6683,10.4,587,160,116,107,8.19,107,19.5,,,,,,,13513.51,,,495,24.3,77.7,0.03,,0,0.02,0.01,11.1,11.5,1.25,2,17.3,2.86,2.66,7.87,3.88,5,2.27,0.22,3.77,1.76,0.26,,,,,,,
Piliocolobus_badius,Piliocolobus badius,_0246,7000,78000,455,1016,73818,2007,8648,1333,3945,57885,51.3,0,937,288,3217,814,1671,50906,22.3,2164,484,553,521,31.9,460,201,458,479,114,0,365,45.5,75289.58,36575,14331,3053,128,646.4,0.24,,0.05,0.07,0.12,72.39,75,7.05,2,57.3,8.68,10,24.1,14.5,1,2.26,0.45,4.54,7.31,0.27,1.59,22.63,2.26,0.93,0.2,9.67,1.32
Pithecia_monachus,Pithecia monachus,_0174,1500,35000,631,286,32867,1009,3908,745,2285,24920,34.8,0.85,675,140,1918,289,834,21028,,,,,,,,,,,,,,,33783.78,,,1679,76.3,,,,,,,,,,,,,,,,1,1.31,0.3,2.53,0.06,0.19,,,,,,,
Pithecia_pithecia,,,1580,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,0.1,0.04,0.14,28.96,30,1.58,,,,,,,,,,,,,0.6,9.24,0.82,0.45,0.08,4.2,0.5
Plecturocebus_moloch,Callicebus moloch,_0172,900,19000,279,242,17944,787,1622,530,1375,13465,19.2,0.33,454,86.4,920,234,588,11163,,,,,,,,,,,,,,,18339.77,,,1201,54.2,105.9,,,,,,,,,,,,,,,1,0.89,0.14,2.66,2.9,0.15,,,,,,,
Pongo_abelii,,,35600,345900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.02,0.32,0.22,0.6,333.88,345.9,35.6,,,,,,,,,,,,,,,,,,,
Pongo_pygmaeus,,,57050,336000,,,,5500,42900,4000,13500,238300,,,3800,600,11500,,2700,219800,,,,,1800,,,,2400,1400,,,,,371299.87,138300,81500,8233.7,259.1,4300,1.51,0.06,0.19,0.2,1.06,347.97,360.5,57.05,,,,,,,,,,,,,8.6,76.92,6.35,,2.52,,4.75
Propithecus_verreauxi,Propithecus verreauxi,_0132,3480,26700,231,347,25194,1223,3957,780,2195,17040,147,3.4,664,159,1411,443,1043,13170,14.6,1341,328,283,263,20,324,125,292,251,78.7,0.92,172,18.8,25772.2,9835,3335,1106,64.5,169.3,,,,,,,,,1,43.2,8.18,7.37,15.3,12.4,1,1.6,0.51,3.65,3.26,0.36,,,,,,,
Pygathrix_nemaeus,Pygathrix nemaeus,_0242,7500,77000,911,883,72530,2206,8063,1345,4727,56189,10.7,0,942,290,3166,723,2295,48763,,,,,,,,,,,,,,,,,,,115,708.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_geoffroyi,,,482,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.01,0.01,10.14,10.5,0.48,,,,,,,,,,,,,,,,,,,
Saguinus_midas,Saguinus midas,_0165,340,10300,251,122,9569,428,1061,332,692,7055,17.3,0.29,243,40.9,471,120,280,5883,,,,,,,,,,,,,,,9942.08,,,841,36,45.7,,,,,,,,,,,,,,,1,0.56,0.08,1.18,0.22,0.1,,,,,,,
Saguinus_oedipus,Saguinus oedipus,_0164,380,10000,62.6,52.8,9537,413,984,333,754,7052,19.1,0.41,256,60.5,453,107,262,5894,4.93,410,152,77.6,73.2,4.45,62.7,50.5,,,,,,,9652.51,,,807,34.2,50.9,0.03,,0.01,0.01,0.01,8.94,9.3,0.42,2,18.4,2.98,3.63,7.25,4.49,1,1.08,0.17,1.55,0.39,0.09,,,,,,,
Saimiri_sciureus,Saimiri sciureus,_0192,660,24000,299,295,22572,722,2260,526,1430,17635,26.8,0.99,413,90.6,1042,168,352,15541,8.86,731,207,180,169,11.5,132,117,186,227,45.9,0,181,15,23166.02,11832,3710,1884,62.9,135.2,,,,,,,,,1,29.4,4.43,6.26,11.4,7.31,5,0.6,0.26,2.77,2.71,0.14,,,,,,,
Symphalangus_syndactylus,,,1900,38700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133880.31,,,5468.9,,,0.42,,0.07,0.2,0.15,133.88,38.7,1.9,,,,,,,,,,,,,,,,,,,
Tarsius_syrichta,Tarsius syrichta,_0147,125,3600,24.1,58,3393,207,428,197,303,2258,18.8,0.82,92.7,23.3,133,69,153,1768,2.53,175,42.5,17.1,16.1,1.09,16.7,15.5,39.1,49.8,11.1,0.08,38.7,5.35,3474.9,1631,137,349,20.8,16.5,,,,,,,,,1,7.69,0.76,1.16,3.36,2.41,3,0.41,0.05,1.13,2.03,0.11,,,,,,,
Trachypithecus_francoisi,,,7700,102100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,0.16,0.25,0.22,98.55,102.1,7.7,,,,,,,,,,,,,,,,,,,
Varecia_variegata,Varecia variegata,_0124,3000,31500,299,393,29713,1420,4286,1018,2529,20461,369,5.27,985,206,1591,608,1404,15293,,,,,,,,,,,,,,,30405.41,,,1745,68.9,168.8,0.1,,0.01,0.04,0.04,30.41,31.5,3.55,,,,,,,1,3.51,0.74,5.35,4.46,0.2,,,,,,,
