"roi","tissue","dissection","n"
"Human GPe","globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe",47376
"Human A23","Brodmann (1909) area 23","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23",35359
"Human A32","Brodmann (1909) area 32","Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32",23295
"Human A35-A36","perirhinal cortex","Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36",22886
"Human PB","parabrachial nucleus","Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB",21693
"Human Gpe","globus pallidus","",2478
"Human PB","parabrachial nucleus","",2462
"Human A32","Brodmann (1909) area 32","",1480
"Human GPe","globus pallidus","",976
"Human A35-A36","perirhinal cortex","",774
"Human A35-36","perirhinal cortex","",72
"Human A23","Brodmann (1909) area 23","",33
