"anatomy_group","n_cells_Astrocyte","n_cells_Bergmann glia","n_cells_Choroid plexus","n_cells_Committed oligodendrocyte precursor","n_cells_Ependymal","n_cells_Fibroblast","n_cells_Microglia","n_cells_Oligodendrocyte","n_cells_Oligodendrocyte precursor","n_cells_Vascular","abundance_Astrocyte","abundance_Bergmann glia","abundance_Choroid plexus","abundance_Committed oligodendrocyte precursor","abundance_Ependymal","abundance_Fibroblast","abundance_Microglia","abundance_Oligodendrocyte","abundance_Oligodendrocyte precursor","abundance_Vascular","p_cells_Astrocyte","p_cells_Bergmann glia","p_cells_Choroid plexus","p_cells_Committed oligodendrocyte precursor","p_cells_Ependymal","p_cells_Fibroblast","p_cells_Microglia","p_cells_Oligodendrocyte","p_cells_Oligodendrocyte precursor","p_cells_Vascular","enrichment_global_Astrocyte","enrichment_global_Bergmann glia","enrichment_global_Choroid plexus","enrichment_global_Committed oligodendrocyte precursor","enrichment_global_Ependymal","enrichment_global_Fibroblast","enrichment_global_Microglia","enrichment_global_Oligodendrocyte","enrichment_global_Oligodendrocyte precursor","enrichment_global_Vascular","log2_enrichment_global_Astrocyte","log2_enrichment_global_Bergmann glia","log2_enrichment_global_Choroid plexus","log2_enrichment_global_Committed oligodendrocyte precursor","log2_enrichment_global_Ependymal","log2_enrichment_global_Fibroblast","log2_enrichment_global_Microglia","log2_enrichment_global_Oligodendrocyte","log2_enrichment_global_Oligodendrocyte precursor","log2_enrichment_global_Vascular"
"Insular lobe",2763,0,0,54,0,81,1105,3336,1732,125,0.293484458715384,0,0,0.00585468050772314,0,0.00889934091179927,0.123071599820141,0.364941996226012,0.190596154801857,0.0131517690170835,1,0,0,1,0,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Nucleus accumbens",707,0,0,24,94,10,166,1164,538,17,0.27343154205593,0,0,0.00945198085199672,0.0988433228180862,0.00355463454584539,0.0652039660055056,0.40811706647272,0.201193425152812,0.006099610642495,1,0,0,1,1,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Nucleus dentatus cerebelli",6267,19,2,45,17,182,3304,16946,1729,141,0.14450706061626,0.00191390618349098,0.0017286084701815,0.00318189668143325,0.000596339073249286,0.0055393999395856,0.11509610384263,0.660313485507276,0.064563431966365,0.00391095305739937,1,1,1,1,1,1,1,1,1,1,4.90602256270236,68.7686837341608,85.8664836938973,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,6.1036798268644,6.42402320827254,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Nucleus medial thalami",1097,0,2,31,152,186,847,4628,714,178,0.149080888601217,0,0.000450551926109484,0.00393249252354006,0.0421896244120913,0.0249241458178396,0.110428632583678,0.564693319447193,0.0956756513875621,0.0229882693888718,1,0,1,1,1,1,1,1,1,1,4.90602256270236,0,85.8664836938973,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,6.42402320827254,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Nucleus ruber",344,1,0,6,0,26,157,2133,281,25,0.115708039017827,0.000336360578540195,0,0.00201816347124117,0,0.00874537504204507,0.0528086108308106,0.717457114026236,0.0945173225697948,0.00840901446350488,1,1,0,1,0,1,1,1,1,1,4.90602256270236,68.7686837341608,0,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,6.1036798268644,0,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Nucleus subthalamicus",1312,0,0,20,0,154,836,16182,985,70,0.068559268156742,0,0,0.00107108298754671,0,0.00782557096867203,0.041029643535372,0.827038040552336,0.0508737605829209,0.00360263321641035,1,0,0,1,0,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Occipital lobe",3297,0,0,56,0,63,1042,5391,1528,123,0.286459159699873,0,0,0.00492074947056962,0,0.00594182538862041,0.0959151550865527,0.468323232098733,0.127991584223262,0.0104482940323895,1,0,0,1,0,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Pallidum",11894,1,0,251,0,369,16783,35084,3009,419,0.1553479476045,2.56930705788649e-05,0,0.00297971113988321,0,0.00605604717775506,0.187598494112789,0.587231514633928,0.0549861818470436,0.00579153912724081,1,1,0,1,0,1,1,1,1,1,4.90602256270236,68.7686837341608,0,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,6.1036798268644,0,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Parietal lobe",3506,0,1,50,1,73,1301,5840,1456,102,0.286976468084279,0,0.000211999152003392,0.00400486680985117,0.00024443901246639,0.00627192916725492,0.10793523574251,0.465367365550622,0.120702288889665,0.0085896997009945,1,0,1,1,1,1,1,1,1,1,4.90602256270236,0,85.8664836938973,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,6.42402320827254,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Putamen",865,0,0,17,0,58,291,2000,398,46,0.283958322965253,0,0,0.00576664067590454,0,0.0156106945891598,0.0746284559855594,0.473020990631466,0.134422281762538,0.0125926133901184,1,0,0,1,0,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Substantia nigra",5312,0,0,62,3,191,6555,34626,3871,217,0.101899186922492,0,0,0.00149885892174608,0.000167588402882521,0.00463357334031054,0.118561500874388,0.691807337015322,0.0760921309233184,0.00545154920146225,1,0,0,1,1,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Temporal lobe",20845,0,1,406,0,741,7172,35110,15437,1079,0.243173133396392,0,1.79704206875483e-05,0.00543861528971292,0,0.00988891245118811,0.105230171777686,0.457012199765045,0.16825156019452,0.0109994169852269,1,0,1,1,0,1,1,1,1,1,4.90602256270236,0,85.8664836938973,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,6.42402320827254,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Vermis",203,6614,0,30,1,173,1431,4357,3862,462,0.0182603930471671,0.396608070016868,0,0.00161841188468696,9.57304231284702e-05,0.00998154583006056,0.0728644497639762,0.240069522064255,0.23530022786089,0.0252654693910533,1,1,0,1,1,1,1,1,1,1,4.90602256270236,68.7686837341608,0,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,6.1036798268644,0,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
