"roi","sample_id","blank_FALSE","blank_TRUE","frac_blank"
"Human A23","10X418_6",0,33,1
"Human A23","10X215_7",7288,0,0
"Human A23","10X215_8",7204,0,0
"Human A23","10X379_6",5975,0,0
"Human A23","10X379_5",5363,0,0
"Human A23","10X381_4",5132,0,0
"Human A23","10X381_3",4397,0,0
"Human A32","10X418_5",0,1147,1
"Human A32","10X418_6",0,333,1
"Human A32","10X174_4",6290,0,0
"Human A32","10X174_3",5973,0,0
"Human A32","10X380_1",5824,0,0
"Human A32","10X380_2",5208,0,0
"Human A35-36","10X418_7",0,42,1
"Human A35-36","10X418_8",0,30,1
"Human A35-A36","10X418_7",0,393,1
"Human A35-A36","10X418_8",0,381,1
"Human A35-A36","10X361_6",6355,0,0
"Human A35-A36","10X361_5",5683,0,0
"Human A35-A36","10X215_2",5542,0,0
"Human A35-A36","10X215_1",5306,0,0
"Human GPe","10X419_2",0,387,1
"Human GPe","10X419_1",0,299,1
"Human GPe","10X419_4",0,147,1
"Human GPe","10X419_3",0,143,1
"Human GPe","10X319_5",6851,0,0
"Human GPe","10X393_8",6625,0,0
"Human GPe","10X319_7",6543,0,0
"Human GPe","10X145_7",6266,0,0
"Human GPe","10X145_8",6175,0,0
"Human GPe","10X319_8",5774,0,0
"Human GPe","10X393_7",5606,0,0
"Human GPe","10X319_6",3536,0,0
"Human Gpe","10X419_2",0,1319,1
"Human Gpe","10X419_1",0,933,1
"Human Gpe","10X419_4",0,125,1
"Human Gpe","10X419_3",0,101,1
"Human PB","10X418_2",0,1239,1
"Human PB","10X418_1",0,1223,1
"Human PB","10X217_8",8594,0,0
"Human PB","10X217_7",7348,0,0
"Human PB","10X360_6",3264,0,0
"Human PB","10X360_5",2487,0,0
