"roi","n","n_blank","frac_blank","tissue_values"
"Human Gpe",2478,2478,1,1
"Human A35-36",72,72,1,1
"Human PB",24155,2462,0.101925067273856,1
"Human A32",24775,1480,0.0597376387487387,1
"Human A35-A36",23660,774,0.0327134404057481,1
"Human GPe",48352,976,0.0201853077432164,1
"Human A23",35392,33,0.000932414104882459,1
