"ROIGroup","ROIGroupCoarse","ROIGroupFine","roi","disease_ontology_term_id","self_reported_ethnicity_ontology_term_id","assay_ontology_term_id","sex_ontology_term_id","development_stage_ontology_term_id","donor_id","suspension_type","dissection","fraction_mitochondrial","fraction_unspliced","cell_cycle_score","total_genes","total_UMIs","sample_id","supercluster_term","cluster_id","subcluster_id","cell_type_ontology_term_id","is_primary_data","tissue_type","tissue_ontology_term_id","cell_type","assay","disease","sex","tissue","self_reported_ethnicity","development_stage","observation_joinid","obs_dataset","dissection_chr","tissue_chr","roi_chr","dissection_blank","tissue_blank"
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.730074479924664,0.00154096395856519,3943,11681,"10X418_2","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","kyr`yn2z96","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.752728317059161,0.00186674325100517,2986,6964,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Op*Dxp{zQG","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000726984336792016,0.789703258211619,0.00158614764390985,4344,15131,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","--Z|$N2{09","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000264084507042253,0.693573943661972,0.00255281690140845,4018,11360,"10X419_3","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","29-year-old stage","y=VIQ(YbDW","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",7.50243829244504e-05,0.771475729612124,0.000975316978017856,4188,13329,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","H5*k<EfH%t","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000702658390912285,0.701721513057735,0.00152242651364328,3309,8539,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","DYa^oj=@>s","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000589275191514437,0.702121390689452,0.0016205067766647,2923,6788,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","QFI^g5a+y4","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",9.13700945680479e-05,0.75987939147517,0.00155329160765681,5651,21889,"10X418_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","G|~~MQn*ZY","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000324648973297622,0.692638584530476,0.0015420826231637,3991,12321,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","T&{`@8`Rc}","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000117322696075556,0.780254590250484,0.00193582448524667,4951,17047,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Bef6TODHR*","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00018491124260355,0.746579142011834,0.00231139053254438,3685,10816,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage",";ginbew;#W","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000219695721425825,0.769703960015379,0.00153787004998078,4897,18207,"10X418_2","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","!h&bFecGF?","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",4.94413131612776e-05,0.785869672698507,0.00182932858696727,5120,20226,"10X419_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Gp+rVVqq;o","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000117966261649168,0.706146042231922,0.00070779756989501,3423,8477,"10X418_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","+brpwf#nbJ","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00119274809160305,0.74200858778626,0.00178912213740458,3188,8384,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","12&9_(Y8<i","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000219298245614035,0.671710526315789,0.00219298245614035,3378,9120,"10X418_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage",";nWBFtDSr=","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",8.21692686935086e-05,0.74075595727198,0.00271158586688578,4204,12170,"10X418_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","yA5PE!|ld~","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000270526173407277,0.731502772893277,0.00189368321385094,3105,7393,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","jP=ER@7tcq","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.707683191783528,0.00158009085522418,2262,5063,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","%kGkAAhq)d","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000228188940442687,0.769453107172739,0.001217007682361,4333,13147,"10X419_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","OPDPQL)gx{","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000254258835494533,0.746122552758708,0.00177981184846173,3100,7866,"10X418_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","f*?cf2E{Ih","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",7.08265457893619e-05,0.764005949429846,0.00077909200368298,4269,14119,"10X418_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","IsI8*B9|bo","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000318217979315831,0.673110580747812,0.00103420843277645,4359,12570,"10X418_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","#6+<T_y!~~","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.786433260393873,0.00273522975929978,3311,9140,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","$Y4~SZosdC","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000377806563039724,0.804296200345423,0.00226683937823834,4789,18528,"10X418_2","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","G~hLW6kl@I","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000211394144382201,0.755839763238558,0.0012683648662932,3472,9461,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","rRU0txk|8^","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000669512093062181,0.714202025274081,0.00133902418612436,4157,11949,"10X419_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","1B%A#5Z$=l","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000323101777059774,0.71357027463651,0.00153473344103393,4157,12380,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","vpR*<4iP)l","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00019546520719312,0.779612978889758,0.00156372165754496,3694,10232,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","{k#sFm3P6*","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",7.0420055631844e-05,0.792507306080772,0.00211260166895532,5903,28401,"10X418_2","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","U%b!TsC7-d","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.796602258937739,0.00140016802016242,3452,10713,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","ZDc+7eVEqF","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.770865164247517,0.00100267379679144,5217,20944,"10X418_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","6;Un#RHG_=","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00148233550193527,0.795602404677592,0.00189409536358396,3960,12143,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","3pl=nSs(&i","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.813083504115026,0.00269997722910771,5894,30741,"10X418_2","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","K#i}28utbx","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000172532781228433,0.7506038647343,0.00215665976535542,4044,11592,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","18REPcfo|u","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000275785990071704,0.759698473984188,0.00174664460378746,3784,10878,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","JdbG~bc_J#","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000109122653862942,0.760475774770842,0.00109122653862942,3273,9164,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","0)#2FZbX;B","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.745808545159546,0.00200880784980298,4047,12943,"10X418_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","VH++dM7!DM","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000334896182183523,0.68251841929002,0.0018977450323733,3553,8958,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","ZAec0UH>O%","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000141168166578437,0.789518263631551,0.00257631904005647,5757,28335,"10X419_2","Oligodendrocyte","50","2997","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","|1@SX0yzxc","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000156580286541924,0.76160651373992,0.00117435214906443,4140,12773,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","c5p1q7AaX!","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000193149626577389,0.76403553953129,0.00148081380375998,4622,15532,"10X419_2","Oligodendrocyte","50","2997","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","x|%H<oZ-@*","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000629247420085578,0.738484772212434,0.00289453813239366,3237,7946,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","S&)s}MB-6P","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000225695424025278,0.796479151385206,0.000846357840094792,4481,17723,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","s-uVhQtTw?","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.747554835349268,0.0023149487817582,4776,17279,"10X418_2","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","MjC_6M;@L~","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000205366922234392,0.808392661555312,0.00164293537787514,4116,14608,"10X418_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","hl%?p8dW&l","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.730297454768476,0.00306654400490647,2854,6522,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","R2Q}_nDW{N","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000386607902265522,0.746153251372458,0.0017783963504214,4344,12933,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","0GK5u+^>Fz","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000557040998217469,0.759803921568627,0.00189393939393939,3413,8976,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","8i(<O%YW6_","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000252429635239177,0.732550801464092,0.00138836299381547,3285,7923,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","kS-zqfLjs=","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000116076610562972,0.744863609982588,0.00139291932675566,3231,8615,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","m{KIWMvv%L","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000184774575018477,0.760809312638581,0.00258684405025868,3985,10824,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","&R?*~33F83","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000263487253804097,0.777221526908636,0.00144917989592253,4405,15181,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","BPU)D0LSI?","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000289582277564613,0.726344747701441,0.00166509809599653,4212,13813,"10X418_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","*F#uYP?CtE","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000168095478231636,0.765506807866868,0.00159690704320054,3880,11898,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Umk?GAG;TI","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
