"cell_category","supercluster_term","cluster_id","subcluster_id","n"
"Inhibitory_interneuron","MGE interneuron","246","230",174
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","229","2136",174
"Splatter","Splatter","360","1914",174
"Splatter","Splatter","425","1744",174
"Excitatory_projection","Mammillary body","330","1843",173
"Excitatory_projection","Mammillary body","333","1288",173
"Splatter","Splatter","358","1301",173
"Splatter","Splatter","396","731",173
"Splatter","Splatter","397","739",173
"Splatter","Splatter","423","1687",173
"Inhibitory_projection_MSN","Medium spiny neuron","206","2089",172
"Splatter","Splatter","373","1073",172
"Splatter","Splatter","385","1217",172
"Splatter","Splatter","416","867",172
"Excitatory_projection","Lower rhombic lip","321","793",171
"Inhibitory_interneuron","CGE interneuron","276","625",171
"Miscellaneous","Miscellaneous","167","2790",171
"Splatter","Splatter","348","1620",171
"Splatter","Splatter","357","1309",171
"Splatter","Splatter","373","981",171
"Splatter","Splatter","392","1701",171
"Excitatory_projection","Deep-layer intratelencephalic","137","2748",170
"Inhibitory_interneuron","CGE interneuron","285","588",170
"Inhibitory_interneuron","MGE interneuron","246","231",170
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","229","2135",170
"Excitatory_projection","Deep-layer near-projecting","94","2953",169
"Excitatory_projection","Hippocampal CA4","191","2258",169
"Inhibitory_projection_MSN","Medium spiny neuron","217","1728",169
"Splatter","Splatter","349","908",169
"Splatter","Splatter","358","1299",169
"Splatter","Splatter","360","1907",169
"Splatter","Splatter","380","951",169
"Excitatory_projection","Deep-layer corticothalamic and 6b","102","2840",168
"Splatter","Splatter","366","947",168
"Inhibitory_interneuron","CGE interneuron","276","629",167
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","267","477",167
"Splatter","Splatter","335","745",167
"Splatter","Splatter","390","1236",167
"Excitatory_projection","Hippocampal CA4","194","2234",166
"Excitatory_projection","Hippocampal CA4","196","2248",166
"Splatter","Splatter","343","1601",166
"Splatter","Splatter","347","1616",166
"Splatter","Splatter","349","1624",166
"Splatter","Splatter","380","952",166
"Splatter","Splatter","380","960",166
"Splatter","Splatter","423","1770",166
"Excitatory_projection","Hippocampal CA4","196","2245",165
"Inhibitory_interneuron","Midbrain-derived inhibitory","433","646",165
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","227","2014",165
"Splatter","Splatter","368","1012",165
"Splatter","Splatter","376","1224",165
"Splatter","Splatter","425","1775",165
"Excitatory_projection","Deep-layer corticothalamic and 6b","106","2822",164
"Excitatory_projection","Hippocampal CA4","193","2231",164
"Excitatory_projection","Upper-layer intratelencephalic","123","2551",164
"Inhibitory_interneuron","MGE interneuron","248","249",164
"Splatter","Splatter","352","1937",164
"Splatter","Splatter","362","1410",164
"Splatter","Splatter","366","1268",164
"Inhibitory_interneuron","CGE interneuron","285","631",163
"Inhibitory_projection_MSN","Medium spiny neuron","217","2124",163
"Splatter","Splatter","370","1023",163
"Splatter","Splatter","422","1492",163
"Splatter","Splatter","343","1604",162
"Splatter","Splatter","369","1042",162
"Splatter","Splatter","376","1223",162
"Splatter","Splatter","412","1158",162
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","267","478",161
"Splatter","Splatter","345","1590",161
"Splatter","Splatter","355","1879",161
"Splatter","Splatter","412","1138",161
"Inhibitory_interneuron","CGE interneuron","282","563",160
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1724",160
"Splatter","Splatter","383","1106",160
"Splatter","Splatter","399","873",160
"Splatter","Splatter","237","180",159
"Splatter","Splatter","347","1613",159
"Splatter","Splatter","373","983",159
"Splatter","Splatter","374","923",159
"Splatter","Splatter","413","1206",159
"Splatter","Splatter","421","1472",159
"Excitatory_projection","Mammillary body","323","1831",158
"Splatter","Splatter","354","1384",158
"Splatter","Splatter","380","1395",158
"Splatter","Splatter","381","1369",158
"Splatter","Splatter","382","846",158
"Splatter","Splatter","396","1279",158
"Excitatory_projection","Deep-layer corticothalamic and 6b","97","2923",157
"Inhibitory_interneuron","CGE interneuron","285","606",157
"Inhibitory_interneuron","Cerebellar inhibitory","299","130",157
"Splatter","Splatter","424","1483",157
"Excitatory_projection","Hippocampal CA4","194","2235",156
"Splatter","Splatter","346","886",156
"Splatter","Splatter","353","1574",156
"Splatter","Splatter","414","1177",156
"Excitatory_projection","Deep-layer near-projecting","91","2962",155
"Splatter","Splatter","373","1184",155
"Splatter","Splatter","416","865",155
"Excitatory_projection","Amygdala excitatory","419","1673",154
"Splatter","Splatter","355","1392",154
"Splatter","Splatter","356","1361",154
"Splatter","Splatter","431","821",154
"Splatter","Splatter","348","1609",153
"Splatter","Splatter","367","1000",153
"Splatter","Splatter","387","893",153
"Splatter","Splatter","421","1470",153
"Splatter","Splatter","344","919",152
"Splatter","Splatter","344","936",152
"Splatter","Splatter","351","748",152
"Splatter","Splatter","367","1007",152
"Splatter","Splatter","370","1021",152
"Splatter","Splatter","380","900",152
"Splatter","Splatter","387","970",152
"Splatter","Splatter","398","1533",152
"Splatter","Splatter","424","1749",152
"Inhibitory_interneuron","MGE interneuron","244","286",151
"Inhibitory_projection_MSN","Medium spiny neuron","212","2066",151
"Splatter","Splatter","352","1934",151
"Splatter","Splatter","373","1416",151
"Splatter","Splatter","375","1559",151
"Splatter","Splatter","383","1102",151
"Splatter","Splatter","424","1750",151
"Splatter","Splatter","424","1759",151
"Excitatory_projection","Deep-layer corticothalamic and 6b","111","2911",150
"Excitatory_projection","Deep-layer near-projecting","96","2933",150
"Excitatory_projection","Hippocampal CA1-3","182","2303",150
"Miscellaneous","Miscellaneous","166","2354",150
"Splatter","Splatter","237","185",150
"Splatter","Splatter","346","883",150
"Splatter","Splatter","373","985",150
"Splatter","Splatter","377","1460",150
"Splatter","Splatter","381","1548",150
"Splatter","Splatter","403","1967",150
"Splatter","Splatter","410","840",150
"Excitatory_projection","Hippocampal CA1-3","187","2321",149
"Inhibitory_interneuron","MGE interneuron","247","243",149
"Splatter","Splatter","349","910",149
"Splatter","Splatter","370","1210",149
"Splatter","Splatter","393","759",149
"Excitatory_projection","Amygdala excitatory","419","1661",148
"Excitatory_projection","Deep-layer corticothalamic and 6b","107","2882",148
"Excitatory_projection","Thalamic excitatory","372","1076",148
"Excitatory_projection","Thalamic excitatory","372","1083",148
"Splatter","Splatter","343","1603",148
"Splatter","Splatter","370","1015",148
"Splatter","Splatter","398","1542",148
"Splatter","Splatter","428","1729",148
"Excitatory_projection","Amygdala excitatory","406","1953",147
"Excitatory_projection","Deep-layer near-projecting","86","2993",147
"Excitatory_projection","Lower rhombic lip","316","788",147
"Miscellaneous","Miscellaneous","114","2536",147
"Splatter","Splatter","425","1747",147
"Inhibitory_interneuron","CGE interneuron","276","628",146
"Inhibitory_interneuron","Midbrain-derived inhibitory","436","683",146
"Inhibitory_projection_MSN","Medium spiny neuron","427","1712",146
"Splatter","Splatter","354","1380",146
"Excitatory_projection","Deep-layer near-projecting","88","2982",145
"Inhibitory_interneuron","Midbrain-derived inhibitory","433","650",145
"Splatter","Splatter","358","1891",145
"Splatter","Splatter","376","1436",145
"Splatter","Splatter","424","1752",145
"Excitatory_projection","Deep-layer intratelencephalic","145","2380",144
"Excitatory_projection","Deep-layer near-projecting","89","2995",144
"Excitatory_projection","Deep-layer near-projecting","96","2932",144
"Excitatory_projection","Lower rhombic lip","321","791",144
"Splatter","Splatter","412","1136",144
"Splatter","Splatter","416","1497",144
"Splatter","Splatter","422","1487",144
"Splatter","Splatter","424","1765",144
"Excitatory_projection","Deep-layer near-projecting","85","2930",143
"Excitatory_projection","Mammillary body","323","1827",143
"Inhibitory_projection_MSN","Medium spiny neuron","427","1720",143
"Splatter","Splatter","345","1587",143
"Splatter","Splatter","370","1031",143
"Splatter","Splatter","377","1093",143
"Splatter","Splatter","381","1549",143
"Splatter","Splatter","392","1706",143
"Splatter","Splatter","400","1637",143
"Splatter","Splatter","420","1448",143
"Excitatory_projection","Thalamic excitatory","372","1080",142
"Miscellaneous","Miscellaneous","116","2542",142
"Miscellaneous","Miscellaneous","168","2329",142
"Splatter","Splatter","383","1107",142
"Splatter","Splatter","420","1450",142
"Excitatory_projection","Thalamic excitatory","451","89",141
"Splatter","Splatter","345","1588",141
"Splatter","Splatter","369","1037",141
"Splatter","Splatter","376","1441",141
"Inhibitory_interneuron","MGE interneuron","244","288",140
"Inhibitory_interneuron","MGE interneuron","247","246",140
"Splatter","Splatter","383","1115",140
"Splatter","Splatter","387","891",140
"Excitatory_projection","Amygdala excitatory","158","2374",139
"Excitatory_projection","Amygdala excitatory","405","1959",139
"Splatter","Splatter","352","1929",139
"Splatter","Splatter","357","1308",139
"Splatter","Splatter","374","927",139
"Splatter","Splatter","410","839",139
"Splatter","Splatter","425","186",139
"Excitatory_projection","Amygdala excitatory","162","2417",138
"Excitatory_projection","Deep-layer near-projecting","85","2927",138
"Inhibitory_interneuron","MGE interneuron","247","242",138
"Inhibitory_projection_MSN","Medium spiny neuron","427","1709",138
"Splatter","Splatter","347","1633",138
"Splatter","Splatter","376","1438",138
"Splatter","Splatter","394","1517",138
"Splatter","Splatter","399","874",138
"Splatter","Splatter","399","881",138
"Splatter","Splatter","417","864",138
"Excitatory_projection","Thalamic excitatory","372","987",137
"Inhibitory_interneuron","CGE interneuron","277","637",137
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","267","472",137
"Splatter","Splatter","347","1615",137
"Splatter","Splatter","358","1353",137
"Splatter","Splatter","374","928",137
"Splatter","Splatter","397","728",137
"Splatter","Splatter","398","1532",137
"Splatter","Splatter","429","1803",137
"Excitatory_projection","Hippocampal CA4","190","2253",136
"Miscellaneous","Miscellaneous","165","2363",136
"Splatter","Splatter","380","902",136
"Splatter","Splatter","421","1785",136
"Splatter","Splatter","428","1801",136
"Inhibitory_interneuron","MGE interneuron","255","371",135
"Splatter","Splatter","338","38",135
"Splatter","Splatter","377","1459",135
"Splatter","Splatter","418","1799",135
"Excitatory_projection","Hippocampal CA1-3","119","2543",134
"Excitatory_projection","Thalamic excitatory","445","122",134
"Inhibitory_interneuron","CGE interneuron","285","605",134
"Inhibitory_interneuron","MGE interneuron","244","290",134
"Splatter","Splatter","357","1312",134
"Splatter","Splatter","365","1390",134
"Splatter","Splatter","368","1209",134
"Splatter","Splatter","369","1043",134
"Splatter","Splatter","374","1050",134
"Splatter","Splatter","422","1488",134
"Excitatory_projection","Hippocampal CA1-3","189","2319",133
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","233","2011",133
"Inhibitory_projection_MSN","Medium spiny neuron","430","2179",133
"Splatter","Splatter","349","909",133
"Splatter","Splatter","353","1885",133
"Splatter","Splatter","357","1313",133
"Splatter","Splatter","363","25",133
"Splatter","Splatter","398","1541",133
"Splatter","Splatter","421","1473",133
"Splatter","Splatter","431","818",133
"Miscellaneous","Miscellaneous","167","2795",132
"Splatter","Splatter","349","1625",132
"Splatter","Splatter","354","1391",132
"Splatter","Splatter","385","1123",132
"Splatter","Splatter","387","944",132
"Inhibitory_projection_MSN","Medium spiny neuron","427","1710",131
"Splatter","Splatter","359","1920",131
"Splatter","Splatter","359","1930",131
"Splatter","Splatter","362","1411",131
"Splatter","Splatter","366","1417",131
"Splatter","Splatter","387","968",131
"Splatter","Splatter","400","1641",131
"Splatter","Splatter","400","1642",131
"Excitatory_projection","Deep-layer corticothalamic and 6b","97","2922",130
"Excitatory_projection","Deep-layer near-projecting","86","2991",130
"Inhibitory_interneuron","CGE interneuron","293","598",130
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","268","468",130
"Splatter","Splatter","368","1430",130
"Splatter","Splatter","387","971",130
"Splatter","Splatter","395","1874",130
"Splatter","Splatter","400","1635",130
"Excitatory_projection","Deep-layer corticothalamic and 6b","104","2853",129
"Excitatory_projection","Hippocampal CA4","191","2257",129
"Inhibitory_interneuron","CGE interneuron","276","622",129
"Miscellaneous","Miscellaneous","116","2531",129
"Miscellaneous","Miscellaneous","170","2438",129
"Splatter","Splatter","355","1899",129
"Splatter","Splatter","361","1894",129
"Splatter","Splatter","373","992",129
"Splatter","Splatter","393","1694",129
"Splatter","Splatter","398","1537",129
"Excitatory_projection","Thalamic excitatory","372","1082",128
"Splatter","Splatter","238","175",128
"Splatter","Splatter","343","1598",128
"Splatter","Splatter","360","1910",128
"Splatter","Splatter","377","1462",128
"Splatter","Splatter","377","1464",128
"Excitatory_projection","Mammillary body","323","1828",127
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1726",127
"Inhibitory_projection_MSN","Medium spiny neuron","216","2052",127
"Miscellaneous","Miscellaneous","113","2548",127
"Splatter","Splatter","369","1211",127
"Splatter","Splatter","377","1458",127
"Splatter","Splatter","383","1103",127
"Splatter","Splatter","412","1128",127
"Inhibitory_interneuron","CGE interneuron","276","482",126
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1733",126
"Miscellaneous","Miscellaneous","113","2546",126
"Splatter","Splatter","342","31",126
"Splatter","Splatter","347","1629",126
"Splatter","Splatter","368","1058",126
"Splatter","Splatter","374","925",126
"Splatter","Splatter","394","1013",126
"Splatter","Splatter","421","1784",126
"Excitatory_projection","Amygdala excitatory","171","2347",125
"Inhibitory_interneuron","Cerebellar inhibitory","305","155",125
"Inhibitory_projection_MSN","Medium spiny neuron","430","2176",125
"Splatter","Splatter","358","1893",125
"Splatter","Splatter","381","917",125
"Splatter","Splatter","382","1094",125
"Splatter","Splatter","389","1401",125
"Excitatory_projection","Hippocampal CA1-3","169","2441",124
"Excitatory_projection","Hippocampal CA4","190","2254",124
"Inhibitory_interneuron","Cerebellar inhibitory","299","133",124
"Splatter","Splatter","421","1469",124
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","268","458",123
"Inhibitory_interneuron","MGE interneuron","248","251",123
"Splatter","Splatter","347","914",123
"Splatter","Splatter","348","1619",123
"Splatter","Splatter","351","751",123
"Splatter","Splatter","362","1338",123
"Splatter","Splatter","385","1119",123
"Splatter","Splatter","391","1690",123
"Splatter","Splatter","424","1751",123
"Excitatory_projection","Thalamic excitatory","459","44",122
"Inhibitory_projection_MSN","Medium spiny neuron","220","2103",122
"Splatter","Splatter","373","979",122
"Splatter","Splatter","373","980",122
"Splatter","Splatter","373","1186",122
"Splatter","Splatter","397","726",122
"Splatter","Splatter","398","872",122
"Splatter","Splatter","428","1804",122
"Inhibitory_interneuron","MGE interneuron","246","236",121
"Miscellaneous","Miscellaneous","113","2545",121
"Splatter","Splatter","340","1443",121
"Splatter","Splatter","348","1610",121
"Splatter","Splatter","370","1022",121
"Splatter","Splatter","431","819",121
"Excitatory_projection","Amygdala excitatory","407","1738",120
"Excitatory_projection","Mammillary body","333","1285",120
"Inhibitory_interneuron","Cerebellar inhibitory","298","127",120
"Splatter","Splatter","390","1330",120
"Splatter","Splatter","394","1525",120
"Miscellaneous","Miscellaneous","114","2537",119
"Splatter","Splatter","313","711",119
"Splatter","Splatter","354","1376",119
"Splatter","Splatter","380","961",119
"Splatter","Splatter","382","1097",119
"Splatter","Splatter","385","1125",119
"Splatter","Splatter","389","1400",119
"Splatter","Splatter","392","1703",119
"Splatter","Splatter","399","880",119
"Excitatory_projection","Deep-layer intratelencephalic","151","2652",118
"Excitatory_projection","Mammillary body","323","1829",118
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1736",118
"Splatter","Splatter","237","177",118
"Splatter","Splatter","334","1579",118
"Splatter","Splatter","363","1573",118
"Splatter","Splatter","394","1518",118
"Excitatory_projection","Deep-layer corticothalamic and 6b","111","2913",117
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","267","473",117
"Inhibitory_interneuron","MGE interneuron","247","241",117
"Miscellaneous","Miscellaneous","114","2535",117
"Splatter","Splatter","363","1461",117
"Splatter","Splatter","380","904",117
"Splatter","Splatter","420","1452",117
"Inhibitory_interneuron","MGE interneuron","247","244",116
"Splatter","Splatter","345","1589",116
"Splatter","Splatter","375","1560",115
"Splatter","Splatter","396","733",115
"Splatter","Splatter","397","742",115
"Inhibitory_interneuron","MGE interneuron","245","297",114
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","234","2166",114
"Splatter","Splatter","349","912",114
"Splatter","Splatter","358","1314",114
"Splatter","Splatter","380","903",114
"Splatter","Splatter","395","1875",114
"Excitatory_projection","Thalamic excitatory","372","2698",113
"Miscellaneous","Miscellaneous","114","2533",113
"Splatter","Splatter","355","1373",113
"Splatter","Splatter","381","1551",113
"Splatter","Splatter","414","1170",113
"Inhibitory_projection_MSN","Medium spiny neuron","430","2177",112
"Miscellaneous","Miscellaneous","114","2532",112
"Miscellaneous","Miscellaneous","170","2433",112
"Splatter","Splatter","353","1880",112
"Splatter","Splatter","363","24",112
"Splatter","Splatter","367","1009",112
"Splatter","Splatter","395","1876",112
"Splatter","Splatter","424","1768",112
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1727",111
"Miscellaneous","Miscellaneous","177","2798",111
"Splatter","Splatter","362","768",111
"Splatter","Splatter","362","1339",111
"Splatter","Splatter","392","772",111
"Splatter","Splatter","392","1700",111
"Excitatory_projection","Upper-layer intratelencephalic","128","2691",110
"Splatter","Splatter","377","847",110
"Splatter","Splatter","422","1496",110
"Inhibitory_interneuron","Cerebellar inhibitory","300","139",109
"Inhibitory_interneuron","Cerebellar inhibitory","300","142",109
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1735",109
"Splatter","Splatter","369","1046",109
"Splatter","Splatter","370","1029",109
"Splatter","Splatter","421","1468",109
"Splatter","Splatter","422","1490",109
"Inhibitory_interneuron","Cerebellar inhibitory","299","132",108
"Miscellaneous","Miscellaneous","114","2534",108
"Splatter","Splatter","354","1382",108
"Splatter","Splatter","367","995",108
"Splatter","Splatter","381","916",108
"Splatter","Splatter","381","1370",108
"Splatter","Splatter","391","1567",108
"Splatter","Splatter","398","1539",108
"Excitatory_projection","Deep-layer near-projecting","83","2924",107
"Inhibitory_interneuron","Cerebellar inhibitory","300","136",107
"Splatter","Splatter","349","911",107
"Splatter","Splatter","376","1439",107
"Splatter","Splatter","395","1870",107
"Splatter","Splatter","395","1871",107
"Splatter","Splatter","397","729",107
"Splatter","Splatter","420","1153",107
"Excitatory_projection","Deep-layer near-projecting","83","2964",106
"Inhibitory_interneuron","Cerebellar inhibitory","298","128",106
"Splatter","Splatter","343","964",106
"Splatter","Splatter","355","1911",106
"Splatter","Splatter","360","1909",106
"Excitatory_projection","Deep-layer near-projecting","95","2969",105
"Excitatory_projection","Hippocampal CA1-3","163","2428",105
"Splatter","Splatter","399","871",105
"Splatter","Splatter","414","836",105
"Excitatory_projection","Amygdala excitatory","171","2346",104
"Inhibitory_interneuron","CGE interneuron","279","618",104
"Miscellaneous","Miscellaneous","168","2330",104
"Splatter","Splatter","360","1916",104
"Splatter","Splatter","396","734",104
"Splatter","Splatter","397","738",104
"Splatter","Splatter","420","1451",104
"Excitatory_projection","Deep-layer near-projecting","96","2934",103
"Excitatory_projection","Hippocampal dentate gyrus","199","2217",103
"Inhibitory_interneuron","MGE interneuron","243","300",103
"Inhibitory_interneuron","MGE interneuron","245","187",103
"Inhibitory_interneuron","Midbrain-derived inhibitory","433","651",103
"Splatter","Splatter","361","1896",103
"Splatter","Splatter","396","1278",103
"Splatter","Splatter","403","1732",103
"Splatter","Splatter","421","1783",103
"Splatter","Splatter","422","1494",103
"Excitatory_projection","Deep-layer near-projecting","88","2940",102
"Excitatory_projection","Thalamic excitatory","372","988",102
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1725",102
"Splatter","Splatter","394","1512",102
"Splatter","Splatter","410","841",102
"Splatter","Splatter","411","831",102
"Splatter","Splatter","414","1175",102
"Splatter","Splatter","423","1773",102
"Excitatory_projection","Amygdala excitatory","405","1946",101
"Excitatory_projection","Mammillary body","333","1284",101
"Excitatory_projection","Thalamic excitatory","372","1070",101
"Splatter","Splatter","414","1174",101
"Excitatory_projection","Amygdala excitatory","407","1742",100
"Excitatory_projection","Deep-layer corticothalamic and 6b","102","2844",100
"Splatter","Splatter","334","1583",100
"Splatter","Splatter","347","1614",100
"Splatter","Splatter","396","730",100
"Splatter","Splatter","399","879",100
"Excitatory_projection","Deep-layer corticothalamic and 6b","111","2909",99
"Excitatory_projection","Deep-layer near-projecting","85","2931",99
"Inhibitory_interneuron","Cerebellar inhibitory","304","152",99
"Splatter","Splatter","387","1272",99
"Splatter","Splatter","398","1535",99
"Inhibitory_interneuron","CGE interneuron","276","630",98
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","426","1731",98
"Splatter","Splatter","355","1877",98
"Splatter","Splatter","360","1915",98
"Splatter","Splatter","361","1887",98
"Splatter","Splatter","362","1368",98
"Splatter","Splatter","362","1396",98
"Splatter","Splatter","374","926",98
"Splatter","Splatter","397","735",98
"Splatter","Splatter","423","1466",98
"Excitatory_projection","Deep-layer near-projecting","96","2965",97
"Excitatory_projection","Mammillary body","333","1290",97
"Splatter","Splatter","342","33",97
"Splatter","Splatter","410","842",97
"Excitatory_projection","Lower rhombic lip","322","782",96
"Excitatory_projection","Thalamic excitatory","453","93",96
"Splatter","Splatter","351","750",96
"Splatter","Splatter","363","26",95
"Splatter","Splatter","392","1702",95
"Splatter","Splatter","394","1514",95
"Splatter","Splatter","397","737",95
"Splatter","Splatter","414","1173",95
"Miscellaneous","Miscellaneous","170","2437",94
"Splatter","Splatter","346","887",94
"Splatter","Splatter","353","1881",94
"Splatter","Splatter","361","1302",94
"Splatter","Splatter","364","1057",94
"Splatter","Splatter","380","1372",94
"Excitatory_projection","Amygdala excitatory","173","2339",93
"Excitatory_projection","Deep-layer intratelencephalic","137","2753",93
"Excitatory_projection","Thalamic excitatory","372","1079",93
"Splatter","Splatter","350","1660",93
"Splatter","Splatter","354","1334",93
"Splatter","Splatter","361","1886",93
"Splatter","Splatter","394","1237",93
"Splatter","Splatter","409","167",93
"Splatter","Splatter","411","824",93
"Inhibitory_interneuron","Cerebellar inhibitory","298","126",92
"Splatter","Splatter","359","1922",92
"Splatter","Splatter","366","1263",92
"Splatter","Splatter","374","1292",92
"Splatter","Splatter","381","1366",92
"Splatter","Splatter","389","1341",92
"Excitatory_projection","Thalamic excitatory","455","52",91
"Splatter","Splatter","390","1407",91
"Splatter","Splatter","396","1273",91
"Splatter","Splatter","422","1715",91
"Excitatory_projection","Amygdala excitatory","419","1672",90
"Excitatory_projection","Deep-layer intratelencephalic","141","2703",90
"Excitatory_projection","Hippocampal CA1-3","184","2271",90
"Excitatory_projection","Hippocampal dentate gyrus","202","2205",90
"Inhibitory_projection_MSN","Eccentric medium spiny neuron","227","2015",90
"Miscellaneous","Miscellaneous","165","2365",90
"Splatter","Splatter","338","37",90
"Splatter","Splatter","339","39",90
"Splatter","Splatter","358","1297",90
"Excitatory_projection","Deep-layer corticothalamic and 6b","103","2837",89
"Excitatory_projection","Hippocampal CA1-3","189","2320",89
"Inhibitory_interneuron","MGE interneuron","254","204",89
"Splatter","Splatter","340","1053",89
"Splatter","Splatter","360","1908",89
"Splatter","Splatter","361","1897",89
"Splatter","Splatter","389","1398",89
"Splatter","Splatter","411","827",89
"Splatter","Splatter","420","1674",89
"Excitatory_projection","Thalamic excitatory","455","50",88
"Splatter","Splatter","347","1611",88
"Splatter","Splatter","366","1362",88
"Splatter","Splatter","377","1456",88
"Splatter","Splatter","382","1099",88
"Splatter","Splatter","395","1873",88
"Splatter","Splatter","416","1169",88
"Excitatory_projection","Upper rhombic lip","309","8",87
"Splatter","Splatter","336","34",87
"Splatter","Splatter","340","1052",87
"Splatter","Splatter","356","1335",87
"Splatter","Splatter","367","999",87
"Splatter","Splatter","377","850",87
"Splatter","Splatter","394","1524",87
"Splatter","Splatter","395","1872",87
"Splatter","Splatter","398","1534",87
"Splatter","Splatter","354","1378",86
"Splatter","Splatter","375","1556",86
"Splatter","Splatter","385","1120",86
"Splatter","Splatter","387","966",86
"Splatter","Splatter","396","1276",86
"Splatter","Splatter","397","736",86
"Splatter","Splatter","410","837",86
"Excitatory_projection","Thalamic excitatory","372","1072",85
"Miscellaneous","Miscellaneous","170","2435",85
"Miscellaneous","Miscellaneous","176","2805",85
"Splatter","Splatter","235","196",85
"Splatter","Splatter","369","1036",85
"Splatter","Splatter","374","1435",85
"Splatter","Splatter","390","1408",85
"Splatter","Splatter","424","1758",85
"Splatter","Splatter","336","1863",84
"Splatter","Splatter","410","834",84
"Splatter","Splatter","431","814",84
"Excitatory_projection","Deep-layer near-projecting","94","2952",83
"Excitatory_projection","Hippocampal CA1-3","189","2318",83
"Splatter","Splatter","356","1336",83
"Splatter","Splatter","376","1222",83
"Splatter","Splatter","420","1449",83
"Splatter","Splatter","423","1781",83
"Excitatory_projection","Deep-layer intratelencephalic","148","2699",82
"Inhibitory_interneuron","Cerebellar inhibitory","300","140",82
"Miscellaneous","Miscellaneous","117","2520",82
"Splatter","Splatter","344","963",82
"Splatter","Splatter","378","1510",82
"Splatter","Splatter","396","732",82
"Splatter","Splatter","398","1544",82
"Excitatory_projection","Hippocampal CA1-3","186","2549",81
"Inhibitory_interneuron","MGE interneuron","244","291",81
"Splatter","Splatter","238","174",81
"Excitatory_projection","Deep-layer corticothalamic and 6b","100","2891",80
"Excitatory_projection","Mammillary body","323","1830",80
"Excitatory_projection","Thalamic excitatory","455","54",80
"Excitatory_projection","Thalamic excitatory","457","61",80
"Miscellaneous","Miscellaneous","168","2328",80
"Splatter","Splatter","340","1530",80
"Splatter","Splatter","361","1890",80
"Splatter","Splatter","387","969",80
"Excitatory_projection","Hippocampal CA1-3","163","2439",79
"Excitatory_projection","Upper rhombic lip","308","5",79
"Splatter","Splatter","354","774",79
"Splatter","Splatter","354","1377",79
"Splatter","Splatter","370","1027",79
"Splatter","Splatter","389","1403",79
"Splatter","Splatter","409","163",79
"Splatter","Splatter","421","1717",79
"Inhibitory_interneuron","CGE interneuron","276","627",78
"Miscellaneous","Miscellaneous","132","2787",78
"Splatter","Splatter","338","36",78
"Splatter","Splatter","346","884",78
"Splatter","Splatter","360","1912",78
"Splatter","Splatter","369","1038",78
"Splatter","Splatter","382","1101",78
"Splatter","Splatter","424","1757",78
"Excitatory_projection","Deep-layer intratelencephalic","136","2744",77
"Excitatory_projection","Hippocampal CA4","198","2225",77
"Inhibitory_interneuron","CGE interneuron","276","479",77
"Inhibitory_interneuron","MGE interneuron","245","295",77
"Splatter","Splatter","356","1337",77
"Splatter","Splatter","389","1397",77
"Excitatory_projection","Amygdala excitatory","171","2345",76
"Excitatory_projection","Amygdala excitatory","419","1667",76
"Excitatory_projection","Amygdala excitatory","419","2415",76
"Excitatory_projection","Hippocampal CA4","190","2255",76
"Inhibitory_interneuron","CGE interneuron","278","644",76
"Inhibitory_projection_MSN","Medium spiny neuron","220","2106",76
"Splatter","Splatter","348","1623",76
"Splatter","Splatter","354","1381",76
"Splatter","Splatter","378","854",76
"Splatter","Splatter","378","1509",76
"Splatter","Splatter","382","1100",76
"Splatter","Splatter","399","877",76
"Excitatory_projection","Deep-layer near-projecting","83","2925",75
"Excitatory_projection","Deep-layer near-projecting","85","2928",75
"Miscellaneous","Miscellaneous","164","2367",75
"Splatter","Splatter","339","766",75
"Splatter","Splatter","346","888",75
"Splatter","Splatter","378","931",75
"Splatter","Splatter","392","1696",75
"Splatter","Splatter","398","1540",75
"Splatter","Splatter","421","1471",75
"Excitatory_projection","Hippocampal CA4","191","2228",74
"Excitatory_projection","Lower rhombic lip","322","779",74
"Splatter","Splatter","340","1444",74
"Splatter","Splatter","353","1884",74
"Splatter","Splatter","381","918",74
"Splatter","Splatter","381","1547",74
"Splatter","Splatter","391","1569",74
"Splatter","Splatter","400","1638",74
"Splatter","Splatter","403","1971",74
"Excitatory_projection","Deep-layer corticothalamic and 6b","100","2511",73
