"subset","variable","r","p_value","n","p_adj_BH"
"Telencephalon","p_cells_Astrocyte",0.732050159413572,0.0067929300075053,12,0.0475505100525371
"Telencephalon","p_cells_Microglia",-0.497373792520226,0.0999138724178622,12,0.327396464436324
"Telencephalon","p_cells_Vascular",0.451839572078233,0.14031277047271,12,0.327396464436324
"Telencephalon","p_cells_Fibroblast",-0.308231646068872,0.329698291232231,12,0.576972009656404
"Telencephalon","p_cells_Committed oligodendrocyte precursor",-0.248686896260113,0.435735756118906,12,0.610030058566469
"Telencephalon","p_cells_Oligodendrocyte precursor",0.16112108771782,0.616898856154857,12,0.719715332180667
"Telencephalon","p_cells_Oligodendrocyte",-0.0735552791755264,0.820284525702442,12,0.820284525702442
"Non-telencephalon","p_cells_Oligodendrocyte precursor",0.536363636363636,0.0889534181359627,11,0.431479257613198
"Non-telencephalon","p_cells_Fibroblast",0.409090909090909,0.211545010342096,11,0.431479257613198
"Non-telencephalon","p_cells_Oligodendrocyte",-0.409090909090909,0.211545010342096,11,0.431479257613198
"Non-telencephalon","p_cells_Vascular",0.381818181818182,0.24655957577897,11,0.431479257613198
"Non-telencephalon","p_cells_Committed oligodendrocyte precursor",0.254545454545455,0.450036576888829,11,0.626757757746543
"Non-telencephalon","p_cells_Microglia",0.209090909090909,0.537220935211323,11,0.626757757746543
"Non-telencephalon","p_cells_Astrocyte",0.163636363636364,0.630685214642536,11,0.630685214642536
