"astro_type","cluster_id_int","supercluster_term","ROIGroupCoarse","anatomy_group","n_cells"
"Astrocyte_Type1",57,"Astrocyte","Midbrain","Substantia nigra",16
"Astrocyte_Type2",64,"Astrocyte","Hippocampus","Hippocampus",16
"Astrocyte_Type1",52,"Astrocyte","Cerebral nuclei","Putamen",15
"Astrocyte_Type2",62,"Astrocyte","Cerebral nuclei","Putamen",15
"Astrocyte_Type1",53,"Astrocyte","Cerebral cortex","Frontal lobe",14
"Astrocyte_Type1",56,"Astrocyte","Thalamus","Nucleus medial thalami",14
"Astrocyte_Type1",54,"Astrocyte","Cerebral nuclei","Caudatum",11
"Astrocyte_Type1",54,"Astrocyte","Cerebral nuclei","Nucleus accumbens",11
"Astrocyte_Type1",56,"Astrocyte","Midbrain","Colliculus inferior",9
"Astrocyte_Type1",57,"Astrocyte","Cerebral cortex","Parietal lobe",8
"Astrocyte_Type2",60,"Astrocyte","Cerebral nuclei","Putamen",8
"Astrocyte_Type2",63,"Astrocyte","Thalamus","Corpus geniculatum mediale",8
"Astrocyte_Type2",64,"Astrocyte","Cerebral nuclei","Pallidum",8
"Astrocyte_Type1",56,"Astrocyte","Cerebral cortex","Parietal lobe",7
"Astrocyte_Type1",57,"Astrocyte","Cerebral cortex","Occipital lobe",7
"Astrocyte_Type1",58,"Astrocyte","Cerebral nuclei","Caudatum",7
"Astrocyte_Type2",62,"Astrocyte","Cerebral cortex","Temporal lobe",7
"Astrocyte_Type1",52,"Astrocyte","Cerebral nuclei","Pallidum",6
"Astrocyte_Type1",56,"Astrocyte","Cerebral cortex","Occipital lobe",6
"Astrocyte_Type1",56,"Astrocyte","Cerebral nuclei","Caudatum",6
"Astrocyte_Type1",56,"Astrocyte","Midbrain","Colliculus superior",6
"Astrocyte_Type1",58,"Astrocyte","Midbrain","Substantia nigra",6
"Astrocyte_Type1",58,"Astrocyte","Thalamus","Corpus geniculatum mediale",6
"Astrocyte_Type1",61,"Astrocyte","Thalamus","Nucleus subthalamicus",6
"Astrocyte_Type1",58,"Astrocyte","Cerebral nuclei","Nucleus accumbens",5
"Astrocyte_Type1",58,"Astrocyte","Cerebral nuclei","Pallidum",5
"Astrocyte_Type1",58,"Astrocyte","Midbrain","Colliculus superior",5
"Astrocyte_Type2",63,"Astrocyte","Cerebral cortex","Temporal lobe",5
"Astrocyte_Type2",63,"Astrocyte","Thalamus","Nucleus subthalamicus",5
"Astrocyte_Type2",64,"Astrocyte","Cerebral nuclei","Basal forebrain",5
"Astrocyte_Type2",64,"Astrocyte","Thalamus","Corpus geniculatum laterale",5
"Astrocyte_Type1",52,"Astrocyte","Midbrain","Colliculus superior",4
"Astrocyte_Type1",56,"Astrocyte","Cerebral nuclei","Pallidum",4
"Astrocyte_Type1",56,"Astrocyte","Cerebral nuclei","Putamen",4
"Astrocyte_Type1",56,"Astrocyte","Midbrain","Substantia nigra",4
"Astrocyte_Type1",58,"Astrocyte","Thalamus","Corpus geniculatum laterale",4
"Astrocyte_Type2",59,"Astrocyte","Cerebral nuclei","Pallidum",4
"Astrocyte_Type2",59,"Astrocyte","Thalamus","Corpus geniculatum mediale",4
"Astrocyte_Type2",60,"Astrocyte","Cerebral cortex","Frontal lobe",4
"Astrocyte_Type2",63,"Astrocyte","Cerebellum","Vermis",4
"Astrocyte_Type2",63,"Astrocyte","Cerebral nuclei","Nucleus accumbens",4
"Astrocyte_Type2",64,"Astrocyte","Midbrain","Substantia nigra",4
"Astrocyte_Type1",52,"Astrocyte","Cerebral nuclei","Nucleus accumbens",3
"Astrocyte_Type1",53,"Astrocyte","Cerebral cortex","Insular lobe",3
"Astrocyte_Type1",55,"Astrocyte","Cerebral cortex","Frontal lobe",3
"Astrocyte_Type1",55,"Astrocyte","Midbrain","Substantia nigra",3
"Astrocyte_Type1",57,"Astrocyte","Cerebral nuclei","Pallidum",3
"Astrocyte_Type1",57,"Astrocyte","Cerebral nuclei","Putamen",3
"Astrocyte_Type2",59,"Astrocyte","Cerebral nuclei","Basal forebrain",3
