"anatomy_group","p_Astrocyte_Type1","p_Astrocyte_Type2","anatomy_id","rcmr_value","is_telencephalon","division"
"Basal forebrain",0.164729070973847,0.0353087242953139,"basal_forebrain",21.4,TRUE,"Telencephalon"
"Caudatum",0.264947480012676,0.00159680638722555,"caudate_nucleus",32.6,TRUE,"Telencephalon"
"Corpus amygdaloideum",0.172378683195792,0.0126960273531965,"amygdala",22.2,TRUE,"Telencephalon"
"Frontal lobe",0.284362207299761,0.00209523366726846,"frontal_lobe",35.3,TRUE,"Telencephalon"
"Hippocampus",0.23875152282268,0.00277166448036502,"hippocampus",25.7,TRUE,"Telencephalon"
"Insular lobe",0.293484458715384,0,"insular_lobe",30.3,TRUE,"Telencephalon"
"Nucleus accumbens",0.271328492634268,0.00210304942166141,"nucleus_accumbens",32.3,TRUE,"Telencephalon"
"Occipital lobe",0.286354502452359,0.00010465724751439,"occipital_lobe",35.8,TRUE,"Telencephalon"
"Pallidum",0.0228203388415764,0.132527608762924,"pallidum",21.9,TRUE,"Telencephalon"
"Parietal lobe",0.286976468084279,0,"parietal_lobe",35.8,TRUE,"Telencephalon"
"Putamen",0.278762414324437,0.00519590864081656,"putamen",40.2,TRUE,"Telencephalon"
"Temporal lobe",0.242932595058211,0.000240538338181109,"temporal_lobe",30.5,TRUE,"Telencephalon"
