"supercluster_term","siletti_cluster_ids","mapping_level","EI_class_jorstad_like","jorstad_equivalent"
"CGE interneuron",NA,"supercluster","I","Lamp5 + Pax6 + Sncg + Vip"
"Deep-layer corticothalamic and 6b",NA,"supercluster","E","L6 CT + L6b"
"Deep-layer intratelencephalic",NA,"supercluster","E","L5 IT + L6 IT + L6 IT Car3"
"Deep-layer near-projecting",NA,"supercluster","E","L5/6 NP"
"LAMP5-LHX6 and Chandelier",NA,"supercluster","I","Lamp5 Lhx6 + Chandelier"
"MGE interneuron",NA,"supercluster","I","Pvalb + Sst + Sst Chodl"
"Miscellaneous","113;114;117;118","cluster","E","L5 ET"
"Upper-layer intratelencephalic",NA,"supercluster","E","L2/3 IT + L4 IT"
