"comparison_id","EI_definition","cell_class_scope","cell_class_definition","anatomical_region_scope","regions_included","MSN_treatment","comparison_type","n_regions","lm_beta","lm_r_squared","lm_p_unadjusted","lm_p_BH_across_six_definitions","spearman_rho","spearman_p_unadjusted","spearman_p_BH_across_six_definitions","lm_significant_unadjusted_0_05","lm_significant_after_BH_0_05","spearman_significant_unadjusted_0_05","spearman_significant_after_BH_0_05","conclusion"
"s1b_5a","Jorstad-like neocortical E:I","Neocortical","All nine Jorstad excitatory subclasses (including L5 ET) divided by all nine Jorstad inhibitory subclasses","Neocortex","Frontal, insular, occipital, parietal, and temporal lobes","Not part of this crosswalk","Jorstad-aligned primary comparison",5,2.98763697735437,0.178648018575446,0.478325607974051,0.956651215948103,0.153896752812773,0.804828816608063,1,FALSE,FALSE,FALSE,FALSE,"No statistically significant relationship"
"s1b_5b","Siletti cerebral-cortex scope with neocortical-class crosswalk","Neocortical","Same Jorstad-like neocortical crosswalk used in s1b_5a","Cerebral cortex","Five neocortical lobes plus Corpus amygdaloideum and Hippocampus","Not part of this crosswalk","Anatomical-scope extrapolation",7,5.38353966704661,0.752809421756393,0.0113838213078401,0.0683029278470403,0.666693722394714,0.101920460246182,0.611522761477094,TRUE,FALSE,FALSE,FALSE,"Significant only for the unadjusted linear model; not significant after BH correction or by Spearman correlation"
"s1b_5c_primary","Siletti cerebral-cortex-class E:I (off-scope classes and MSN excluded)","Cerebral cortex","Siletti neocortical, amygdalar, hippocampal, and cluster-specific L5 ET excitatory classes divided by cortical interneuron classes; thalamic, hypothalamic, midbrain, hindbrain, and cerebellar classes excluded","Cerebral cortex","Five neocortical lobes plus Corpus amygdaloideum and Hippocampus","Excluded from inhibitory denominator","Matched cell-class and anatomical scope",7,-4.54100375468223,0.211454638241242,0.299196005775643,0.897588017326929,-0.360374985078224,0.427148808560906,1,FALSE,FALSE,FALSE,FALSE,"No statistically significant relationship"
"s1b_5c_sensitivity","Siletti cerebral-cortex-class E:I (off-scope classes excluded; MSN included)","Cerebral cortex","Same cerebral-cortex Siletti classes as s1b_5c_primary","Cerebral cortex","Five neocortical lobes plus Corpus amygdaloideum and Hippocampus","Included in inhibitory denominator","MSN sensitivity analysis",7,1.22728937592914,0.0243918483217774,0.738084198877724,0.967171965314057,0.162168743285201,0.728299563082022,1,FALSE,FALSE,FALSE,FALSE,"No statistically significant relationship"
