"supercluster_term","Non-telencephalon_rho","Telencephalon_rho","Non-telencephalon_p_value","Telencephalon_p_value","Non-telencephalon_p_adj_BH","Telencephalon_p_adj_BH","Non-telencephalon_n_regions","Telencephalon_n_regions","Non-telencephalon_n_nonzero_regions","Telencephalon_n_nonzero_regions","Non-telencephalon_mean_region_prop","Telencephalon_mean_region_prop","Non-telencephalon_sd_region_prop","Telencephalon_sd_region_prop","Non-telencephalon_status","Telencephalon_status"
"Amygdala excitatory",-0.389581616506962,-0.664912280701754,0.236273516514756,0.0183148763617656,0.620217980851236,0.128204134532359,11,12,4,10,0.000111598128229679,0.0369342861823964,0.000304573643376463,0.096992001113403,"tested","tested"
"CGE interneuron",-0.486258996264143,0.0175131617084587,0.129372166165112,0.956918823900548,0.45280258157789,0.956918823900548,11,12,8,12,0.0128013746211543,0.0831197756984971,0.0158599500209536,0.0606021668936419,"tested","tested"
"Cerebellar inhibitory",0.268793408071141,-0.357062367988278,0.424157749994814,0.254539755113786,0.742276062490924,0.534533485738951,11,12,9,6,0.0253356188412648,2.43407823277498e-05,0.0480462795563921,5.60255825536137e-05,"tested","tested"
"Deep-layer corticothalamic and 6b",0.0381385035698237,0.0665500144921429,0.911356092610019,0.837187854464164,0.911356092610019,0.925312891776181,11,12,6,11,0.000492628367026591,0.0282592033566001,0.000819342199402689,0.0239044718890783,"tested","tested"
"Deep-layer intratelencephalic",0.171623266064207,0.157618455376128,0.613855791268312,0.624675666406758,0.827902229092661,0.819886812158869,11,12,6,12,0.000419311901340754,0.0845763292864817,0.000880569940909834,0.0804268965139279,"tested","tested"
"Deep-layer near-projecting",-0.1,0.116403745759643,0.769874999892136,0.718650305898375,0.827902229092661,0.859767659747259,11,12,1,9,5.81297339402078e-06,0.00742349343563443,1.92794516642857e-05,0.0080982928234985,"tested","tested"
"Eccentric medium spiny neuron",-0.138749187018864,-0.633976453846203,0.684114173493219,0.0268409444196137,0.827902229092661,0.140914958202972,11,12,3,11,1.23465883469161e-05,0.0394112031547214,2.49753469049903e-05,0.0441615628135164,"tested","tested"
"Hippocampal CA1-3",-0.642283205592558,-0.460888274450059,0.0330963481410172,0.131562766045424,0.34751165548068,0.345352260869239,11,12,4,5,0.000131738882584455,0.0265447386632448,0.000327724774106775,0.0892436162897227,"tested","tested"
"Hippocampal CA4",-0.4,-0.520969020018802,0.222868350133521,0.0824267608017516,0.620217980851236,0.247280282405255,11,12,1,4,0.000445045267249208,0.00370300540788024,0.00147604816618907,0.0127821107478512,"tested","tested"
"Hippocampal dentate gyrus",-0.663341671349692,-0.0459751892874276,0.0260741785878862,0.887176193864445,0.34751165548068,0.931535003557668,11,12,4,3,0.00328710641890777,0.0233528041782451,0.0104814784124709,0.0808653276012024,"tested","tested"
"LAMP5-LHX6 and Chandelier",-0.293102526275518,-0.192644778793045,0.381718652938771,0.548602518561392,0.728735610155837,0.768043525985949,11,12,7,12,0.00173939574408248,0.0164808315854549,0.00188070484214416,0.0130364384216197,"tested","tested"
"Lower rhombic lip",-0.219686212779868,-0.416775216015041,0.516298931515527,0.177719002346649,0.827902229092661,0.414677672142181,11,12,3,4,0.0084477746955632,0.00735782207224595,0.0278653786064162,0.0254425068318326,"tested","tested"
"MGE interneuron",-0.33257489473209,0.231173734551654,0.3176478222527,0.469732557172844,0.66706042673067,0.768043525985949,11,12,9,12,0.00097186362835543,0.0820039879685504,0.00105229676119506,0.0762939863591922,"tested","tested"
"Mammillary body",-0.514528235194954,0.218739319629904,0.105364895662922,0.494592313127359,0.442532561784272,0.768043525985949,11,12,3,1,0.000568255132880528,3.89910164698054e-06,0.00164308733463326,1.35068843128916e-05,"tested","tested"
"Medium spiny neuron",-0.595465260955958,-0.192982456140351,0.0532504918609228,0.547888370668936,0.372753443026459,0.768043525985949,11,12,3,10,2.46206890800273e-05,0.303050788264911,5.02838707553321e-05,0.372272623143864,"tested","tested"
"Midbrain-derived inhibitory",-0.113895511894551,-0.726484907183992,0.738801708682206,0.00745096841550303,0.827902229092661,0.12349019427778,11,12,9,5,0.297759797600219,0.0012384563209851,0.285045951608293,0.00373883364829554,"tested","tested"
"Miscellaneous",-0.521071157823144,-0.306882602457242,0.100255767600409,0.331929318898611,0.442532561784272,0.633683245170075,11,12,7,9,0.00365436484427135,0.0062153593432523,0.0113733282486722,0.00888370524981915,"tested","tested"
"Splatter",-0.145454545454545,-0.697023835996655,0.669578645642079,0.0117609708835981,0.827902229092661,0.12349019427778,11,12,11,12,0.263788854349948,0.0697064000199384,0.276197065197783,0.092041637686221,"tested","tested"
"Thalamic excitatory",-0.33497431574345,-0.562439928142445,0.313953022596199,0.0569610291998669,0.66706042673067,0.199363602199534,11,12,7,5,0.112954877755568,0.000274839637772768,0.199403068433938,0.000703615149390495,"tested","tested"
"Upper rhombic lip",-0.1,-0.600790330401117,0.769874999892136,0.0388375369991757,0.827902229092661,0.163117655396538,11,12,10,8,0.26566215634812,0.00124965519887974,0.399219264083354,0.00405345273947948,"tested","tested"
"Upper-layer intratelencephalic",0.0917469804271967,0.108581602592444,0.788478313421582,0.736943708354793,0.827902229092661,0.859767659747259,11,12,8,12,0.0013854572224134,0.179068780340333,0.00322533791836824,0.213945539051409,"tested","tested"
