"anatomy_group","p_jorstad_like_E","p_jorstad_like_I","n_donors_EI","n_cells_EI_total","rcmr_value","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_cortex_by_dominant_group","is_telencephalon","any_cortical_text","is_cortex","cortex_call","division","EI_ratio","EI_definition"
"Corpus amygdaloideum",0.345746358273367,0.654253641726633,3,63034,22.2,"Cerebral nuclei",185429,185429,1,FALSE,TRUE,TRUE,TRUE,"Cortex","Telencephalon",0.528459203315875,"Jorstad-like cortical E:I"
"Frontal lobe",0.662552197910246,0.337447802089754,4,273574,35.3,"Cerebral cortex",277827,277827,1,TRUE,TRUE,TRUE,TRUE,"Cortex","Telencephalon",1.96342128710627,"Jorstad-like cortical E:I"
"Hippocampus",0.25505855207044,0.74494144792956,3,72832,25.7,"Hippocampus",237728,237728,1,FALSE,TRUE,TRUE,TRUE,"Cortex","Telencephalon",0.342387381960465,"Jorstad-like cortical E:I"
"Insular lobe",0.677839393488814,0.322160606511186,3,102815,30.3,"Cerebral cortex",104365,104365,1,TRUE,TRUE,TRUE,TRUE,"Cortex","Telencephalon",2.10404183438014,"Jorstad-like cortical E:I"
"Occipital lobe",0.73032263059709,0.26967736940291,3,112016,35.8,"Cerebral cortex",112307,112307,1,TRUE,TRUE,TRUE,TRUE,"Cortex","Telencephalon",2.70813465814387,"Jorstad-like cortical E:I"
"Parietal lobe",0.648863295493914,0.351136704506086,3,142395,35.8,"Cerebral cortex",143001,143001,1,TRUE,TRUE,TRUE,TRUE,"Cortex","Telencephalon",1.84789367550343,"Jorstad-like cortical E:I"
"Temporal lobe",0.619173230178506,0.380826769821494,3,327769,30.5,"Cerebral cortex",363740,363740,1,TRUE,TRUE,TRUE,TRUE,"Cortex","Telencephalon",1.62586582468646,"Jorstad-like cortical E:I"
