"anatomy_group","p_Astrocyte_Type1","p_Astrocyte_Type2","rcmr_value","is_telencephalon","division"
"Cerebellar cortex",0,0.0250894994166154,29.8,FALSE,"Non-telencephalon"
"Colliculus inferior",0.00346058152029551,0.156356618319816,31.4,FALSE,"Non-telencephalon"
"Colliculus superior",0.00666592875458889,0.233615452933069,24.4,FALSE,"Non-telencephalon"
"Corpus geniculatum laterale",0.00690776739162054,0.137953896740167,23.1,FALSE,"Non-telencephalon"
"Corpus geniculatum mediale",0.00352790250160359,0.0768514718748609,20.2,FALSE,"Non-telencephalon"
"Nucleus dentatus cerebelli",5.35397778876757e-05,0.144453520838373,24.2,FALSE,"Non-telencephalon"
"Nucleus medial thalami",0.00225145578252974,0.146829432818688,36.6,FALSE,"Non-telencephalon"
"Nucleus ruber",0.000336360578540195,0.115371678439287,31,FALSE,"Non-telencephalon"
"Nucleus subthalamicus",0.000506310045772727,0.0680529581109693,25.2,FALSE,"Non-telencephalon"
"Substantia nigra",0.002303359138233,0.0995958277842594,22.8,FALSE,"Non-telencephalon"
"Vermis",0,0.0182603930471671,30.1,FALSE,"Non-telencephalon"
