"EI_definition","variable","n_regions","beta","se","t_value","p_value","r_squared","adj_r_squared","status","p_adj_BH"
"Broad all-region E:I (MSN excluded)","EI_ratio",23,0.0108862190589887,0.256836464972522,0.0423858000854877,0.966591574188909,8.5542969816528e-05,-0.0475294311744781,"tested",0.966591574188909
"Broad all-region E:I (MSN included)","EI_ratio",23,0.0326290864307043,0.252772522034489,0.12908478408999,0.898518909172238,0.000792841450496887,-0.0467884518137653,"tested",0.966591574188909
"Jorstad-like neocortical E:I","EI_ratio",5,2.99945044935209,3.68593509390256,0.813755634035421,0.475371842009207,0.180819876475234,-0.0922401646996873,"tested",0.950743684018415
"Siletti broad-class cerebral-cortex E:I (MSN excluded)","EI_ratio",7,-4.52785310892372,3.90009578930278,-1.16095946190418,0.298068120591516,0.212328864558485,0.054794637470182,"tested",0.894204361774549
"Siletti broad-class cerebral-cortex E:I (MSN included)","EI_ratio",7,1.19476441623264,3.47331256582794,0.343984134335414,0.744852239629092,0.0231179307130721,-0.172258483144313,"tested",0.966591574188909
"Siletti cerebral-cortex scope with neocortical-class crosswalk","EI_ratio",7,5.39939079473213,1.38313965703886,3.90372061653672,0.0113666095551556,0.752952643938856,0.703543172726627,"tested",0.0681996573309334
