"anatomy_group","p_jorstad_like_E","p_jorstad_like_I","n_donors_EI","n_cells_EI_total","anatomy_id","rcmr_value","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_cerebral_cortex","is_neocortex","is_telencephalon","cerebral_cortex_scope","division","EI_ratio","EI_definition"
"Frontal lobe",0.662552197910246,0.337447802089754,4,273574,"frontal_lobe",35.3,"Cerebral cortex",277827,277827,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",1.96342128710627,"Jorstad-like neocortical E:I"
"Insular lobe",0.677839393488814,0.322160606511186,3,102815,"insular_lobe",30.3,"Cerebral cortex",104365,104365,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",2.10404183438014,"Jorstad-like neocortical E:I"
"Occipital lobe",0.73032263059709,0.26967736940291,3,112016,"occipital_lobe",35.8,"Cerebral cortex",112307,112307,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",2.70813465814387,"Jorstad-like neocortical E:I"
"Parietal lobe",0.648863295493914,0.351136704506086,3,142395,"parietal_lobe",35.8,"Cerebral cortex",143001,143001,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",1.84789367550343,"Jorstad-like neocortical E:I"
"Temporal lobe",0.619173230178506,0.380826769821494,3,327769,"temporal_lobe",30.5,"Cerebral cortex",363740,363740,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",1.62586582468646,"Jorstad-like neocortical E:I"
