"EI_class_jorstad_like","jorstad_equivalent","supercluster_term","cluster_id","subcluster_id","n"
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2552",70
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2554",4283
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2555",2492
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2556",1664
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2612",2140
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2633",1518
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2634",2290
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2635",1387
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2636",2831
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2637",2013
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2638",729
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2618",5312
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2619",2547
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2620",10613
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2621",3595
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2629",4249
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2630",3516
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2631",3289
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2632",3187
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","122","2564",5443
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","122","2565",3631
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","122","2566",20360
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2551",164
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2553",4685
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2559",5446
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2560",22915
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2561",7668
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2562",11534
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2563",3183
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2622",1907
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2623",2948
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2624",3268
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2625",2733
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2626",5956
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2627",5399
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2628",6013
