"subset","variable","rho","p_value","p_adj_BH","n_regions","n_regions_with_finite_ratio","mean_EI_ratio","sd_EI_ratio","status"
"Telencephalon","p_cells_Excitatory_projection",0.0245184263918421,0.939710022323152,0.939710022323152,12,12,0.398748856861362,0.319840227758028,"tested"
"Telencephalon","p_cells_Inhibitory_interneuron",0.154115823034436,0.632487778851591,0.843317038468789,12,12,0.182867392355815,0.142014745444304,"tested"
"Telencephalon","p_cells_E_plus_I",0.248686896260113,0.435735756118906,0.843317038468789,12,12,0.581616249217177,0.45581755035869,"tested"
"Telencephalon","log2_EI_ratio_pseudocount",-0.28371321967703,0.371509666939279,0.843317038468789,12,12,0.337717496909532,1.77988185500637,"tested"
"Non-telencephalon","p_cells_Excitatory_projection",0.0727272727272727,0.831716405381337,0.873446577523315,11,11,0.393911763093278,0.351980998005561,"tested"
"Non-telencephalon","p_cells_Inhibitory_interneuron",-0.0545454545454545,0.873446577523315,0.873446577523315,11,11,0.338608050435076,0.263638336076713,"tested"
"Non-telencephalon","p_cells_E_plus_I",0.245454545454545,0.466922366982016,0.873446577523315,11,11,0.732519813528354,0.282529460455819,"tested"
"Non-telencephalon","log2_EI_ratio_pseudocount",0.1,0.769874999892137,0.873446577523315,11,11,-0.460592391778673,3.50847760599089,"tested"
"All mapped regions","p_cells_Excitatory_projection",0.00345935271247768,0.987501443094152,0.987501443094152,23,23,0.396435464189669,0.327824509244629,"tested"
"All mapped regions","p_cells_Inhibitory_interneuron",-0.0311341744122991,0.88785317244128,0.987501443094152,23,23,0.257352054915462,0.2190999433653,"tested"
"All mapped regions","p_cells_E_plus_I",0.201136650568345,0.357427350481275,0.987501443094152,23,23,0.653787519105131,0.382241345346045,"tested"
"All mapped regions","log2_EI_ratio_pseudocount",-0.0785767258977073,0.7215579369125,0.987501443094152,23,23,-0.0440828846370009,2.71024541788871,"tested"
