"anatomy_group","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_telencephalon","division"
"Basal forebrain","Cerebral nuclei",25131,25131,1,TRUE,"Telencephalon"
"Caudatum","Cerebral nuclei",2787,2787,1,TRUE,"Telencephalon"
"Corpus amygdaloideum","Cerebral nuclei",36567,36567,1,TRUE,"Telencephalon"
"Frontal lobe","Cerebral cortex",19846,19846,1,TRUE,"Telencephalon"
"Hippocampus","Hippocampus",109980,109980,1,TRUE,"Telencephalon"
"Insular lobe","Cerebral cortex",9196,9196,1,TRUE,"Telencephalon"
"Nucleus accumbens","Cerebral nuclei",2720,2720,1,TRUE,"Telencephalon"
"Occipital lobe","Cerebral cortex",11500,11500,1,TRUE,"Telencephalon"
"Pallidum","Cerebral nuclei",67810,67810,1,TRUE,"Telencephalon"
"Parietal lobe","Cerebral cortex",12330,12330,1,TRUE,"Telencephalon"
"Putamen","Cerebral nuclei",3675,3675,1,TRUE,"Telencephalon"
"Temporal lobe","Cerebral cortex",80791,80791,1,TRUE,"Telencephalon"
"Cerebellar cortex","Cerebellum",3218,3218,1,FALSE,"Non-telencephalon"
"Colliculus inferior","Midbrain",4290,4290,1,FALSE,"Non-telencephalon"
"Colliculus superior","Midbrain",2741,2741,1,FALSE,"Non-telencephalon"
"Corpus geniculatum laterale","Thalamus",8595,8595,1,FALSE,"Non-telencephalon"
"Corpus geniculatum mediale","Thalamus",3691,3691,1,FALSE,"Non-telencephalon"
"Nucleus dentatus cerebelli","Cerebellum",28652,28652,1,FALSE,"Non-telencephalon"
"Nucleus medial thalami","Thalamus",7835,7835,1,FALSE,"Non-telencephalon"
"Nucleus ruber","Midbrain",2973,2973,1,FALSE,"Non-telencephalon"
"Nucleus subthalamicus","Thalamus",19559,19559,1,FALSE,"Non-telencephalon"
"Substantia nigra","Midbrain",50837,50837,1,FALSE,"Non-telencephalon"
"Vermis","Cerebellum",17133,17133,1,FALSE,"Non-telencephalon"
