"subset","variable","r","p_value","n","p_adj_BH"
"Telencephalon","p_Astrocyte_Type1",0.746060688780339,0.00532943475257012,12,0.0106588695051402
"Telencephalon","p_Astrocyte_Type2",-0.563157894736842,0.0565759568323392,12,0.0565759568323392
"Non-telencephalon","p_Astrocyte_Type1",-0.396356381393038,0.227504542026855,11,0.45500908405371
"Non-telencephalon","p_Astrocyte_Type2",0.172727272727273,0.611542384851237,11,0.611542384851237
