"anatomy_group","p_cells_Amygdala excitatory","p_cells_CGE interneuron","p_cells_Cerebellar inhibitory","p_cells_Deep-layer corticothalamic and 6b","p_cells_Deep-layer intratelencephalic","p_cells_Deep-layer near-projecting","p_cells_Eccentric medium spiny neuron","p_cells_Hippocampal CA1-3","p_cells_Hippocampal CA4","p_cells_Hippocampal dentate gyrus","p_cells_LAMP5-LHX6 and Chandelier","p_cells_Lower rhombic lip","p_cells_MGE interneuron","p_cells_Mammillary body","p_cells_Medium spiny neuron","p_cells_Midbrain-derived inhibitory","p_cells_Miscellaneous","p_cells_Splatter","p_cells_Thalamic excitatory","p_cells_Upper rhombic lip","p_cells_Upper-layer intratelencephalic","rcmr_value","is_telencephalon","division"
"Basal forebrain",0.00350827540508231,0.0457381470192464,3.35594401451934e-05,0.0146677499016186,0.0300609232866635,0.00811175320410533,0.116136172887527,4.61467466543609e-05,6.71188802903868e-05,0,0.0113982516875825,4.83231854643858e-05,0.0342241688248085,0,0.452087432775514,0.00090491136108768,0.00362305226194972,0.247283107535259,1.81771912604064e-05,0.000106662721907367,0.0319360656838332,21.4,TRUE,"Telencephalon"
"Caudatum",0,0.00621132225624407,0,0,3.83936113030792e-05,0,0.0518175198364153,0,0,0,0.00038820825279792,0,0.000566410457562319,0,0.856036305135396,0,0,0.0847634447898383,0,3.83936113030792e-05,0.00014000204913981,32.6,TRUE,"Telencephalon"
"Cerebellar cortex",0,0,0.0408866031433646,0,3.07872294572211e-05,0,0,0,0,0,0,0,0,0,0,0,5.22875816993464e-05,5.22875816993464e-05,0,0.95897803446378,0,29.8,FALSE,"Non-telencephalon"
"Colliculus inferior",0,0.000618970166824884,0.00908709389474515,4.55809289393318e-05,0,0,0,0,0,0,0,3.32701201051336e-05,3.13106644122988e-05,0,0,0.087413234167232,6.45807845174324e-05,0.611318243010974,6.26213288245977e-05,0.290933137240258,0.000391957693167454,31.4,FALSE,"Non-telencephalon"
"Colliculus superior",2.5153435959352e-05,0.0113888624174064,0.00162775894549097,0.00166251039068994,0.000248952911629152,6.39427073342285e-05,0,0,0,0,0.00132226956126661,0,0.00284795838470863,0,0,0.213532265274278,0.0379112075314898,0.720720216456511,0.00436184301004384,0.00281340558307715,0.00147365339011539,24.4,FALSE,"Non-telencephalon"
"Corpus amygdaloideum",0.336613250782452,0.119050134526165,5.14721021206506e-06,0.0246968155037637,0.0902251901527614,0.00130457191493582,0.0980860888425069,0.005443015897179,6.17665225447807e-05,0,0.0351253082244987,0,0.0424512426670147,0,0.119811433891782,0.000837222721352675,0.00397789824097873,0.0968997627542808,0.00245624440055893,0.000118385834877496,0.0228365199121343,22.2,TRUE,"Telencephalon"
"Corpus geniculatum laterale",0,0.0279281998130395,7.69756590447949e-05,3.23060024552562e-05,0,0,2.13661517424097e-05,4.6607009694258e-05,0,0.000116517524235645,0.0026093649375402,0,0.00148145137581878,0,7.69756590447949e-05,0.287345779176787,0.000182553332567593,0.0915505336785998,0.586893003928037,0.00147524121746303,0.000163124533929903,23.1,FALSE,"Non-telencephalon"
"Corpus geniculatum mediale",0.000140805406927626,0.0261601613637359,0,0,0,0,0,7.0402703463813e-05,0,7.0402703463813e-05,0.00176006758659533,0,0.000357108314651725,7.0402703463813e-05,0,0.602517594101934,0.00176006758659533,0.118515997293841,0.245085574927746,0.00335060990065392,0.000140805406927626,20.2,FALSE,"Non-telencephalon"
"Frontal lobe",0.00081295480557731,0.135049251860679,4.15904175677924e-05,0.0557525155982408,0.189678618927293,0.0198253001266151,0.000173615113124131,0.00313869636063206,1.55964065879221e-05,9.35784395275329e-05,0.0240364581798439,8.83796373315588e-05,0.173678249474994,4.67892197637664e-05,0.000191533827482861,5.19880219597405e-05,0.00711073727494804,0.00225607306655345,0.000426301780069872,0.000493886208617535,0.38703788525259,35.3,TRUE,"Telencephalon"
"Hippocampus",0.0239057218518842,0.114381253143411,0,0.0517872424924363,0.0168011692146228,0.000944294596602724,0.000675445050668914,0.309878444621729,0.0442915830851398,0.280134692707882,0.0340820980547277,0,0.0744632110982655,0,0.00201756532199768,4.03063280935107e-06,0.0306176162118973,0.00332614826818475,2.82144296654575e-05,6.10730896506237e-05,0.0126001961284251,25.7,TRUE,"Telencephalon"
"Insular lobe",0.000418021164124475,0.131541652291542,0,0.0598287815383652,0.197709793150537,0.0210732934601283,0.000846064395495847,0,0,0,0.0239426257248286,0,0.161993694126135,0,0.000639111475287193,0,0.00987997509662402,0.00295456412601074,0,0,0.389172423450922,30.3,TRUE,"Telencephalon"
