"supercluster_term","Non-telencephalon","Telencephalon"
"Amygdala excitatory",-0.389581616506962,-0.664912280701754
"CGE interneuron",-0.486258996264143,0.0175131617084587
"Cerebellar inhibitory",0.268793408071141,-0.357062367988278
"Deep-layer corticothalamic and 6b",0.0381385035698237,0.0665500144921429
"Deep-layer intratelencephalic",0.171623266064207,0.157618455376128
"Deep-layer near-projecting",-0.1,0.116403745759643
"Eccentric medium spiny neuron",-0.138749187018864,-0.633976453846203
"Hippocampal CA1-3",-0.642283205592558,-0.460888274450059
"Hippocampal CA4",-0.4,-0.520969020018802
"Hippocampal dentate gyrus",-0.663341671349692,-0.0459751892874276
"LAMP5-LHX6 and Chandelier",-0.293102526275518,-0.192644778793045
"Lower rhombic lip",-0.219686212779868,-0.416775216015041
"MGE interneuron",-0.33257489473209,0.231173734551654
"Mammillary body",-0.514528235194954,0.218739319629904
"Medium spiny neuron",-0.595465260955958,-0.192982456140351
"Midbrain-derived inhibitory",-0.113895511894551,-0.726484907183992
"Miscellaneous",-0.521071157823144,-0.306882602457242
"Splatter",-0.145454545454545,-0.697023835996655
"Thalamic excitatory",-0.33497431574345,-0.562439928142445
"Upper rhombic lip",-0.1,-0.600790330401117
"Upper-layer intratelencephalic",0.0917469804271967,0.108581602592444
