"anatomy_group","comp_Astrocyte_Type1","comp_Astrocyte_Type2","comp_Type1_minus_Type2","comp_Type1_over_Type2","rcmr_value","is_telencephalon","division"
"Insular lobe",1,0,1,Inf,30.3,TRUE,"Telencephalon"
"Parietal lobe",1,0,1,Inf,35.8,TRUE,"Telencephalon"
"Occipital lobe",0.999671268902038,0.000328731097961867,0.999342537804076,3041,35.8,TRUE,"Telencephalon"
"Temporal lobe",0.998820527491595,0.00117947250840503,0.99764105498319,846.836632794669,30.5,TRUE,"Telencephalon"
"Nucleus accumbens",0.995584988962472,0.00441501103752759,0.991169977924945,225.5,32.3,TRUE,"Telencephalon"
"Caudatum",0.990338164251208,0.00966183574879227,0.980676328502415,102.5,32.6,TRUE,"Telencephalon"
"Hippocampus",0.987728114012378,0.0122718859876225,0.975456228024755,80.4870673512293,25.7,TRUE,"Telencephalon"
"Frontal lobe",0.987431172308632,0.012568827691368,0.974862344617264,78.5619149657672,35.3,TRUE,"Telencephalon"
"Putamen",0.963850669233958,0.0361493307660422,0.927701338467916,26.6630294063251,40.2,TRUE,"Telencephalon"
"Corpus amygdaloideum",0.92982579138759,0.0701742086124102,0.85965158277518,13.2502497680202,22.2,TRUE,"Telencephalon"
"Basal forebrain",0.8145761045488,0.1854238954512,0.6291522090976,4.39304816979848,21.4,TRUE,"Telencephalon"
"Pallidum",0.158534360748277,0.841465639251723,-0.682931278503446,0.188402655263802,21.9,TRUE,"Telencephalon"
"Corpus geniculatum mediale",0.046218487394958,0.953781512605042,-0.907563025210084,0.0484581497797357,20.2,FALSE,"Non-telencephalon"
"Corpus geniculatum laterale",0.0428146311682897,0.95718536883171,-0.91437073766342,0.0447297175264463,23.1,FALSE,"Non-telencephalon"
"Colliculus superior",0.0275848450182492,0.972415154981751,-0.944830309963502,0.0283673540842408,24.4,FALSE,"Non-telencephalon"
"Colliculus inferior",0.0242933416877841,0.975706658312216,-0.951413316624432,0.0248982022217691,31.4,FALSE,"Non-telencephalon"
"Substantia nigra",0.023318167291834,0.976681832708166,-0.953363665416332,0.0238748858747345,22.8,FALSE,"Non-telencephalon"
"Nucleus medial thalami",0.0135105997951656,0.986489400204834,-0.972978800409669,0.0136956360528154,36.6,FALSE,"Non-telencephalon"
"Nucleus subthalamicus",0.00820320030846347,0.991796799691537,-0.983593599383073,0.008271049383316,25.2,FALSE,"Non-telencephalon"
"Nucleus ruber",0.00290697674418605,0.997093023255814,-0.994186046511628,0.00291545189504373,31,FALSE,"Non-telencephalon"
"Nucleus dentatus cerebelli",0.000287383092135497,0.999712616907865,-0.999425233815729,0.00028746570491866,24.2,FALSE,"Non-telencephalon"
"Cerebellar cortex",0,1,-1,0,29.8,FALSE,"Non-telencephalon"
"Vermis",0,1,-1,0,30.1,FALSE,"Non-telencephalon"
