"EI_definition","variable","n_regions","beta","se","t_value","p_value","r_squared","adj_r_squared","status","p_adj_BH"
"Jorstad-like cortical E:I","EI_ratio",7,5.39939079473213,1.38313965703886,3.90372061653672,0.0113666095551555,0.752952643938856,0.703543172726627,"tested",0.0278375051383475
"Jorstad-like cortical E:I","log2_EI_ratio",7,4.02699252818448,1.08674127026656,3.7055669443719,0.0139187525691737,0.733066063119795,0.679679275743754,"tested",0.0278375051383475
"Original broad E:I, all regions","EI_ratio",23,0.0108862190589886,0.256836464972522,0.0423858000854874,0.966591574188909,8.55429698165257e-05,-0.0475294311744781,"tested",0.966591574188909
"Original broad E:I, all regions","log2_EI_ratio",23,0.047662790851815,0.464282535536274,0.102659021616572,0.919207599445803,0.000501599448834344,-0.0470935624821736,"tested",0.966591574188909
