"anatomy_group","p_Astrocyte","p_Bergmann glia","p_Choroid plexus","p_Committed oligodendrocyte precursor","p_Ependymal","p_Fibroblast","p_Microglia","p_Oligodendrocyte","p_Oligodendrocyte precursor","p_Vascular"
"Basal forebrain",0.200037795269161,7.07864373186097e-05,0.109306837664385,0.00679967560041871,0.026617130179784,0.0215897080035084,0.0834483663572232,0.438338921496364,0.105367135612366,0.00842364337947184
"Caudatum",0.266544286399902,0,0,0.00572098533123415,0.0396609271084387,0.00572098533123415,0.0641245286737661,0.464661067100935,0.146038708612644,0.0075285114418466
"Cerebellar cortex",0.0250894994166154,0.324181012306545,0,0.000741579186709695,0,0.0185686427042213,0.0683441036774715,0.37739143913849,0.164952039371343,0.0207316841986047
"Colliculus inferior",0.159817199840111,0.0110002399395969,0.00035880875493362,0.00644916920441218,0.00883492570573003,0.0186220159856797,0.153544508848822,0.475310898174352,0.150973660088951,0.0150885734574107
"Colliculus superior",0.240281381687658,0,0.000350877192982456,0.00850962843491484,0.0127234753550543,0.0146123853271454,0.101229163866554,0.429236972557577,0.179436287880585,0.0136198276975298
"Corpus amygdaloideum",0.185074710548989,0,0,0.0112696158794163,0.00935201749395558,0.00924449613314707,0.109968204751839,0.50627431365482,0.160818462590779,0.00799817894705477
"Corpus geniculatum laterale",0.144861664131788,0,0.000287852619458837,0.015182278764707,0,0.0554233784574154,0.0648439803731993,0.594758251134561,0.0913807968294848,0.0332617976893853
"Corpus geniculatum mediale",0.0803793743764644,0,0,0.00064143681847338,0.000234521575984991,0.00888383976354689,0.0493340730515905,0.798143413478838,0.0572378563253733,0.00514548460972842
"Frontal lobe",0.28645744096703,0,8.38644750083864e-05,0.00531091825783986,0,0.00533926689689491,0.0694344354516648,0.473032452294929,0.148700623978874,0.0116409976777589
"Hippocampus",0.241523187303045,0,0.00143360107941728,0.00500473410226531,0.015459446046146,0.0085680969797573,0.108057456926769,0.489805651801012,0.12172452393547,0.00842330182611743
"Insular lobe",0.293484458715384,0,0,0.00585468050772314,0,0.00889934091179927,0.123071599820141,0.364941996226012,0.190596154801857,0.0131517690170835
"Nucleus accumbens",0.27343154205593,0,0,0.00945198085199672,0.0329477742726954,0.00355463454584539,0.0652039660055056,0.40811706647272,0.201193425152812,0.006099610642495
"Nucleus dentatus cerebelli",0.14450706061626,0.00191390618349098,0.000576202823393835,0.00318189668143325,0.000397559382166191,0.0055393999395856,0.11509610384263,0.660313485507276,0.064563431966365,0.00391095305739937
"Nucleus medial thalami",0.149080888601217,0,0.000150183975369828,0.00393249252354006,0.0281264162747275,0.0249241458178396,0.110428632583678,0.564693319447193,0.0956756513875621,0.0229882693888718
"Nucleus ruber",0.115708039017827,0.000336360578540195,0,0.00201816347124117,0,0.00874537504204507,0.0528086108308106,0.717457114026236,0.0945173225697948,0.00840901446350488
"Nucleus subthalamicus",0.068559268156742,0,0,0.00107108298754671,0,0.00782557096867203,0.041029643535372,0.827038040552336,0.0508737605829209,0.00360263321641035
"Occipital lobe",0.286459159699873,0,0,0.00492074947056962,0,0.00594182538862041,0.0959151550865527,0.468323232098733,0.127991584223262,0.0104482940323895
"Pallidum",0.1553479476045,8.56435685962163e-06,0,0.00297971113988321,0,0.00605604717775506,0.187598494112789,0.587231514633928,0.0549861818470436,0.00579153912724081
"Parietal lobe",0.286976468084279,0,7.06663840011307e-05,0.00400486680985117,8.14796708221299e-05,0.00627192916725492,0.10793523574251,0.465367365550622,0.120702288889665,0.0085896997009945
"Putamen",0.283958322965253,0,0,0.00576664067590454,0,0.0156106945891598,0.0746284559855594,0.473020990631466,0.134422281762538,0.0125926133901184
"Substantia nigra",0.101899186922492,0,0,0.00149885892174608,5.58628009608402e-05,0.00463357334031054,0.118561500874388,0.691807337015322,0.0760921309233184,0.00545154920146225
"Temporal lobe",0.243173133396392,0,5.99014022918276e-06,0.00543861528971292,0,0.00988891245118811,0.105230171777686,0.457012199765045,0.16825156019452,0.0109994169852269
"Vermis",0.0182603930471671,0.396608070016868,0,0.00161841188468696,3.19101410428234e-05,0.00998154583006056,0.0728644497639762,0.240069522064255,0.23530022786089,0.0252654693910533
