"supercluster_term","Non-telencephalon","Telencephalon"
"Amygdala excitatory",11,12
"CGE interneuron",11,12
"Cerebellar inhibitory",11,12
"Deep-layer corticothalamic and 6b",11,12
"Deep-layer intratelencephalic",11,12
"Deep-layer near-projecting",11,12
"Eccentric medium spiny neuron",11,12
"Hippocampal CA1-3",11,12
"Hippocampal CA4",11,12
"Hippocampal dentate gyrus",11,12
"LAMP5-LHX6 and Chandelier",11,12
"Lower rhombic lip",11,12
"MGE interneuron",11,12
"Mammillary body",11,12
"Medium spiny neuron",11,12
"Midbrain-derived inhibitory",11,12
"Miscellaneous",11,12
"Splatter",11,12
"Thalamic excitatory",11,12
"Upper rhombic lip",11,12
"Upper-layer intratelencephalic",11,12
