"anatomy_group","p_cells_Astrocyte","p_cells_Bergmann glia","p_cells_Choroid plexus","p_cells_Committed oligodendrocyte precursor","p_cells_Ependymal","p_cells_Fibroblast","p_cells_Microglia","p_cells_Oligodendrocyte","p_cells_Oligodendrocyte precursor","p_cells_Vascular","rcmr_value","is_telencephalon","division"
"Cerebellar cortex",0.0250894994166154,0.324181012306545,0,0.000741579186709695,0,0.0185686427042213,0.0683441036774715,0.37739143913849,0.164952039371343,0.0207316841986047,29.8,FALSE,"Non-telencephalon"
"Colliculus inferior",0.159817199840111,0.0110002399395969,0.00035880875493362,0.00644916920441218,0.00883492570573003,0.0186220159856797,0.153544508848822,0.475310898174352,0.150973660088951,0.0150885734574107,31.4,FALSE,"Non-telencephalon"
"Colliculus superior",0.240281381687658,0,0.000350877192982456,0.00850962843491484,0.0127234753550543,0.0146123853271454,0.101229163866554,0.429236972557577,0.179436287880585,0.0136198276975298,24.4,FALSE,"Non-telencephalon"
"Corpus geniculatum laterale",0.144861664131788,0,0.000287852619458837,0.015182278764707,0,0.0554233784574154,0.0648439803731993,0.594758251134561,0.0913807968294848,0.0332617976893853,23.1,FALSE,"Non-telencephalon"
"Corpus geniculatum mediale",0.0803793743764644,0,0,0.00064143681847338,0.000234521575984991,0.00888383976354689,0.0493340730515905,0.798143413478838,0.0572378563253733,0.00514548460972842,20.2,FALSE,"Non-telencephalon"
"Nucleus dentatus cerebelli",0.14450706061626,0.00191390618349098,0.000576202823393835,0.00318189668143325,0.000397559382166191,0.0055393999395856,0.11509610384263,0.660313485507276,0.064563431966365,0.00391095305739937,24.2,FALSE,"Non-telencephalon"
"Nucleus medial thalami",0.149080888601217,0,0.000150183975369828,0.00393249252354006,0.0281264162747275,0.0249241458178396,0.110428632583678,0.564693319447193,0.0956756513875621,0.0229882693888718,36.6,FALSE,"Non-telencephalon"
"Nucleus ruber",0.115708039017827,0.000336360578540195,0,0.00201816347124117,0,0.00874537504204507,0.0528086108308106,0.717457114026236,0.0945173225697948,0.00840901446350488,31,FALSE,"Non-telencephalon"
"Nucleus subthalamicus",0.068559268156742,0,0,0.00107108298754671,0,0.00782557096867203,0.041029643535372,0.827038040552336,0.0508737605829209,0.00360263321641035,25.2,FALSE,"Non-telencephalon"
"Substantia nigra",0.101899186922492,0,0,0.00149885892174608,5.58628009608402e-05,0.00463357334031054,0.118561500874388,0.691807337015322,0.0760921309233184,0.00545154920146225,22.8,FALSE,"Non-telencephalon"
"Vermis",0.0182603930471671,0.396608070016868,0,0.00161841188468696,3.19101410428234e-05,0.00998154583006056,0.0728644497639762,0.240069522064255,0.23530022786089,0.0252654693910533,30.1,FALSE,"Non-telencephalon"
