"anatomy_group","p_E","p_I_MSN","p_I_interneuron","n_donors","n_cells_EI","anatomy_id","rcmr_value","is_neocortex","is_cerebral_cortex","is_telencephalon","p_I_with_MSN","EI_ratio_no_MSN","EI_ratio_with_MSN","p_I","EI_ratio","MSN_included_in_denominator","cell_class_definition","interpretation","anatomical_analysis_scope"
"Corpus amygdaloideum",0.538661352866936,0.242561444291609,0.218777202841455,3,165965,"amygdala",22.2,FALSE,TRUE,TRUE,0.461338647133064,2.4621457166051,1.167605090565,0.218777202841455,2.4621457166051,FALSE,"Siletti cerebral-cortex E:I classes (off-scope classes and MSN excluded)","Cerebral-cortex Siletti classes within cerebral-cortex scope","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Frontal lobe",0.664981291965482,0.000367482271127499,0.33465122576339,4,275962,"frontal_lobe",35.3,TRUE,TRUE,TRUE,0.335018708034518,1.98708757288595,1.98490793504274,0.33465122576339,1.98708757288595,FALSE,"Siletti cerebral-cortex E:I classes (off-scope classes and MSN excluded)","Cerebral-cortex Siletti classes within cerebral-cortex scope","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Hippocampus",0.76617566918919,0.00276120576515422,0.231063125045656,3,229671,"hippocampus",25.7,FALSE,TRUE,TRUE,0.23382433081081,3.31587166510365,3.27671490187697,0.231063125045656,3.31587166510365,FALSE,"Siletti cerebral-cortex E:I classes (off-scope classes and MSN excluded)","Cerebral-cortex Siletti classes within cerebral-cortex scope","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Insular lobe",0.678496277174264,0.00149796337720311,0.320005759448533,3,103522,"insular_lobe",30.3,TRUE,TRUE,TRUE,0.321503722825736,2.1202627050948,2.11038388983765,0.320005759448533,2.1202627050948,FALSE,"Siletti cerebral-cortex E:I classes (off-scope classes and MSN excluded)","Cerebral-cortex Siletti classes within cerebral-cortex scope","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Occipital lobe",0.730423847250162,0,0.269576152749839,3,112058,"occipital_lobe",35.8,TRUE,TRUE,TRUE,0.269576152749839,2.70952693626421,2.70952693626421,0.269576152749839,2.70952693626421,FALSE,"Siletti cerebral-cortex E:I classes (off-scope classes and MSN excluded)","Cerebral-cortex Siletti classes within cerebral-cortex scope","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Parietal lobe",0.649572286292792,5.4636703626075e-05,0.350373077003582,3,142698,"parietal_lobe",35.8,TRUE,TRUE,TRUE,0.350427713707208,1.85394463481037,1.85365557826721,0.350373077003582,1.85394463481037,FALSE,"Siletti cerebral-cortex E:I classes (off-scope classes and MSN excluded)","Cerebral-cortex Siletti classes within cerebral-cortex scope","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Temporal lobe",0.647204066773826,0.00355585633886635,0.349240076887308,3,357715,"temporal_lobe",30.5,TRUE,TRUE,TRUE,0.352795933226174,1.8531781132973,1.83449979384799,0.349240076887308,1.8531781132973,FALSE,"Siletti cerebral-cortex E:I classes (off-scope classes and MSN excluded)","Cerebral-cortex Siletti classes within cerebral-cortex scope","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Corpus amygdaloideum",0.538661352866936,0.242561444291609,0.218777202841455,3,165965,"amygdala",22.2,FALSE,TRUE,TRUE,0.461338647133064,2.4621457166051,1.167605090565,0.461338647133064,1.167605090565,TRUE,"Siletti cerebral-cortex E:I classes (off-scope classes excluded; MSN included)","Cerebral-cortex Siletti classes within cerebral-cortex scope; MSN sensitivity","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Frontal lobe",0.664981291965482,0.000367482271127499,0.33465122576339,4,275962,"frontal_lobe",35.3,TRUE,TRUE,TRUE,0.335018708034518,1.98708757288595,1.98490793504274,0.335018708034518,1.98490793504274,TRUE,"Siletti cerebral-cortex E:I classes (off-scope classes excluded; MSN included)","Cerebral-cortex Siletti classes within cerebral-cortex scope; MSN sensitivity","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Hippocampus",0.76617566918919,0.00276120576515422,0.231063125045656,3,229671,"hippocampus",25.7,FALSE,TRUE,TRUE,0.23382433081081,3.31587166510365,3.27671490187697,0.23382433081081,3.27671490187697,TRUE,"Siletti cerebral-cortex E:I classes (off-scope classes excluded; MSN included)","Cerebral-cortex Siletti classes within cerebral-cortex scope; MSN sensitivity","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Insular lobe",0.678496277174264,0.00149796337720311,0.320005759448533,3,103522,"insular_lobe",30.3,TRUE,TRUE,TRUE,0.321503722825736,2.1202627050948,2.11038388983765,0.321503722825736,2.11038388983765,TRUE,"Siletti cerebral-cortex E:I classes (off-scope classes excluded; MSN included)","Cerebral-cortex Siletti classes within cerebral-cortex scope; MSN sensitivity","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Occipital lobe",0.730423847250162,0,0.269576152749839,3,112058,"occipital_lobe",35.8,TRUE,TRUE,TRUE,0.269576152749839,2.70952693626421,2.70952693626421,0.269576152749839,2.70952693626421,TRUE,"Siletti cerebral-cortex E:I classes (off-scope classes excluded; MSN included)","Cerebral-cortex Siletti classes within cerebral-cortex scope; MSN sensitivity","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Parietal lobe",0.649572286292792,5.4636703626075e-05,0.350373077003582,3,142698,"parietal_lobe",35.8,TRUE,TRUE,TRUE,0.350427713707208,1.85394463481037,1.85365557826721,0.350427713707208,1.85365557826721,TRUE,"Siletti cerebral-cortex E:I classes (off-scope classes excluded; MSN included)","Cerebral-cortex Siletti classes within cerebral-cortex scope; MSN sensitivity","Cerebral cortex (including amygdaloid complex and hippocampus)"
"Temporal lobe",0.647204066773826,0.00355585633886635,0.349240076887308,3,357715,"temporal_lobe",30.5,TRUE,TRUE,TRUE,0.352795933226174,1.8531781132973,1.83449979384799,0.352795933226174,1.83449979384799,TRUE,"Siletti cerebral-cortex E:I classes (off-scope classes excluded; MSN included)","Cerebral-cortex Siletti classes within cerebral-cortex scope; MSN sensitivity","Cerebral cortex (including amygdaloid complex and hippocampus)"
