"anatomy_group","p_original_Excitatory_projection","p_original_Inhibitory_interneuron","p_original_Inhibitory_projection_MSN","n_donors_EI","n_cells_EI_total","anatomy_id","rcmr_value","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_cerebral_cortex","is_neocortex","is_telencephalon","cerebral_cortex_scope","division","p_original_Inhibitory_all_with_MSN","EI_ratio_no_MSN","EI_ratio","EI_ratio_with_MSN","MSN_fraction_of_broad_I","delta_EI_with_MSN_minus_no_MSN"
"Basal forebrain",0.107935040296286,0.113193619659672,0.778871340044042,3,41832,"basal_forebrain",21.4,"Cerebral nuclei",53804,53804,1,FALSE,FALSE,TRUE,"Outside cerebral cortex","Telencephalon",0.892064959703714,0.953543500250317,0.953543500250317,0.120994596999007,0.873110563946747,-0.83254890325131
"Caudatum",0.0002390215938827,0.00786883628923258,0.991892142116885,3,27370,"caudate_nucleus",32.6,"Cerebral nuclei",29889,29889,1,FALSE,FALSE,TRUE,"Outside cerebral cortex","Telencephalon",0.999760978406117,0.0303757233086382,0.0303757233086382,0.000239078738863927,0.992129282439311,-0.0301366445697743
"Cerebellar cortex",0.959105438445487,0.040894561554513,0,3,24797,"cerebellar_cortex",29.8,"Cerebellum",24799,24799,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.040894561554513,23.4531292667605,23.4531292667605,23.4531292667605,0,0
"Colliculus inferior",0.514763515743264,0.485236484256736,0,3,11488,"inferior_colliculus",31.4,"Midbrain",27978,27978,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.485236484256736,1.0608508066572,1.0608508066572,1.0608508066572,0,0
"Colliculus superior",0.0446599255008262,0.955340074499174,0,3,6813,"superior_colliculus",24.4,"Midbrain",27156,27156,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.955340074499174,0.0467476730987535,0.0467476730987535,0.0467476730987535,0,0
"Corpus amygdaloideum",0.539249426777868,0.219049867131221,0.241700706090912,3,166622,"amygdala",22.2,"Cerebral nuclei",185429,185429,1,TRUE,FALSE,TRUE,"Cerebral cortex, non-neocortical","Telencephalon",0.460750573222132,2.46176559630065,2.46176559630065,1.17037168940838,0.524580369809731,-1.29139390689227
"Corpus geniculatum laterale",0.642054115766185,0.357836106796286,0.000109777437529087,3,37199,"lateral_geniculate_nucleus",23.1,"Thalamus",40223,40223,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.357945884233815,1.79426867096926,1.79426867096926,1.79371839165159,0.000306687246213393,-0.000550279317666602
"Corpus geniculatum mediale",0.281578045742705,0.718421954257295,0,2,8872,"medial_geniculate_nucleus",20.2,"Thalamus",10529,10529,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.718421954257295,0.391939645043003,0.391939645043003,0.391939645043003,0,0
"Frontal lobe",0.665214372204097,0.334418825598576,0.000366802197326787,4,276183,"frontal_lobe",35.3,"Cerebral cortex",277827,277827,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.334785627795903,1.98916544549617,1.98916544549617,1.98698605009901,0.00109563304656078,-0.00217939539716228
"Hippocampus",0.766194845999135,0.231044273546235,0.0027608804546295,3,229694,"hippocampus",25.7,"Hippocampus",237728,237728,1,TRUE,FALSE,TRUE,"Cerebral cortex, non-neocortical","Telencephalon",0.233805154000865,3.31622521622813,3.31622521622813,3.27706568006752,0.0118084670392651,-0.039159536160609
