"anatomy_group","n_Excitatory_projection","n_Inhibitory_interneuron","n_Inhibitory_projection_MSN","n_Miscellaneous","n_Splatter","p_Excitatory_projection","p_Inhibitory_interneuron","p_Inhibitory_projection_MSN","p_Miscellaneous","p_Splatter","n_all_neurons"
"Basal forebrain",5441,5473,30709,219,11962,0.101126310311501,0.101721061631105,0.570756821054197,0.00407032934354323,0.222325477659654,53804
"Caudatum",6,216,27148,0,2519,0.000200742748168222,0.00722673893405601,0.908294021211817,0,0.0842784971059587,29889
"Cerebellar cortex",23837,960,0,1,1,0.961208113230372,0.0387112383563853,0,4.03242066212347e-05,4.03242066212347e-05,24799
"Colliculus inferior",8866,2622,0,2,16488,0.316891843591393,0.0937164915290585,0,7.14847380084352e-05,0.58932018014154,27978
"Colliculus superior",259,6541,0,1186,19170,0.0095374871115039,0.240867579908676,0,0.0436735896302843,0.705921343349536,27156
"Corpus amygdaloideum",90076,36557,39934,750,18112,0.485770834119798,0.19714823463428,0.215360056949021,0.00404467478118309,0.0976761995157176,185429
"Corpus geniculatum laterale",24451,12744,4,8,3016,0.607886035352908,0.316833652387937,9.94455908311165e-05,0.000198891181662233,0.0749819754866619,40223
"Corpus geniculatum mediale",2472,6399,0,25,1633,0.234780131066578,0.607750023743945,0,0.002374394529395,0.155095450660082,10529
"Frontal lobe",183087,91519,91,2583,547,0.658996425833342,0.329410028542942,0.000327541959564765,0.0092971525445691,0.00196885111958161,277827
"Hippocampus",175798,53173,646,7317,794,0.73949219275811,0.223671591062054,0.00271739130434783,0.0307788733342307,0.00333995154125724,237728
"Insular lobe",69918,32944,163,1026,314,0.669937239496,0.315661380731088,0.00156182628275763,0.00983088200067072,0.00300867148948402,104365
"Nucleus accumbens",45,139,24554,1,2667,0.00164197620958914,0.00507188206961979,0.895935196672262,3.6488360213092e-05,0.0973144566883164,27406
"Nucleus dentatus cerebelli",20235,1181,1,0,1738,0.873893327575038,0.0510041027855755,4.31872165838912e-05,0,0.0750593824228029,23155
"Nucleus medial thalami",9688,15308,1,0,1421,0.366719660837308,0.579453402982815,3.78529790294496e-05,0,0.0537890832008479,26418
"Nucleus ruber",12,1513,0,0,206,0.00693240901213172,0.874061236279607,0,0,0.119006354708261,1731
"Nucleus subthalamicus",14,185,0,0,358,0.0251346499102334,0.33213644524237,0,0,0.642728904847397,557
"Occipital lobe",81821,30197,0,232,57,0.728547641732038,0.268879054733899,0,0.00206576615883249,0.000507537375230395,112307
"Pallidum",1063,242,13315,0,2020,0.0638822115384615,0.0145432692307692,0.800180288461538,0,0.121394230769231,16640
"Parietal lobe",93173,49225,8,446,149,0.651554884231579,0.344228362039426,5.59436647296173e-05,0.00311885930867616,0.00104195075558912,143001
"Putamen",792,700,27701,0,1530,0.0257787325456498,0.0227842333105491,0.901637209907887,0,0.0497998242359145,30723
"Substantia nigra",754,2506,3,1,5161,0.0894955489614243,0.297448071216617,0.000356083086053412,0.000118694362017804,0.612581602373887,8425
"Temporal lobe",231745,124520,1211,5219,1045,0.637117171606092,0.342332435255952,0.00332930114917249,0.0143481607741794,0.00287293121460384,363740
"Vermis",45050,9616,0,10,4,0.823884418434528,0.175859546452085,0,0.000182882223847842,7.31528895391368e-05,54680
