"anatomy_id","anatomy_group","rcmr_value","EI_definition","anatomical_analysis_scope","comparison_role","EI_ratio","n_donors_EI","n_cells_EI_total","cerebral_cortex_scope","is_cerebral_cortex","is_neocortex","is_telencephalon","division","MSN_included_in_denominator","p_E","p_I","p_I_interneuron","p_I_MSN","p_I_all_with_MSN","EI_ratio_no_MSN","EI_ratio_with_MSN","MSN_fraction_of_broad_I","delta_EI_with_MSN_minus_no_MSN"
"temporal_lobe","Temporal lobe",30.5,"Siletti broad-class cerebral-cortex E:I (MSN excluded)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",1.8512066151203,3,357476,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",FALSE,0.646961408310791,0.349480929371436,0.349480929371436,0.00355766231777338,0.353038591689209,1.8512066151203,1.83255152139382,0.0100772618108144,-0.0186550937264789
"amygdala","Corpus amygdaloideum",22.2,"Siletti broad-class cerebral-cortex E:I (MSN included)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",1.16969796610018,3,166567,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",TRUE,0.539106356910403,0.460893643089597,0.21911834663235,0.241775296457246,0.460893643089597,2.46034330395413,1.16969796610018,0.524579368976555,-1.29064533785395
"frontal_lobe","Frontal lobe",35.3,"Siletti broad-class cerebral-cortex E:I (MSN included)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",1.97411224684744,4,274697,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",TRUE,0.663765212271326,0.336234787728674,0.335866911764503,0.000367875964171295,0.336234787728674,1.97627449749123,1.97411224684744,0.00109410441036266,-0.00216225064379238
"hippocampus","Hippocampus",25.7,"Siletti broad-class cerebral-cortex E:I (MSN included)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",3.27551726394565,3,229617,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",TRUE,0.766110171409493,0.233889828590507,0.23112851231146,0.00276131627904695,0.233889828590507,3.31465020800685,3.27551726394565,0.0118060554222794,-0.0391329440611985
"insular_lobe","Insular lobe",30.3,"Siletti broad-class cerebral-cortex E:I (MSN included)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",2.09533520634067,3,103025,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",TRUE,0.676933212935536,0.323066787064464,0.321561717261311,0.00150506980315288,0.323066787064464,2.10514242398276,2.09533520634067,0.00465869554969933,-0.0098072176420918
"occipital_lobe","Occipital lobe",35.8,"Siletti broad-class cerebral-cortex E:I (MSN included)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",2.70807265110951,3,112018,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",TRUE,0.730318121005319,0.269681878994681,0.269681878994681,0,0.269681878994681,2.70807265110951,2.70807265110951,0,0
"parietal_lobe","Parietal lobe",35.8,"Siletti broad-class cerebral-cortex E:I (MSN included)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",1.84766652946621,3,142406,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",TRUE,0.648835286838362,0.351164713161638,0.351109969479707,5.47436819316806e-05,0.351164713161638,1.8479546103457,1.84766652946621,0.000155891750736591,-0.000288080879488728
"temporal_lobe","Temporal lobe",30.5,"Siletti broad-class cerebral-cortex E:I (MSN included)","Cerebral cortex (including amygdala and hippocampus)","Siletti-derived cerebral-cortex analysis",1.83255152139382,3,357476,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",TRUE,0.646961408310791,0.353038591689209,0.349480929371436,0.00355766231777338,0.353038591689209,1.8512066151203,1.83255152139382,0.0100772618108144,-0.0186550937264789
"frontal_lobe","Frontal lobe",35.3,"Jorstad-like neocortical E:I","Neocortex","Primary Jorstad-aligned comparison",1.96342128710627,4,273574,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.662552197910246,0.337447802089754,0.337447802089754,NA,NA,NA,NA,NA,NA
"insular_lobe","Insular lobe",30.3,"Jorstad-like neocortical E:I","Neocortex","Primary Jorstad-aligned comparison",2.10404183438014,3,102815,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.677839393488814,0.322160606511186,0.322160606511186,NA,NA,NA,NA,NA,NA
