"anatomy_group","p_original_Excitatory_projection","p_original_Inhibitory_interneuron","p_original_Inhibitory_projection_MSN","n_donors_EI","n_cells_EI_total","anatomy_id","rcmr_value","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_cerebral_cortex","is_neocortex","is_telencephalon","cerebral_cortex_scope","division","p_original_Inhibitory_all_with_MSN","EI_ratio_no_MSN","EI_ratio","EI_ratio_with_MSN","MSN_fraction_of_broad_I","delta_EI_with_MSN_minus_no_MSN"
"Corpus amygdaloideum",0.539106356910403,0.21911834663235,0.241775296457246,3,166567,"amygdala",22.2,"Cerebral nuclei",185429,185429,1,TRUE,FALSE,TRUE,"Cerebral cortex, non-neocortical","Telencephalon",0.460893643089597,2.46034330395413,2.46034330395413,1.16969796610018,0.524579368976555,-1.29064533785395
"Frontal lobe",0.663765212271326,0.335866911764503,0.000367875964171295,4,274697,"frontal_lobe",35.3,"Cerebral cortex",277827,277827,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.336234787728674,1.97627449749123,1.97627449749123,1.97411224684744,0.00109410441036266,-0.00216225064379238
"Hippocampus",0.766110171409493,0.23112851231146,0.00276131627904695,3,229617,"hippocampus",25.7,"Hippocampus",237728,237728,1,TRUE,FALSE,TRUE,"Cerebral cortex, non-neocortical","Telencephalon",0.233889828590507,3.31465020800685,3.31465020800685,3.27551726394565,0.0118060554222794,-0.0391329440611985
"Insular lobe",0.676933212935536,0.321561717261311,0.00150506980315288,3,103025,"insular_lobe",30.3,"Cerebral cortex",104365,104365,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.323066787064464,2.10514242398276,2.10514242398276,2.09533520634067,0.00465869554969933,-0.0098072176420918
"Occipital lobe",0.730318121005319,0.269681878994681,0,3,112018,"occipital_lobe",35.8,"Cerebral cortex",112307,112307,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.269681878994681,2.70807265110951,2.70807265110951,2.70807265110951,0,0
"Parietal lobe",0.648835286838362,0.351109969479707,5.47436819316806e-05,3,142406,"parietal_lobe",35.8,"Cerebral cortex",143001,143001,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.351164713161638,1.8479546103457,1.8479546103457,1.84766652946621,0.000155891750736591,-0.000288080879488728
"Temporal lobe",0.646961408310791,0.349480929371436,0.00355766231777338,3,357476,"temporal_lobe",30.5,"Cerebral cortex",363740,363740,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.353038591689209,1.8512066151203,1.8512066151203,1.83255152139382,0.0100772618108144,-0.0186550937264789
