"CellType","Variable","n","r","p_value","CI_lower","CI_upper","R_squared","Beta"
"AstroDensity","AstroDensity",6,0.967460401429096,0.00157101133477427,0.725629929125753,0.99656515773293,0.935979628333348,1937319.82906582
"GliaNeurRatio","GliaNeurDensityRatio",7,-0.923776250933297,0.00295604489918351,-0.988899385595762,-0.560940294586221,0.853362561788377,-0.220894947188124
"MicroDensity","MicroDensity",6,0.93688141118477,0.00585020353271117,0.52290075309535,0.99324334580898,0.877746778623567,816849.762117423
"OligoDensity","OligoDensity",6,0.896665521957039,0.0154653180087959,0.312537408545165,0.988729392832732,0.804009058266489,3508138.92550347
"GliaDensity","GliaDensity",7,0.707696305210883,0.0752334221894502,-0.0971212661323231,0.952912576757086,0.500834060409135,6417747.0405895
"NeuronDensity","NeurDensity",7,0.703621745635797,0.0776940386388331,-0.105154233694029,0.952160445519234,0.495083560931566,6739323.50727234
"Astrocytes","Astro_N",6,0.397650887049947,0.434963186834466,-0.611134548872822,0.914187384317948,0.15812622797161,140932518.417672
"Neurons","Neuron_N",6,0.385166366571472,0.450820768156629,-0.620288471697065,0.911732675648647,0.148353129937871,446119910.063
"Microglia","Microglia_N",6,0.368676529601483,0.472040901915875,-0.631973489308384,0.908431759270883,0.135922383478994,61326692.3567816
"Glia","Glia_N",6,0.367862083738571,0.473096885132684,-0.632539066970073,0.908266961255777,0.135322512652484,465955506.48578
"Oligodendrocytes","Oligo_N",6,0.362136443747456,0.480541128690723,-0.636485249822042,0.907103661425865,0.131142803890055,250144482.325972
