"Structure","Observed","Predicted_from_BM_mu_adjusted_equation","Observed_log10","Predicted_log10","Log10Diff","PropDiff","Direction","FittedLine_log","PhyloMu_log","Predicted_log","lambda","N"
"Corpus geniculatum laterale",373.666666666667,577.627852351254,2.57248435787531,2.76164812609694,-0.189163768221633,-0.353101369427315,"Smaller than Predicted",6.85962009505344,-0.500690287807675,6.35892980724576,1,47
"Amygdala",4545.8,2586.26461797751,3.65761032430424,3.41267295838197,0.244937365922269,0.757670103979871,"Larger than Predicted",8.3442368730172,-0.486266991782981,7.85796988123422,1,44
"Pallidum",4711,4936.02818586589,3.67311310423823,3.6933776309545,-0.0202645267162618,-0.045588918335242,"Smaller than Predicted",9.28577014743143,-0.781453871597945,8.50431627583349,1,24
"Neocortex white",413899.666666667,1118239.59934222,5.61689507664264,6.04853486752496,-0.431639790882323,-0.629864952993852,"Smaller than Predicted",12.8624503579578,1.0648158624599,13.9272662204177,1,28
"Insular cortex (grey)",6479,10662.2302692938,3.81150797994533,4.0278480576303,-0.216340077684974,-0.39234101718297,"Smaller than Predicted",8.6975494120916,0.57691348225295,9.27446289434455,1,26
"Nucleus subthalamicus Luysi",469,704.456195280237,2.67117284271508,2.84785399284701,-0.176681150131931,-0.334238234907666,"Smaller than Predicted",6.75817503081997,-0.20074887986686,6.55742615095311,1,23
"Capsula interna",7008,11711.1467574148,3.84559409316002,4.06859942334161,-0.223005330181588,-0.401595749317805,"Smaller than Predicted",9.56806558954458,-0.199769207994018,9.36829638155057,1,23
"Striatum",28689,35118.8236897606,4.45771541049588,4.54553996071921,-0.0878245502233295,-0.183087672484751,"Smaller than Predicted",10.9071001331685,-0.440607580007738,10.4664925531608,1,43
"Area striata grey",15463.5,23249.4151336972,4.18930779868012,4.36641203217639,-0.177104233496268,-0.334886494517124,"Smaller than Predicted",10.1902162060677,-0.136180950908553,10.0540352551592,1,42
"Neocortex grey",574355.333333333,1454175.02916297,5.75918065818213,6.16261668274366,-0.403436024561527,-0.605030122361588,"Smaller than Predicted",13.0789391260383,1.11101018148367,14.189949307522,1,28
"Mesencephalon",8087,6601.5330072578,3.90778744311062,3.81964479906967,0.0881426440409427,0.225018490570155,"Larger than Predicted",9.23711003372155,-0.442052858851487,8.79505717487007,1,43
"Cerebellum",136803.527777778,113864.000950824,5.13609729676033,5.05638643997383,0.0797108567864919,0.201464261183495,"Larger than Predicted",12.2348191149148,-0.592059073813787,11.642760041101,1,45
"Hippocampus",10287.38,9703.71683049034,4.01230478230132,3.98693811465676,0.0253666676445579,0.060148413201395,"Larger than Predicted",9.59896573072834,-0.418701461229894,9.18026426949844,1,44
"Nucleus dentatus cerebelli",1166.9,2551.51746141915,3.06703363984226,3.40679854479133,-0.339764904949066,-0.542664309516043,"Smaller than Predicted",7.64492312849105,0.199520415579274,7.84444354407032,1,41
