Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc
Corpus geniculatum laterale,Brownian (BM),1,590.37,764.45,989.86,373.67,-0.579946572071049,-1.0458111077668193,-1.6490408996399215,47,23.1
Corpus geniculatum laterale,Pagel's lambda (ML),0.925,556.98,740.11,983.44,373.67,-0.4905860895349246,-0.9806608527231517,-1.631862353374046,47,23.1
Amygdala,Brownian (BM),1,2548.6,3060.1,3674.3,4545.8,0.4393499968793489,0.32682688816638017,0.19172026045946655,44,22.2
Amygdala,Pagel's lambda (ML),0.912,2632.9,3241.7,3991.1,4545.8,0.4208008304025111,0.2868909046112388,0.12202121719274295,44,22.2
Pallidum,Brownian (BM),1,4439.9,5612.6,7095,4711,0.05754764831355326,-0.19137391167791504,-0.5060409100649795,24,21.9
Pallidum,Pagel's lambda (ML),1.03,4186.5,5139.8,6310.3,4711,0.11133886091774267,-0.09102724510979066,-0.3394762043956978,24,21.9
Neocortex white,Brownian (BM),1,1130100,1534300,2083100,413900,-1.7303044051447674,-2.7068871527297067,-4.032776688628598,28,12.3
Neocortex white,Pagel's lambda (ML),0.774,958600,1378500,1982400,413900,-1.3160204744559323,-2.33057183167619,-3.789555553717951,28,12.3
Insular cortex (grey),Brownian (BM),1,6280.6,10877,18839,6479,0.030622967402752128,-0.6788812900929656,-1.9076843080057753,26,30.3
Insular cortex (grey),Pagel's lambda (ML),-0.133,3039.5,5961.5,11693,6479,0.530868802505043,0.07987312707146521,-0.8046837788790308,26,30.3
Nucleus subthalamicus Luysi,Brownian (BM),1,579.33,750.4,972,469,-0.23523673263590258,-0.6000065681616401,-1.072494243834132,23,25.2
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.09,678.49,736,798.4,469,-0.44666723134264985,-0.5693069186873004,-0.7023432560604681,23,25.2
Capsula interna,Brownian (BM),1,8469.4,10462,12922,7008,-0.2085367721793816,-0.49280011556263426,-0.8439258418303617,23,25.5
Capsula interna,Pagel's lambda (ML),1.06,8816,10230,11871,7008,-0.257992397309421,-0.45979107101384703,-0.6939609297874056,23,25.5
Striatum,Brownian (BM),1,28519,35890,45166,28689,0.005917474549175744,-0.2510070432733382,-0.574334707885295,43,36.3
Striatum,Pagel's lambda (ML),0.753,29272,38993,51941,28689,-0.02032165005894113,-0.3591511219734399,-0.8104994363835637,43,36.3
Area striata grey,Brownian (BM),1,23708,31281,41273,15464,-0.5331705243594784,-1.022911074001331,-1.6690894119731574,42,35.8
Area striata grey,Pagel's lambda (ML),0.997,23577,31187,41253,15464,-0.5247139539052491,-1.016830284871433,-1.6677819715338948,42,35.8
Neocortex grey,Brownian (BM),1,1111500,1428400,1835700,574360,-0.9351351633963443,-1.486939070381781,-2.1960898942771396,28,33.5
Neocortex grey,Pagel's lambda (ML),0.705,928280,1300800,1822800,574360,-0.6162064995163478,-1.2647746250244778,-2.1736069021438085,28,33.5
Mesencephalon,Brownian (BM),1,6636.4,7541.8,8570.7,8087,0.17936899805871084,0.06741509223193244,-0.05981203261803839,43,25.3
Mesencephalon,Pagel's lambda (ML),0.924,6646.6,7692.5,8903,8087,0.17811885563012847,0.04878657287067794,-0.10089760563228013,43,25.3
Cerebellum,Brownian (BM),1,79585,96513,117040,136800,0.4182527244970295,0.2945141259908717,0.1444561248763729,45,29.8
Cerebellum,Pagel's lambda (ML),1.02,78465,94181,113040,136800,0.426439835726426,0.3115614038454473,0.17367395750798686,45,29.8
Hippocampus,Brownian (BM),1,5276.5,7520.2,10718,10287,0.48709310222904384,0.26898770669083183,-0.04186349470340276,44,25.7
Hippocampus,Pagel's lambda (ML),0.861,5391.3,8334.7,12885,10287,0.4759329027372044,0.18981315200674936,-0.25251658058602106,44,25.7
Nucleus dentatus cerebelli,Brownian (BM),1,2024.7,2539.5,3185.2,1166.9,-0.7350958749995865,-1.176256478578398,-1.7295853380756694,41,24.2
Nucleus dentatus cerebelli,Pagel's lambda (ML),0.867,1863.6,2453.7,3230.7,1166.9,-0.5970425642740577,-1.10275518783828,-1.7686045938234916,41,24.2
