Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc
Corpus geniculatum laterale,Brownian (BM),1,521.24,677.57,880.79,335,-0.5559434345624249,-1.022601532897599,-1.6292195911544807,46,23.1
Corpus geniculatum laterale,Pagel's lambda (ML),0.893,476.23,641.8,864.94,335,-0.42158300002545596,-0.9158315188517854,-1.5819177695289082,46,23.1
Amygdala,Brownian (BM),1,4202.4,5290.8,6661.1,3015,-0.39384078997500366,-0.7548289634943068,-1.2093087770617816,17,22.2
Amygdala,Pagel's lambda (ML),0.452,4019.1,5284.6,6948.7,3015,-0.333027293259209,-0.7527837131851357,-1.3047170607403824,17,22.2
Pallidum,Brownian (BM),1,6568.6,8111.6,10017,4711,-0.3943029659704493,-0.7218500263028181,-1.1263438330388311,26,21.9
Pallidum,Pagel's lambda (ML),1.06,5536.9,6476.5,7575.6,4711,-0.17531277346134447,-0.3747698815933059,-0.6080759692332512,26,21.9
Neocortex white,Brownian (BM),1,577360,756080,990140,421820,-0.36872743728777996,-0.7924382017481162,-1.3473151918781254,23,12.3
Neocortex white,Pagel's lambda (ML),0.615,909000,1354400,2017900,421820,-1.154948124871979,-2.210764320869811,-3.783877349615094,23,12.3
Insular cortex (grey),Brownian (BM),1,3886.8,6483.4,10815,6479,0.4000905954383253,-6.775066722911566e-4,-0.6691778204269299,27,30.3
Insular cortex (grey),Pagel's lambda (ML),-0.0877,564780000,1103900000,2157700000,6479,-87169.38587283378,-170380.1293158236,-333021.8372429676,27,30.3
Nucleus subthalamicus Luysi,Brownian (BM),1,512.18,649.73,824.23,469,-0.09207099279057626,-0.38535844031101535,-0.7574113961554627,25,25.2
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.11,390.18,826.02,1748.7,469,0.16806568835852395,-0.7612394584992375,-2.7286170155120204,25,25.2
Capsula interna,Brownian (BM),1,7296.9,8975.6,11040,7008,-0.041230241154673476,-0.28076806234308255,-0.5754122044121265,25,25.5
Capsula interna,Pagel's lambda (ML),1,7296.8,8977.1,11044,7008,-0.04120497837505068,-0.28097960571058245,-0.5759709032579848,25,25.5
Striatum,Brownian (BM),1,29815,35673,42682,28689,-0.03925420356945789,-0.24343621516600825,-0.4877338151493297,44,36.3
Striatum,Pagel's lambda (ML),0.768,28022,35203,44225,28689,0.02326622269171798,-0.22705067089061198,-0.5415186654877795,44,36.3
Area striata grey,Brownian (BM),1,20804,26187,32964,14787,-0.40690852071221606,-0.770978387005993,-1.2292596860914842,40,35.8
Area striata grey,Pagel's lambda (ML),1.05,24775,29847,35958,14787,-0.6754427562196289,-1.0184679999674804,-1.4317232276473217,40,35.8
Neocortex grey,Brownian (BM),1,422090,540350,691740,584710,0.27812007706082276,0.07586376943924118,-0.18306070787759685,23,33.5
Neocortex grey,Pagel's lambda (ML),0.41,664760,958110,1380900,584710,-0.13690715708450493,-0.638610393035954,-1.361709136435551,23,33.5
Mesencephalon,Brownian (BM),1,6642.6,7452.1,8360.3,8087,0.17860847775972025,0.07850682688764793,-0.03379404961069395,44,25.3
Mesencephalon,Pagel's lambda (ML),1.01,6690.3,7490.2,8385.8,8087,0.17270525914539694,0.07379175581541754,-0.03694810232844955,44,25.3
Cerebellum,Brownian (BM),1,89216,104440,122270,137420,0.35078363961884035,0.23997886338793437,0.11026252055945718,44,29.8
Cerebellum,Pagel's lambda (ML),0.987,87797,103330,121620,137420,0.361105821842272,0.2480518102832447,0.11499259290681016,44,29.8
Hippocampus,Brownian (BM),1,5217.1,7219,9989,10287,0.49284590584797566,0.29824470979103845,0.028972667252797422,44,25.7
Hippocampus,Pagel's lambda (ML),0.92,4927.3,7192.9,10500,10287,0.5210186365691488,0.3007820225193994,-0.020719838722166338,44,25.7
Nucleus dentatus cerebelli,Brownian (BM),1,494.66,600.02,727.81,1166.9,0.5760883063875339,0.4858030168600859,0.3762886434741798,42,24.2
Nucleus dentatus cerebelli,Pagel's lambda (ML),0.951,550.47,682.38,845.91,1166.9,0.5282619947832821,0.41521651945365134,0.2750812626114388,42,24.2
