Variable,Structure,slope_pooled,slope_between_sd,Diff.pre_pooled,Diff.pre_between_sd,Diff.pre_total_se,n_imputations,frac_imputed
LGN_Sousa,Corpus geniculatum laterale,0.7203488217550083,0.0047892324098422374,-2.182727668336792,0.06196029641725664,0.06318735209991694,25,0.169
Amygdala,Amygdala,0.680750599817437,0.011744974242305174,-0.27738995087851376,0.06425792576767074,0.06553048347846994,25,0.695
Pallidum,Pallidum,1.0441721594153517,0.01581597817990809,-1.7283728492090848,0.1905836827816091,0.1943579834951604,25,0.542
NeoW_Frahm,Neocortex white,1.3096949404072769,0.022341477955217036,-0.008696815443733264,0.09679469989013269,0.0987116127104288,25,0.593
Total_insula_volume_L,Insular cortex (grey),1.0387673773761446,0.05425161274890867,-1.4108931726837513,0.6214396224009604,0.6337465522284459,25,0.492
Nucleus_subthalamicus,Nucleus subthalamicus Luysi,1.05826557920758,0.013739154656764152,-1.2300277099066845,0.15423255188779536,0.15728695834141604,25,0.559
Capsula_interna,Capsula interna,1.0419205431970444,0.015891768768375666,-1.096553600448551,0.14537111504032532,0.1482500304606721,25,0.559
Striatum,Striatum,0.9760516896899026,0.009799360446625188,-1.1949815086041307,0.09676673312340904,0.09868309209257761,25,0.22
ASG_Sousa,Area striata grey,0.7762994943240149,0.005900439955742023,-0.733227281214193,0.05693060229477938,0.058058050404334045,25,0.237
NeoG_Frahm,Neocortex grey,0.8693947588239108,0.02735863743603688,0.3909038628939751,0.06283805763350883,0.06408249641390593,25,0.593
Mesencephalon,Mesencephalon,0.7005358436777965,0.004139839358409398,-0.4290440857344448,0.026407621891450888,0.026930595866417616,25,0.22
Cerebellum,Cerebellum,1.0223379001004078,0.006406190766217313,-0.37523404544680283,0.04034748041600237,0.04114651799309976,25,0.22
Hippocampus,Hippocampus,0.7409646069971285,0.007518541560359606,-0.8517108556241134,0.06546612495832795,0.06676260972836356,25,0.22
