"group","cerebral_cc","cerebellar_cc","current_umol","current_ratio","proposed_umol","proposed_ratio","fig3B_check_cerebellar_cortex_ratio"
"NT",1161,149,343.81,1.0466,344.63,1.0491,0.9247
"EH",1135,153,339.32,1.0329,340.04,1.0351,1.0039
"MH",1097,149,328.51,1,328.51,1,1
