Specimen,s4_specimen,QICA_cm3_s,endocranial_cc_arterial,brain_tissue_cc_s4,ratioMH_seymour,ratioMH_boyer_scaled,ratioMH_boyer_ecvpred,ratioMH_s4,BGU_seymour_s4scope,BGU_boyer_scaled_s4scope,BGU_s4_regional
Gibraltar (Forbes Quarry),Forbes' Quarry 1,6.08,1200,1018,0.828,0.865,0.917,0.815,272.1,281.1,267.7
La Chapelle-aux-Saints,La Chapelle-aux-Saints 1,6.93,1625,1299,0.944,1.062,1.194,1.040,310.2,345.1,341.6
Skhul 5,Skhul 5,4.74,1520,1199,0.646,0.909,1.127,0.964,212.1,295.4,316.7
