Species,stephan_species,pair_note,stephan_var,wide_var,unit_scale,stephan_value,wide_value,difference,abs_difference,pct_diff,ratio,match_cat
Pongo sp.,Pongo abelii,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Sumatran,FI_volume_L,fronto_insular_cortex_left_Vol.mm3,1,19.5,39.75,20.25,20.25,103.84615384615384,2.0384615384615383,gross(>100%)
Alouatta caraya,Alouatta caraya,NA,Brain_weight,Brain_Mass.mg,1,55800,55.8,-55744.2,55744.2,-99.9,0.001,notable(5-100%)
Cercocebus agilis,Cercocebus agilis,NA,Brain_weight,Brain_Mass.mg,1,95300,95.3,-95204.7,95204.7,-99.9,0.001,notable(5-100%)
Colobus angolensis,Colobus angolensis,NA,Brain_weight,Brain_Mass.mg,1,74400,74.4,-74325.6,74325.6,-99.9,0.001,notable(5-100%)
Hylobates muelleri,Hylobates muelleri,NA,Brain_weight,Brain_Mass.mg,1,101800,101.8,-101698.2,101698.2,-99.9,0.001,notable(5-100%)
Leontopithecus rosalia,Leontopithecus rosalia,NA,Brain_weight,Brain_Mass.mg,1,12700,12.7,-12687.3,12687.3,-99.9,0.001,notable(5-100%)
Macaca maura,Macaca maura,NA,Brain_weight,Brain_Mass.mg,1,83300,83.3,-83216.7,83216.7,-99.9,0.001,notable(5-100%)
Pan paniscus,Pan paniscus,NA,Brain_weight,Brain_Mass.mg,1,352000,352,-351648,351648,-99.9,0.001,notable(5-100%)
Pithecia pithecia,Pithecia pithecia,NA,Brain_weight,Brain_Mass.mg,1,30000,30,-29970,29970,-99.9,0.001,notable(5-100%)
Saguinus geoffroyi,Saguinus geoffroyi,NA,Brain_weight,Brain_Mass.mg,1,10500,10.5,-10489.5,10489.5,-99.9,0.001,notable(5-100%)
Trachypithecus francoisi,Trachypithecus francoisi,NA,Brain_weight,Brain_Mass.mg,1,102100,102.1,-101997.9,101997.9,-99.9,0.001,notable(5-100%)
Symphalangus syndactylus,Symphalangus syndactylus,NA,Brain_weight,Brain_Mass.mg,1,138700,138.7,-138561.3,138561.3,-99.89999999999999,0.001,notable(5-100%)
Pongo sp.,Pongo abelii,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Sumatran,Brain_weight,Brain_Mass.mg,1,345900,353.2,-345546.8,345546.8,-99.89788956345765,0.0010211043654235327,notable(5-100%)
Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Brain_weight,Brain_Mass.mg,1,336000,353.2,-335646.8,335646.8,-99.89488095238096,0.0010511904761904762,notable(5-100%)
Pongo sp.,Pongo abelii,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Sumatran,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,1,599.5,828.25,228.75,228.75,38.15679733110926,1.3815679733110926,notable(5-100%)
Pan troglodytes,Pan troglodytes,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,250.7,344,93.30000000000001,93.30000000000001,37.21579577183886,1.3721579577183887,notable(5-100%)
Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,1,188,254.75,66.75,66.75,35.505319148936174,1.3550531914893618,notable(5-100%)
