stephan_var,wide_var,unit_scale,n_both,n_agree,n_disagree,cor,median_ratio,median_abs_pct,max_abs_pct,mean_abs_diff,max_abs_diff
FI_volume_L,fronto_insular_cortex_left_Vol.mm3,1,6,4,2,0.9967153753607811,0.9999999988479275,3.690143378664338e-7,103.84615384615384,6.750000111111049,20.25
Brain_weight,Brain_Mass.mg,1,59,46,13,0.913344352744263,1,0,99.9,29436.220338983057,351648
Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,1,28,26,2,0.9944701715935976,1,0,38.15679733110926,16.339285738095214,228.75
LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,48,39,9,0.9909756689813329,1,0,37.21579577183886,2.6693749999999987,93.30000000000001
Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,1,28,26,2,0.9971994366514046,1,0,35.505319148936174,4.7678571547618915,66.75
ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,42,37,5,0.9881844252779912,1,0,32.12838207908862,151.7095238095238,2933
Body_weight,Body_Mass.g,1,58,56,2,0.9942193205987101,1,0,30.126404494382022,369.8275862643671,10725
Cerebellum,Cerebellum_Vol.mm3,1,46,35,11,0.9987044826548983,1,0,27.1802070538691,374.3260869565143,6900
Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,45,24,21,0.9960349157435057,1,0,23.687485971964332,6626.65111111111,105973
NeoWG,Neocortex_Vol.mm3,1,46,41,5,0.9972530256343485,1,0,22.49014255383668,3307.518115942022,57744
Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,39,4,35,0.9999299455911893,0.9980392156862745,0.8333333333333341,20,0.0026589743589743595,0.0050000000000000044
Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,39,6,33,0.9999693581474851,1,1.3750000000000047,16.500000000000004,0.002461538461538462,0.0050000000000000044
Total_insula_volume_L,Insula_left_Vol.mm3,1,28,25,3,0.9989914694351903,1,0,14.98272884283247,23.64880952380929,314
NeoG_Frahm,Neocortex_grey_matter_Vol.mm3,1,24,23,1,0.9999018087712679,1,0,6.073752711496746,350,8400
Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,17,3,8,0.9999964846122669,1.001086956521739,0.4255319148936174,5.999999999999998,0.0013411764705882363,0.0050000000000000044
Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,1,28,26,2,0.9999724838874551,1,0,4.899497487437186,0.6964285952380707,9.75
Corpus.pineale,Corpus_pineal_Vol.mm3,1,39,27,12,0.9999999974028683,1,0,3.8333333333333393,8.282051282051288e-4,0.0050000000000000044
Nucleus.vestibularis.lateralis,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,1,26,25,1,0.9999960655568204,1,0,3.478260869565221,0.003076923076923079,0.08000000000000007
Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,45,21,10,0.9999995184785858,1,0,1.5151515151515165,8.444444444444439e-4,0.0050000000000000044
