file,Species_std,column,values,fatal
volumes_wide_select,Lagothrix lagotricha,Complexus_vestibularis_Vol.mm3,106.0 | 106.2,FALSE
volumes_wide_select,Lagothrix lagotricha,Complexus_vestibularis_unilateral_Vol.mm3,53.0 | 53.1,FALSE
