Species
A. l. occidentalis
Atelerix algirus
Ateles paniscus
Avahi laniger laniger
C. medius
C. mitis
Cebuella pygmaea
Cebus sp.
Cercocebus torquatus
Cercopithecus sp.
Chrysochloris asiatica
Chrysochloris stuhlmanni
Crocidura flavescens
Crocidura russula
Desmana moschata
Echinops telfairi
Elephantulus fuscipes
Erinaceus europaeus
Eulemur albifrons
Galagoides demidovii
Galemys pyrenaicus
Hemicentetes semispinosus
Hemiechinus auritus
Homo sapiens sapiens
Microgale cowani
Microgale mergulus
Micropotamogale lamottei
Neomys fodiens
Nesogale dobsoni
Nesogale talazaci
Oryzorictes hova
Papio cynocephalus
Potamogale velox
Rhynchocyon cirnei
S. oedipus
Sapajus apella
Setifer setosus
Solenodon paradoxus
Sorex araneus
Sorex minutus
Suncus murinus
Talpa europaea
Tarsius spp.
Tenrec ecaudatus
Tupaia glis
Tupaia minor
Urogale everetti
