Species,stephan_species,stephan_var,wide_var,stephan_value,wide_value,ratio,anomaly
Alouatta caraya,Alouatta caraya,Brain_weight,Brain_Mass.mg,55800,55.8,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Cercocebus agilis,Cercocebus agilis,Brain_weight,Brain_Mass.mg,95300,95.3,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Colobus angolensis,Colobus angolensis,Brain_weight,Brain_Mass.mg,74400,74.4,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Hylobates muelleri,Hylobates muelleri,Brain_weight,Brain_Mass.mg,101800,101.8,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Leontopithecus rosalia,Leontopithecus rosalia,Brain_weight,Brain_Mass.mg,12700,12.7,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Macaca maura,Macaca maura,Brain_weight,Brain_Mass.mg,83300,83.3,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Pan paniscus,Pan paniscus,Brain_weight,Brain_Mass.mg,352000,352,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Pithecia pithecia,Pithecia pithecia,Brain_weight,Brain_Mass.mg,30000,30,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Pongo sp.,Pongo abelii,Brain_weight,Brain_Mass.mg,345900,353.2,0.0010211043654235327,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Saguinus geoffroyi,Saguinus geoffroyi,Brain_weight,Brain_Mass.mg,10500,10.5,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Symphalangus syndactylus,Symphalangus syndactylus,Brain_weight,Brain_Mass.mg,138700,138.7,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Trachypithecus francoisi,Trachypithecus francoisi,Brain_weight,Brain_Mass.mg,102100,102.1,0.001,merge is ~1/1000x Stephan (cm3/mm3 or g/mg)
Pongo sp.,Pongo abelii,FI_volume_L,fronto_insular_cortex_left_Vol.mm3,19.5,39.75,2.0384615384615383,merge is ~2x Stephan (bilateral vs unilateral)
