Species,Stephan_col,Merged_col,Stephan_value,Merged_value,abs_diff,pct_diff,match_cat,merged_teams
Ateles_geoffroyi,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,101034,101867,833,0.8244749292317438,close(0.5-2%),Stephan_collection; Zilles
Avahi_laniger,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9798,9798,0,0,exact(<0.5%),Stephan_collection
Callithrix_pygmaea,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,4302,4302,0,0,exact(<0.5%),Stephan_collection
Cebus_albifrons,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,66939,71983,5044,7.535218631888735,notable(5-100%),Stephan_collection; Zilles
Cercopithecus_mitis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,70564,69838,-726,-1.028853239612267,close(0.5-2%),Stephan_collection; Zilles
Galagoides_demidoff,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,3203,3194.15,-8.849999999999909,-0.27630346550108986,exact(<0.5%),Stephan_collection; Zilles
Gorilla_gorilla,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,470359,437433,-32926,-7.000184965101125,notable(5-100%),Stephan_collection
Homo_sapiens,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1251847,1267579.6025641025,15732.602564102504,1.2567512295114742,close(0.5-2%),Bush; RillingInsel; Stephan_collection; Zilles
Hylobates_lar,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,97505,94169.65,-3335.350000000006,-3.4206963745449013,minor(2-5%),Bush; RillingInsel; Stephan_collection; Zilles
Indri_indri,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,36285,34383,-1902,-5.24183546920215,notable(5-100%),Stephan_collection; Zilles
Lophocebus_albigena,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,97603,103466.5,5863.5,6.007499769474299,notable(5-100%),Stephan_collection; Zilles
Loris_tardigradus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,6269,6440.5,171.5,2.7356835220928377,minor(2-5%),Stephan_collection; Zilles
Pan_troglodytes,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,382103,355460.63095238095,-26642.369047619053,-6.972562122678716,notable(5-100%),Ashwell; Bush; RillingInsel; Sherwood; Stephan_collection; Zilles
Perodicticus_potto,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,13212,11174.75,-2037.25,-15.419694217378142,notable(5-100%),Ashwell; Bush; Stephan_collection; Zilles
Piliocolobus_badius,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,73818,73106,-712,-0.9645343954049148,close(0.5-2%),Stephan_collection; Zilles
Saguinus_oedipus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9537,9237.6,-299.39999999999964,-3.1393519974834816,minor(2-5%),Stephan_collection; Zilles
Varecia_variegata,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,29713,30059,346,1.1644734627940632,close(0.5-2%),Stephan_collection; Zilles
Alouatta_seniculus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,49009,43204.5,-5804.5,-11.843742985982166,notable(5-100%),Stephan_collection; Zilles
Aotus_trivirgatus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,16195,14181.75,-2013.25,-12.431305958629206,notable(5-100%),Ashwell; Bush; Stephan_collection; Zilles
Avahi_occidentalis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9124,9190.4,66.39999999999964,0.7277509864094656,close(0.5-2%),Stephan_collection; Zilles
Callimico_goeldii,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,10510,10510,0,0,exact(<0.5%),Stephan_collection
Callithrix_jacchus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,7241,6313,-928,-12.815909404778346,notable(5-100%),Ashwell; Stephan_collection
Cercopithecus_ascanius,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,63505,63505,0,0,exact(<0.5%),Stephan_collection
Cheirogaleus_major,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,6373,6373,0,0,exact(<0.5%),Stephan_collection
Cheirogaleus_medius,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,2961,2795.5,-165.5,-5.589327929753462,notable(5-100%),Bush; Stephan_collection
Daubentonia_madagascariensis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,42611,41840.5,-770.5,-1.8082185351200395,close(0.5-2%),Bush; Stephan_collection
Erythrocebus_patas,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,103167,96083.5,-7083.5,-6.866052129072281,notable(5-100%),Stephan_collection; Zilles
Eulemur_fulvus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,22106,22106,0,0,exact(<0.5%),Stephan_collection
Galago_senegalensis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,4512,4046,-466,-10.328014184397164,notable(5-100%),Bush; Stephan_collection
Lagothrix_lagotricha,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,95503,95503,0,0,exact(<0.5%),Stephan_collection
Lepilemur_ruficaudatus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,7175,7175,0,0,exact(<0.5%),Stephan_collection
Macaca_mulatta,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,87896,81892.75,-6003.25,-6.829946755256212,notable(5-100%),Bush; RillingInsel; Stephan_collection; Zilles
Microcebus_murinus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1680,1665,-15,-0.8928571428571429,close(0.5-2%),Bush; Stephan_collection
Miopithecus_talapoin,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,37776,37776,0,0,exact(<0.5%),Stephan_collection
Nasalis_larvatus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,92797,92797,0,0,exact(<0.5%),Stephan_collection
Nycticebus_coucang,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,11755,11512.5,-242.5,-2.062951935346661,minor(2-5%),Bush; Stephan_collection
Otolemur_crassicaudatus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9668,8389,-1279,-13.22920976417046,notable(5-100%),Bush; Stephan_collection
Papio_anubis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,190957,190957,0,0,exact(<0.5%),Stephan_collection
Pithecia_monachus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,32867,32867,0,0,exact(<0.5%),Stephan_collection
Plecturocebus_moloch,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,17944,14321,-3623,-20.190592955862684,notable(5-100%),Ashwell
Propithecus_verreauxi,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,25194,25192,-2,-0.007938398031277289,exact(<0.5%),Bush; Stephan_collection
Pygathrix_nemaeus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,72530,72530,0,0,exact(<0.5%),Stephan_collection
Saguinus_midas,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9569,9569,0,0,exact(<0.5%),Stephan_collection
Saimiri_sciureus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,22572,20864.4,-1707.5999999999985,-7.56512493354598,notable(5-100%),Ashwell; Bush; RillingInsel; Stephan_collection; Zilles
Ateles_geoffroyi,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1834,1833.835,-0.16499999999996362,-0.008996728462375333,exact(<0.5%),Stephan_collection; Zilles
Avahi_laniger,Medulla_oblongata,Medulla_oblongata_Vol.mm3,553,553.175,0.17499999999995453,0.031645569620244944,exact(<0.5%),Stephan_collection; Zilles
Callithrix_pygmaea,Medulla_oblongata,Medulla_oblongata_Vol.mm3,201,193,-8,-3.9800995024875623,minor(2-5%),Stephan_collection; Zilles
Cebus_albifrons,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1738,1738.13,0.13000000000010914,0.007479861910247937,exact(<0.5%),Stephan_collection; Zilles
Cercopithecus_mitis,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1999,1998.95,-0.049999999999954525,-0.0025012506253103816,exact(<0.5%),Stephan_collection; Zilles
Galagoides_demidoff,Medulla_oblongata,Medulla_oblongata_Vol.mm3,169,169.065,0.06499999999999773,0.03846153846153712,exact(<0.5%),Stephan_collection; Zilles
Gorilla_gorilla,Medulla_oblongata,Medulla_oblongata_Vol.mm3,7509,6983,-526,-7.004927420428818,notable(5-100%),Stephan_collection
Homo_sapiens,Medulla_oblongata,Medulla_oblongata_Vol.mm3,9622,9660.895,38.89500000000044,0.4042298898357975,exact(<0.5%),Stephan_collection; Zilles
Hylobates_lar,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2251,2250.08,-0.9200000000000728,-0.04087072412261541,exact(<0.5%),Stephan_collection; Zilles
Indri_indri,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1342,1342.005,0.005000000000109139,3.7257824143883305e-4,exact(<0.5%),Stephan_collection; Zilles
Lophocebus_albigena,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2708,2689.295,-18.704999999999927,-0.6907311669128481,close(0.5-2%),Stephan_collection; Zilles
Loris_tardigradus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,233,260.115,27.11500000000001,11.637339055793996,notable(5-100%),Stephan_collection; Zilles
Pan_troglodytes,Medulla_oblongata,Medulla_oblongata_Vol.mm3,5817,5922.195,105.19499999999971,1.8084063950489893,close(0.5-2%),Stephan_collection; Zilles
Perodicticus_potto,Medulla_oblongata,Medulla_oblongata_Vol.mm3,680,679.87,-0.12999999999999545,-0.01911764705882286,exact(<0.5%),Stephan_collection; Zilles
Piliocolobus_badius,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2007,2007.055,0.055000000000063665,0.0027404085700081546,exact(<0.5%),Stephan_collection; Zilles
Pongo_pygmaeus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,5500,5336.025,-163.97500000000036,-2.981363636363643,minor(2-5%),Stephan_collection; Zilles
Saguinus_oedipus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,413,413.155,0.15499999999997272,0.037530266343819056,exact(<0.5%),Stephan_collection; Zilles
Varecia_variegata,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1420,1420,0,0,exact(<0.5%),Stephan_collection; Zilles
Alouatta_seniculus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1593,1593.125,0.125,0.007846829880728186,exact(<0.5%),Stephan_collection; Zilles
Aotus_trivirgatus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,686,680.65,-5.350000000000023,-0.7798833819242016,close(0.5-2%),Stephan_collection; Zilles
Avahi_occidentalis,Medulla_oblongata,Medulla_oblongata_Vol.mm3,508,508.23,0.2300000000000182,0.045275590551184686,exact(<0.5%),Stephan_collection; Zilles
