Species,Stephan_col,Merged_col,Stephan_value,Merged_value,abs_diff,pct_diff,merged_teams,match_cat
Pygathrix_nemaeus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,72530,72530,0,0,Stephan_collection,exact(<0.5%)
Saguinus_midas,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9569,9569,0,0,Stephan_collection,exact(<0.5%)
Saguinus_oedipus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9537,9237.6,-299.4,-3.139351997,Stephan_collection; Zilles,minor(2-5%)
Saimiri_sciureus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,22572,20864.4,-1707.6,-7.565124934,Ashwell; Bush; RillingInsel; Stephan_collection; Zilles,notable(5-100%)
Varecia_variegata,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,29713,30059,346,1.1644734627940632,Stephan_collection; Zilles,close(0.5-2%)
Alouatta_seniculus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1593,1593.125,0.125,0.00784683,Stephan_collection; Zilles,exact(<0.5%)
Aotus_trivirgatus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,686,680.65,-5.35,-0.779883382,Stephan_collection; Zilles,close(0.5-2%)
Ateles_geoffroyi,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1834,1833.835,-0.165,-0.008996728,Stephan_collection; Zilles,exact(<0.5%)
Avahi_laniger,Medulla_oblongata,Medulla_oblongata_Vol.mm3,553,553.175,0.17499999999995453,0.031645569620244944,Stephan_collection; Zilles,exact(<0.5%)
Avahi_occidentalis,Medulla_oblongata,Medulla_oblongata_Vol.mm3,508,508.23,0.2300000000000182,0.045275590551184686,Stephan_collection; Zilles,exact(<0.5%)
Callimico_goeldii,Medulla_oblongata,Medulla_oblongata_Vol.mm3,460,460.05,0.05,0.010869565217393776,Stephan_collection; Zilles,exact(<0.5%)
Callithrix_jacchus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,318,318.12,0.12000000000000455,0.037735849,Stephan_collection; Zilles,exact(<0.5%)
Callithrix_pygmaea,Medulla_oblongata,Medulla_oblongata_Vol.mm3,201,193,-8,-3.980099502,Stephan_collection; Zilles,minor(2-5%)
Cebus_albifrons,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1738,1738.13,0.13000000000010914,0.007479862,Stephan_collection; Zilles,exact(<0.5%)
Cercopithecus_ascanius,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1632,1717.045,85.04500000000007,5.211090686274514,Stephan_collection; Zilles,notable(5-100%)
Cercopithecus_mitis,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1999,1998.95,-0.05,-0.002501251,Stephan_collection; Zilles,exact(<0.5%)
