Species,Stephan_col,Merged_col,Stephan_value,Merged_value,pct_diff,match_cat,n_teams,is_averaged,merged_teams,merged_team_refs,structure_source
Alouatta_seniculus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,49009.0,43204.5,-11.843742985982166,notable(5-100%),2,True,Stephan_collection; Zilles,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology | Zilles: Zilles & Rehkämper 1988 — Pongo / great-ape graft (Düsseldorf collection)","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Aotus_trivirgatus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,16195.0,14181.75,-12.431305958629206,notable(5-100%),4,True,Ashwell; Bush; Stephan_collection; Zilles,"Ashwell: Ashwell — marsupial/monotreme atlas (non-primate; dropped by primate tree) | Bush: Bush & Allman 2004 — cortical (frontal) [verify in papers tribble] | Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology | Zilles: Zilles & Rehkämper 1988 — Pongo / great-ape graft (Düsseldorf collection)","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Ateles_geoffroyi,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,101034.0,101867.0,0.8244749292317438,close(0.5-2%),2,True,Stephan_collection; Zilles,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology | Zilles: Zilles & Rehkämper 1988 — Pongo / great-ape graft (Düsseldorf collection)","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Avahi_laniger,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9798.0,9798.0,0.0,exact(<0.5%),1,False,Stephan_collection,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Avahi_occidentalis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9124.0,9190.4,0.7277509864094656,close(0.5-2%),2,True,Stephan_collection; Zilles,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology | Zilles: Zilles & Rehkämper 1988 — Pongo / great-ape graft (Düsseldorf collection)","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Callimico_goeldii,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,10510.0,10510.0,0.0,exact(<0.5%),1,False,Stephan_collection,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Callithrix_jacchus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,7241.0,6313.0,-12.815909404778346,notable(5-100%),2,True,Ashwell; Stephan_collection,"Ashwell: Ashwell — marsupial/monotreme atlas (non-primate; dropped by primate tree) | Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Callithrix_pygmaea,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,4302.0,4302.0,0.0,exact(<0.5%),1,False,Stephan_collection,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Cebus_albifrons,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,66939.0,71983.0,7.535218631888735,notable(5-100%),2,True,Stephan_collection; Zilles,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology | Zilles: Zilles & Rehkämper 1988 — Pongo / great-ape graft (Düsseldorf collection)","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
Cercopithecus_ascanius,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,63505.0,63505.0,0.0,exact(<0.5%),1,False,Stephan_collection,"Stephan_collection: Stephan, Frahm & Baron 1981 (+ Stephan 1984) — backbone histology","Stephan, Frahm & Baron 1981 (+ Stephan 1984)"
