"","Parameter","glucose","n","diff.max","diff.pre","diff.min","observed","max","predicted"
"1","min",-0.361089861040395,-0.0611505162912007,-0.0719215335362615,0.0434783875647378,0.137038861553664,0.974184695742669,0.991721732161158,0.997887274586431
"2","predicted",-0.360102674602061,-0.093976340308694,-0.0500574061200589,0.0612549808139597,0.150111528957078,0.958366777629968,0.997968492004106,NA
"3","max",-0.357529038560324,-0.125334696743707,-0.0283863675184121,0.0783213016914207,0.162087614475875,0.93891096761211,NA,NA
"4","observed",-0.317398632543608,0.0696141424551262,-0.177016006478681,-0.0475505801243189,0.0621777834031698,NA,NA,NA
"5","diff.min",-0.328285297585744,-0.579984447092753,0.866972357125935,0.977176957989305,NA,NA,NA,NA
"6","diff.pre",-0.337834058419177,-0.594122332026557,0.95211675876731,NA,NA,NA,NA,NA
"7","diff.max",-0.349116875046198,-0.5650607172737,NA,NA,NA,NA,NA,NA
"8","n",0.445719429693908,NA,NA,NA,NA,NA,NA,NA
