dissection,n_roi_contexts,n_obs_rows_total,roi_contexts
Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,1,28984,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex
Amygdaloid complex (AMY) - Central nuclear group - CEN,1,42699,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex
Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,1,10778,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex
Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,1,35285,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex
Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,1,31090,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex
Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,1,38331,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex
Basal forebrain (BF) - septal nuclei - SEP,1,40815,Cerebral nuclei / Cerebral nuclei / Basal forebrain
Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,1,38205,Cerebral nuclei / Cerebral nuclei / Basal forebrain
Basal nuclei (BN) - Body of the Caudate - CaB,1,32678,Cerebral nuclei / Cerebral nuclei / Basal nuclei
Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,1,47376,Cerebral nuclei / Cerebral nuclei / Basal nuclei
Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,1,33968,Cerebral nuclei / Cerebral nuclei / Basal nuclei
Basal nuclei (BN) - Nucleus Accumbens - NAC,1,30132,Cerebral nuclei / Cerebral nuclei / Basal nuclei
Basal nuclei (BN) - Putamen - Pu,1,34416,Cerebral nuclei / Cerebral nuclei / Basal nuclei
Body of hippocampus (HiB) - Rostral CA1-2,1,11265,Hippocampus / Hippocampus / Hippocampus
Body of hippocampus (HiB) - Rostral CA1-CA3,1,28724,Hippocampus / Hippocampus / Hippocampus
Body of hippocampus (HiB) - Rostral CA3,1,8077,Hippocampus / Hippocampus / Hippocampus
Body of hippocampus (HiB) - Rostral DG-CA4,1,40191,Hippocampus / Hippocampus / Hippocampus
Cerebellum (CB) - Cerebellar Vermis - CBV,1,71874,Hindbrain / Cerebellum / Cerebellum
Cerebellum (CB) - Cerebellar deep nuclei - CbDN,1,52045,Hindbrain / Cerebellum / Cerebellum
Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,1,28028,Hindbrain / Cerebellum / Cerebellum
Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,1,32745,Cerebral cortex / Cerebral cortex / Cerebral cortex
"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",1,50362,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23,1,35359,Cerebral cortex / Cerebral cortex / Cerebral cortex
"Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30",1,34078,Cerebral cortex / Cerebral cortex / Cerebral cortex
"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",1,32157,Cerebral cortex / Cerebral cortex / Cerebral cortex
"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",1,32638,Cerebral cortex / Cerebral cortex / Cerebral cortex
"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",1,28051,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,1,34949,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14,1,14352,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,1,38259,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,1,29522,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,1,33484,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,1,39696,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,1,107301,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,1,31065,Cerebral cortex / Cerebral cortex / Cerebral cortex
"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",1,31899,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,1,42834,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36,1,22886,Cerebral cortex / Cerebral cortex / Cerebral cortex
Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,1,38188,Cerebral cortex / Cerebral cortex / Cerebral cortex
