review_keep,review_corrected_rcmr_term,review_note,rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_rule_label,assigned_pattern,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,candidate_evidence
TRUE,Frontal lobe,,Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),38259,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,dissection=Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45 -> Frontal lobe
TRUE,Frontal lobe,,Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),31065,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,dissection=Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46 -> Frontal lobe
TRUE,Frontal lobe,,Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),34919,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,dissection=Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13 -> Frontal lobe
TRUE,Frontal lobe,,Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),116576,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,dissection=Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C -> Frontal lobe
TRUE,Frontal lobe,,Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),23295,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,dissection=Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32 -> Frontal lobe
TRUE,Frontal lobe,,Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),37767,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,dissection=Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25 -> Frontal lobe
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,11265,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,dissection=Body of hippocampus (HiB) - Rostral CA1-2 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,28724,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,dissection=Body of hippocampus (HiB) - Rostral CA1-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,8077,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,dissection=Body of hippocampus (HiB) - Rostral CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,40191,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,dissection=Body of hippocampus (HiB) - Rostral DG-CA4 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
