rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_match_mode,assigned_rule_label,assigned_pattern,candidate_evidence,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC -> Temporal lobe,32745,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),"dissection=Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC -> Temporal lobe",50362,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC"
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Inferior temporal gyrus - ITG -> Temporal lobe,29522,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Inferior temporal gyrus - ITG
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG -> Temporal lobe,107301,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),"dissection=Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF -> Temporal lobe",31899,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF"
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36 -> Temporal lobe,22886,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL -> Temporal lobe,40677,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Superior Temporal Gyrus - STG -> Temporal lobe,40565,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Superior Temporal Gyrus - STG
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38 -> Temporal lobe,37642,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38
Temporal lobe,assigned_single_candidate,FALSE,1,Temporal lobe,dissection,Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),dissection=Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C -> Temporal lobe,32790,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C
