rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_match_mode,assigned_rule_label,assigned_pattern,candidate_evidence,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection
Basal forebrain,assigned_single_candidate,FALSE,1,Basal forebrain,ROIGroupFine,Basal forebrain,exact_ci,exact rCMR term,Basal forebrain,dissection=Basal forebrain (BF) - septal nuclei - SEP -> Basal forebrain || ROIGroupFine=Basal forebrain -> Basal forebrain,40815,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - septal nuclei - SEP
Basal forebrain,assigned_single_candidate,FALSE,1,Basal forebrain,ROIGroupFine,Basal forebrain,exact_ci,exact rCMR term,Basal forebrain,dissection=Basal forebrain (BF) - substantia innominata and nearby nuclei - SI -> Basal forebrain || ROIGroupFine=Basal forebrain -> Basal forebrain,38205,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI
Caudatum,assigned_single_candidate,FALSE,1,Caudatum,dissection,Basal nuclei (BN) - Body of the Caudate - CaB,regex_ci,caudate pattern,Caudate|Body of the Caudate|\bCaB\b,dissection=Basal nuclei (BN) - Body of the Caudate - CaB -> Caudatum,32678,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Body of the Caudate - CaB
Cerebellar cortex,assigned_single_candidate,FALSE,1,Cerebellar cortex,dissection,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,regex_ci,cerebellar cortex or lateral hemisphere pattern,Cerebellar cortex|Lateral hemisphere of cerebellum|\bCBL\b,dissection=Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL -> Cerebellar cortex,28028,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL
Colliculus inferior,assigned_single_candidate,FALSE,1,Colliculus inferior,dissection,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,regex_ci,inferior colliculus pattern,Inferior colliculus|\bIC\b,dissection=Midbrain (M) - Inferior colliculus and nearby nuclei - IC -> Colliculus inferior,32306,Midbrain,Midbrain,Midbrain,Midbrain (M) - Inferior colliculus and nearby nuclei - IC
Colliculus superior,assigned_single_candidate,FALSE,1,Colliculus superior,dissection,Midbrain (M) - Superior colliculus and nearby nuclei - SC,regex_ci,superior colliculus pattern,Superior colliculus|\bSC\b,dissection=Midbrain (M) - Superior colliculus and nearby nuclei - SC -> Colliculus superior,29907,Midbrain,Midbrain,Midbrain,Midbrain (M) - Superior colliculus and nearby nuclei - SC
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,28984,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - Central nuclear group - CEN -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,42699,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Central nuclear group - CEN
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,10778,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,35285,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,31090,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - corticomedial nuclear group - CMN -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,38331,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - corticomedial nuclear group - CMN
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Extended amygdala,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST -> Corpus amygdaloideum || ROIGroupFine=Extended amygdala -> Corpus amygdaloideum,34933,Cerebral nuclei,Cerebral nuclei,Extended amygdala,Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST
Corpus geniculatum laterale,assigned_single_candidate,FALSE,1,Corpus geniculatum laterale,dissection,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),regex_ci,lateral geniculate pattern,lateral geniculate|\bLG\b,dissection=Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG) -> Corpus geniculatum laterale,48856,Thalamus,Thalamus,Thalamus,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
Corpus geniculatum mediale,assigned_single_candidate,FALSE,1,Corpus geniculatum mediale,dissection,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG),regex_ci,medial geniculate pattern,medial geniculate|\bMG\b,dissection=Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG) -> Corpus geniculatum mediale,14226,Thalamus,Thalamus,Thalamus,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG)
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),"dissection=Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24 -> Frontal lobe",32157,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24"
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),dissection=Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14 -> Frontal lobe,14352,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),dissection=Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45 -> Frontal lobe,38259,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),dissection=Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46 -> Frontal lobe,31065,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),dissection=Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13 -> Frontal lobe,34919,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),dissection=Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C -> Frontal lobe,116576,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),dissection=Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32 -> Frontal lobe,23295,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32
Frontal lobe,assigned_single_candidate,FALSE,1,Frontal lobe,dissection,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),dissection=Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25 -> Frontal lobe,37767,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Body of hippocampus (HiB) - Rostral CA1-2 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,11265,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Body of hippocampus (HiB) - Rostral CA1-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,28724,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Body of hippocampus (HiB) - Rostral CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,8077,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Body of hippocampus (HiB) - Rostral DG-CA4 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,40191,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Head of hippocampus (HiH) - Subicular cortex - Sub -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,19398,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Head of hippocampus (HiH) - Uncal CA1 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,39147,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Head of hippocampus (HiH) - Uncal CA1-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,37911,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Head of hippocampus (HiH) - Uncal CA2-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,12461,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Head of hippocampus (HiH) - Uncal DG-CA4 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,35350,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,36886,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,56367,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC
Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus,dissection=Tail of Hippocampus (HiT) - Subicular cortex - Sub -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus,22170,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub
Insular lobe,assigned_single_candidate,FALSE,1,Insular lobe,dissection,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,regex_ci,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),dissection=Cerebral cortex (Cx) - Frontal agranular insular cortex - FI -> Insular lobe,34949,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI
Insular lobe,assigned_single_candidate,FALSE,1,Insular lobe,dissection,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,regex_ci,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),dissection=Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg -> Insular lobe,39696,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg
Insular lobe,assigned_single_candidate,FALSE,1,Insular lobe,dissection,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,regex_ci,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),dissection=Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig -> Insular lobe,38937,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig
Nucleus accumbens,assigned_single_candidate,FALSE,1,Nucleus accumbens,dissection,Basal nuclei (BN) - Nucleus Accumbens - NAC,regex_ci,nucleus accumbens pattern,Accumbens|Nucleus Accumbens|\bNAC\b,dissection=Basal nuclei (BN) - Nucleus Accumbens - NAC -> Nucleus accumbens,30132,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Nucleus Accumbens - NAC
Nucleus dentatus cerebelli,assigned_single_candidate,FALSE,1,Nucleus dentatus cerebelli,dissection,Cerebellum (CB) - Cerebellar deep nuclei - CbDN,regex_ci,dentate or cerebellar deep nuclei pattern,Dentate nucleus|Nucleus dentatus|Cerebellar deep nuclei|\bCbDN\b,dissection=Cerebellum (CB) - Cerebellar deep nuclei - CbDN -> Nucleus dentatus cerebelli,52045,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Cerebellar deep nuclei - CbDN
Nucleus medial thalami,assigned_single_candidate,FALSE,1,Nucleus medial thalami,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,regex_ci,medial thalamic pattern,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b,dissection=Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re -> Nucleus medial thalami,13382,Thalamus,Thalamus,Thalamus,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re
Nucleus medial thalami,assigned_single_candidate,FALSE,1,Nucleus medial thalami,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,regex_ci,medial thalamic pattern,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b,dissection=Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD -> Nucleus medial thalami,20916,Thalamus,Thalamus,Thalamus,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD
Nucleus ruber,assigned_single_candidate,FALSE,1,Nucleus ruber,dissection,Midbrain (RN) - Red Nucleus - RN,regex_ci,red nucleus exact dissection,^Midbrain \(RN\) - Red Nucleus - RN$,dissection=Midbrain (RN) - Red Nucleus - RN -> Nucleus ruber,4714,Midbrain,Midbrain,Midbrain,Midbrain (RN) - Red Nucleus - RN
Nucleus subthalamicus,assigned_single_candidate,FALSE,1,Nucleus subthalamicus,dissection,Thalamus (THM) - Subthalamic nucleus and nearby - STH,regex_ci,subthalamic pattern,Subthalamic|\bSTH\b,dissection=Thalamus (THM) - Subthalamic nucleus and nearby - STH -> Nucleus subthalamicus,20162,Thalamus,Thalamus,Thalamus,Thalamus (THM) - Subthalamic nucleus and nearby - STH
Occipital lobe,assigned_single_candidate,FALSE,1,Occipital lobe,dissection,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",regex_ci,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),"dissection=Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2 -> Occipital lobe",32638,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2"
Occipital lobe,assigned_single_candidate,FALSE,1,Occipital lobe,dissection,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",regex_ci,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),"dissection=Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro -> Occipital lobe",28051,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro"
