removed_structure,n_regions,n_edges,I_obs,expected_perm,p_greater,p_two_centered
Amygdala,12,10,-0.013806601436404189,-0.10073418815848201,0.3545,0.75
Area striata grey,12,11,0.049594897410088684,-0.0803524987739193,0.277,0.618
Capsula interna,12,10,0.06608492716190938,-0.08736730164677162,0.264,0.595
Cerebellum,12,11,0.15743375551226824,-0.08557707592949886,0.17,0.348
Corpus geniculatum laterale,12,11,-0.028890936101397608,-0.09596496735118619,0.3605,0.7895
Hippocampus,12,10,0.09442929841063132,-0.0913158129326055,0.2485,0.513
Insular cortex (grey),12,10,0.16701604647026824,-0.0833242175120623,0.1825,0.372
Mesencephalon,12,9,0.08001888383046714,-0.09753519618798667,0.251,0.566
Neocortex grey,12,12,0.04154064863892905,-0.09581449145140583,0.2735,0.6045
Nucleus dentatus cerebelli,12,12,-0.022550505098461012,-0.08806471979623447,0.3595,0.797
Nucleus subthalamicus Luysi,12,9,0.11893107053909624,-0.0960019270567952,0.237,0.4985
Pallidum,12,8,0.09216746910621039,-0.09163750991057183,0.2815,0.5885
Striatum,12,9,0.06683981446661078,-0.09543160184820167,0.2715,0.5905
