edge_set,n_regions,n_edges,I_obs,expected_perm,sd_perm,p_greater,p_less,p_two_centered
primary,13,12,0.4743142118261631,-0.07919828131735493,0.25057295281242953,0.0238,0.9763,0.027
no_visual_LGN_V1,13,11,0.49156808668027263,-0.0841990012082974,0.25338104904001496,0.0244,0.9757,0.0293
visual_only,13,1,0.28452158843095937,-0.0893434663636698,0.9387091853771538,0.3447,0.6648,0.644
basal_ganglia_only,13,7,0.35420762977803466,-0.07846464215553345,0.2931627924474897,0.0703,0.9298,0.1395
limbic_only,13,3,1.0596513898090525,-0.08585237659721409,0.48840522400581515,0.0231,0.9773,0.0269
motor_hindbrain_only,13,1,-0.25115862439040143,-0.07107483994664518,0.9288778588908148,0.6123,0.3904,0.8214
