model,formula,n,df_logLik,adj_r2,sigma,AIC,AICc,LOOCV_RMSE
metabolic_quadratic,y ~ x + I(x^2),13,4,0.17167876064319842,0.33175860298653614,12.794626902055523,17.794626902055523,0.38334422744801894
metabolic_quadratic_plus_network_eigenvector_1,y ~ x + I(x^2) + net1,13,5,0.08151414222793352,0.3493486197372312,14.768171153333919,23.33959972476249,0.45875467421998717
