Species,Species_Stephan_file,Code_number_Stephan,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass,Number.of.individuals.vestibular.complex,Complexus.vestibularis,Nucleus.vestibularis.superior,Nucleus.vestibularis.lateralis,Nucleus.vestibularis.medialis,Nucleus.vestibularis.descendens,vestibular_check,Number.of.individuals.periventrucular,Nucleus.septalis.triangularis,Corpus.subfornicale,Nucleus.habenularis.medialis,Corpus.pineale,Corpus.subcommissurale
Cercocebus_agilis,NA,NA,5660,95300,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.379,NA,0.105,0.158,0.116,91.988,95.3,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus_ascanius,Cercopithecus ascanius,_0231,"3,400","67,000",240,927,"63,505","1,632","5,828","1,162","3,605","51,279",99.5,0,"1,052",251,"2,827",694,"1,189","45,166",17.9,"1,916",410,431,405,25.7,421,320,450,601,136,0,465,48.9,"64,671.81",32114,13052,4272,147,520.2,NA,NA,NA,NA,NA,NA,NA,NA,1,52,8.21,5.88,20.8,17.2,0.09,1,2.13,0.509,4.23,4.66,0.217
Cercopithecus_mitis,Cercopithecus mitis,_0227,"6,300","75,000",467,"1,363","70,564","1,999","6,758","1,354","4,176","56,277",117,0,"1,265",246,"2,733",617,"1,366","49,933",NA,,,,,NA,,NA,,,NA,NA,,NA,"72,393.82",NA,NA,4232,150,517.6,0.614,NA,0.089,0.134,0.391,69.112,71.6,5.48,NA,,NA,NA,NA,NA,NA,1,1.96,0.432,5.38,15.3,0.258
Cheirogaleus_major,Cheirogaleus major,_0111,450,"6,800",83.4,108,"6,373",382,947,241,489,"4,314",158,4.04,332,58.9,327,149,347,"2,938",4.83,271,101,33.8,31.6,2.27,48.6,18,233,99.4,34.1,0.851,65.3,7.32,"6,563.71",NA,NA,433,21.5,27.4,NA,NA,NA,NA,NA,NA,NA,NA,1,11.1,1.86,1.78,4.18,3.27,-0.01,1,0.917,0.256,1.75,0.789,0.032
Cheirogaleus_medius,Cheirogaleus medius,_0112,177,"3,140",24.6,45.2,"2,961",202,437,145,235,"1,941",102,2.66,198,32.5,145,65.3,174,"1,221",NA,,,,,NA,,NA,135,63.2,23.3,0.472,39.8,NA,"3,030.89",NA,NA,199,10.8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,0.385,0.171,1.06,0.691,0.0432
Colobus_angolensis,NA,NA,9680,74400,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.222,NA,0.032,0.038,0.152,71.815,74.4,9.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daubentonia_madagascariensis,Daubentonia madagasc.,_0136,"2,800","45,150",392,578,"42,611","1,517","6,461",897,"3,539","30,196",685,8.31,"1,538",254,"2,765","1,044","1,776","22,127",NA,,,,,NA,,NA,"1,065",473,122,3.53,351,24.9,"43,581.08",17074,5053,1113,58.5,304.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2.65,0.593,7.75,3.32,1.83
Erythrocebus_patas,Erythrocebus patas,_0234,"7,800","108,000",561,519,"103,167","2,616","8,738","1,621","5,423","84,770",51.8,0,"1,339",330,"3,624",693,"1,591","77,141",NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,814.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur_fulvus,Eulemur fulvus,_0118,"1,400","23,300",194,190,"22,106",909,"3,328",590,"1,713","15,566",207,3.21,641,119,"1,215",422,752,"12,207",12.2,"1,028",239,225,212,13.9,248,108,389,251,71.7,1.37,179,19.6,"22,490.35",9172,3035,1253,51.8,136.9,NA,NA,NA,NA,NA,NA,NA,NA,1,31.1,6.22,5.9,9.75,9.27,0.04,4,1.4,0.527,4.02,1.85,0.174
Galago_senegalensis,Galago senegalensis,_0143,186,"4,800",40.2,81.4,"4,512",254,672,205,382,"2,997",79.2,2.58,163,35.7,210,107,261,"2,139",NA,,,,,NA,,NA,,,NA,NA,,NA,"4,633.20",NA,NA,301,16,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,0.588,0.0668,0.998,0.741,0.0382
Galagoides_demidoff,Galagoides demidoff,_0142,81,"3,380",30.4,28.8,"3,203",169,413,135,246,"2,240",83.1,1.26,181,25.7,169,59.9,152,"1,568",2.09,153,45.1,18.3,17,1.4,18.4,11.5,122,50.2,14.9,0.62,35.3,2.82,"3,262.55",1417,150.6,214,10.9,13.6,0.012,NA,0.002,0.005,0.005,3.185,3.3,0.063,2,6.65,1.02,1.01,2.72,1.9,0,2,0.45,0.024,0.78,0.375,0.0266
Gorilla_gorilla,Gorilla gorilla,_0279,"105,000","500,000","3,608","8,659","470,359","7,509","69,249","4,352","19,370","369,878",316,0,"4,871","1,173","14,567","2,729","4,781","341,444",106,"10,547","2,215","2,782","2,604",178,"2,471",671,,,NA,NA,,NA,"398,648.65",NA,NA,9129,308.5,5400.6,1.8955,0.232,0.57,0.3945,0.94875,326.785,341.25,102.3425,1,136,34.7,19.5,58.4,23.6,0.2,2,5.79,1.3,23.9,7.96,1.41
Hylobates_lar,Hylobates lar,_0271,"5,700","102,000",555,395,"97,505","2,251","12,078","1,459","5,716","76,001",43.9,0,"1,264",302,"4,784","1,136","2,673","65,800",31.2,"3,226",629,777,715,61.6,693,302,,,NA,NA,,NA,"102,316.60",46646,19154,4086.7,166.2,1167.9,0.289,NA,0.04,0.117,0.131,88.803,92,5.34,1,59.3,14.9,5.53,24.5,14.5,0.13,NA,NA,NA,NA,NA,NA
Hylobates_muelleri,NA,NA,5700,101800,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.539,NA,0.142,0.111,0.286,98.263,101.8,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indri_indri,Indri indri,_0133,"6,250","38,300",330,354,"36,285","1,342","5,504",978,"2,911","25,551",168,2.32,838,205,"1,855",848,"1,520","20,114",NA,,,,,NA,,NA,,,NA,NA,,NA,"36,969.11",15891,4223,1648,94.5,186.3,0.167,NA,0.033,0.05,0.085,32.481,33.7,5.83,NA,,NA,NA,NA,NA,NA,1,4.96,0.553,7.15,5.63,0.366
Lagothrix_lagotricha,Lagothrix lagotricha,_0186,"5,200","101,000","1,090",897,"95,503","2,110","11,268","1,582","5,721","74,822",73.4,1.43,"1,395",266,"4,947",680,"1,586","65,873",31,"2,959",624,909,845,63.8,612,203,,,NA,NA,,NA,"97,490.35",49147,16727,4856,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,53,9.07,6.94,23,14.1,0.11,2,2.6,0.583,7.01,10.6,0.885
Leontopithecus_rosalia,NA,NA,598,12700,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.037,NA,0.012,0.004,0.021,12.259,12.7,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur_ruficaudatus,Lepilemur ruficaudatus,_0117,915,"7,600",76.5,84.1,"7,175",449,"1,165",260,593,"4,708",113,2.72,302,56.7,366,194,392,"3,282",4.89,337,114,58.1,55.2,2.91,63,20.7,170,133,42.5,0.624,90.4,7.18,"7,335.91",2805,476.6,326,15.6,26.2,NA,NA,NA,NA,NA,NA,NA,NA,1,14.9,2.11,2.3,5.92,4.47,-0.1,1,0.888,0.121,1.75,0.731,0.132
Lophocebus_albigena,Lophocebus albigena,_0209,"7,900","104,000",742,"2,041","97,603","2,708","10,726","1,770","5,351","77,049",121,0,"1,639",294,"4,146",630,"1,485","68,733",27.9,"2,933",681,726,674,52.4,708,308,,,NA,NA,,NA,"100,386.10",NA,NA,5420,182,873.3,0.536,NA,0.095,0.171,0.27,106.66,110.5,8.25,1,87.1,16.2,10,35.6,25.2,-0.1,1,1.69,0.658,6,11.9,0.233
Loris_tardigradus,Loris tardigradus,_0137,322,"6,600",51.6,50.4,"6,269",233,728,220,538,"4,551",85.8,2.3,256,41.1,351,99.7,191,"3,524",3.21,348,80.9,45.2,41.4,3.79,46.3,15.7,,,NA,NA,,NA,"6,370.66",NA,NA,529,24.6,28.9,0.012,NA,0.003,0.003,0.006,6.612,6.9,0.264,1,8.45,1.61,1.22,3.55,2.08,0.01,1,0.822,0.207,1.15,0.335,0.103
Macaca_fascicularis,NA,NA,2900,57600,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,"55,598.46",NA,NA,2713.3,91.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca_maura,NA,NA,6050,83300,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.492,NA,0.071,0.181,0.24,80.405,83.3,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
