Species,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass
Lagothrix_lagotricha,5200,101000,1090,897,95503,2110,11268,1582,5721,74822,73.4,1.43,1395,266,4947,680,1586,65873,31,2959,624,909,845,63.8,612,203,,,,,,,97490.35,49147,16727,4856,164,,,,,,,,,
Lepilemur_ruficaudatus,915,7600,76.5,84.1,7175,449,1165,260,593,4708,113,2.72,302,56.7,366,194,392,3282,4.89,337,114,58.1,55.2,2.91,63,20.7,170,133,42.5,0.624,90.4,7.18,7335.91,2805,476.6,326,15.6,26.2,,,,,,,,
Lophocebus_albigena,7900,104000,742,2041,97603,2708,10726,1770,5351,77049,121,0,1639,294,4146,630,1485,68733,27.9,2933,681,726,674,52.4,708,308,,,,,,,100386.1,,,5420,182,873.3,0.536,,0.095,0.171,0.27,106.66,110.5,8.25
Loris_tardigradus,322,6600,51.6,50.4,6269,233,728,220,538,4551,85.8,2.3,256,41.1,351,99.7,191,3524,3.21,348,80.9,45.2,41.4,3.79,46.3,15.7,,,,,,,6370.66,,,529,24.6,28.9,0.012,,0.003,0.003,0.006,6.612,6.9,0.264
Macaca_fascicularis,2900,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55598.46,,,2713.3,91.9,,,,,,,,,
Macaca_mulatta,7800,93000,834,1038,87896,1992,8965,1380,4480,71080,84.3,0,1220,271,4032,639,1353,63482,,,,,,,,,,,,,,,89768.34,,,5343,158,639.2,,,,,,,,
Microcebus_murinus,54,1780,11.3,26.6,1680,99.1,234,85.2,134,1129,43,1.62,103,15.3,85.7,40.1,100,740,1.44,78.3,29.8,11.4,10.7,0.65,9.08,6.17,66.8,36.4,12.1,0.264,24.3,,1718.15,674.2,65.31,136,7.1,5.9,,,,,,,,
Miopithecus_talapoin,1200,40000,262,572,37776,1035,3374,826,2375,30166,27.8,0,706,133,1908,259,705,26427,,,,,,,,,,,,,,,38610.04,,,2339,109,273.7,,,,,,,,
Nasalis_larvatus,14000,97000,591,241,92797,2945,12113,1556,5310,70873,30.3,0,1268,333,3735,855,1966,62685,29.6,3036,671,587,550,37.2,564,304,,,,,,,,,,,,967.4,,,,,,,,
Nycticebus_coucang,800,12500,142,169,11755,528,1310,345,1077,8495,159,4.28,510,92,760,212,566,6192,,,,,,,,,,,,,,,12065.64,4952,1240,696,35.9,63.8,,,,,,,,
