genes,subclass,p_val
AACSP1,L6CT,2.9150629140245503e-10
AASS,L4IT,1.39824974787291e-11
AASS,L56NP,9.55095652188576e-10
AASS,Pvalb,1.89570303677653e-8
ABCA1,L6CT,3.41918328223039e-8
ABCA5,L6CT,9.94628180524212e-9
ABCC9,L5ET,3.53764933609855e-9
ABCD2,L4IT,8.791689298965969e-11
ABCD2,Pvalb,5.20134412781011e-10
ABHD12B,L5ET,2.72720434689082e-8
ABHD2,L23IT,2.12246112227558e-8
ABHD2,L4IT,2.41483577559572e-15
ABHD2,L6IT,1.80865151187496e-10
ABHD2,L6ITCar3,3.49118864421271e-13
ABHD3,L56NP,1.07705175421385e-9
ABHD3,L5ET,8.71239555305437e-13
ABHD6,L5IT,1.53930061396397e-8
ABI2,L5ET,1.2206810101084e-8
ABI3BP,L5ET,1.54657520875612e-8
ABI3BP,L6CT,5.03839941677791e-10
ABLIM1,L5ET,4.78955225754311e-11
ABLIM1,L6CT,1.3202516526972602e-9
ABO,L56NP,4.3460637996779e-9
ABO,L5ET,3.2859680530808498e-18
ABRACL,L6CT,3.7207936290292404e-9
ABRACL,L6IT,4.03601864783506e-8
ABTB2,L4IT,1.0640107771470101e-14
ABTB2,L5ET,3.6970330866771395e-11
ACACA,L4IT,3.464390283286e-8
ACER3,Pvalb,5.41847798159084e-9
ACO1,L4IT,3.00586003719229e-8
ACOT11,L6b,2.1843014908215e-8
ACOT12,L4IT,2.0039420472020597e-11
ACOT12,L56NP,5.94128504468516e-11
ACOT12,L5ET,3.5150690990828397e-11
ACSBG2,Chandelier,1.16469101500122e-9
ACSBG2,Pvalb,3.25040198165702e-8
ACSL6,L4IT,9.03065573295262e-13
ACSS2,L6CT,3.50792899081388e-9
ACTN1,L6IT,5.3176749921741905e-9
ACTN2,L6ITCar3,2.6470724692393197e-11
ACTR3B,L5ET,5.5683070792928504e-14
ACVR1C,L4IT,1.36687607008031e-14
ACVR1C,L6ITCar3,2.6966710304105e-11
ACVR2A,L5IT,2.15318705616119e-8
ADAM33,L6b,2.08848606979652e-8
ADAM3A,L23IT,2.88672613453969e-8
ADAM3A,L4IT,9.03651058407915e-9
ADAMTS10,L4IT,1.1975306697153802e-9
