cluster,gene,A1,ACC,ANG,DLPFC,M1,MTG,S1,V1
Lamp5_1,LINC00299,2.70022218424173,2.45742687461555,2.6429747225888,2.64946453459314,2.78028151873186,2.6025005231981,2.75295916015634,2.80398065578505
Lamp5_1,FBXL7,2.56720064957071,2.24096950156913,2.41757206449674,2.49973992997443,2.89439019517208,2.69029945810627,2.61769098746023,2.5850722788161
Lamp5_1,KIT,2.47893170165402,2.54041707566058,2.57827999260142,2.50127210849553,2.65975345367451,2.51300812668636,2.48068611307797,2.75091810074745
Lamp5_1,TRPC3,2.41590887696784,2.12558242255406,2.64677232716016,2.9153587755807,3.03036992802791,2.64470064661146,2.93699377905808,2.36931282317174
Lamp5_1,EYA4,2.36366486345557,2.32044313551021,2.51174246888347,2.48341381256907,2.49542134311626,2.39696196061316,2.50789820173345,2.16382299947647
Lamp5_1,SV2C,1.95688595436437,2.01139336625983,2.1925694333422,2.04225217699294,2.05476349408354,2.00316057696711,1.98576101144812,2.11732515995483
Lamp5_1,PDGFD,1.74390786673865,1.56078896307674,1.8730234429428,1.97401021230299,2.38852151434889,1.58366121461066,2.17869870984499,2.14876609472518
Lamp5_1,LAMP5,1.45533708946466,1.66785435824522,1.17940470826809,1.25391742308547,1.41901938780005,1.55857881042016,1.31999010123151,1.30510506967887
Lamp5_1,LINC00298,1.2031881748992,1.04350431458105,1.23456508720906,1.08092190272631,1.29838598447573,1.18176638385862,1.21616651534011,1.24022130984971
Lamp5_1,ADAMTS20,1.1219603646884,1.42538263116523,1.19724355359403,1.25469631871731,0.99245120491576,1.21578689018116,1.11241655210348,0.75166361645565
Lamp5_1,MYH11,1.10649435784008,1.28083013623594,1.0993176798151,1.26684045138335,0.823794099062846,1.42346233994388,1.30469033035985,1.13401024464369
Lamp5_1,KIRREL,1.09302144524432,0.890427803365206,1.02119734124581,1.18397931602922,0.825133086296918,0.905753534357748,1.02761618663739,0.950846134805124
Lamp5_1,ARHGAP31,1.0432659869185,0.778694073242285,0.980713578577658,0.967874365994373,0.975791240294323,1.01608676502055,1.03636306848718,0.991446416757877
